mask,basis_cycle_ids,basis_active_count,basis_length_sum,height_action,edge_mod2_height_action,edge_mod2_height_gap,residual_integral,residual_mod_1000003,transport_scalar_mod_1000003,transport_scalar_signed,support_sector,q42_shadow_nonzero,q12_shadow_nonzero,coefficient_matches_residual_mod_prime
1264,4 5 6 7 10,5,31,4835328,3317760,1517568,-4835328,164687,582345,-417658,33,0,0,True
1265,0 4 5 6 7 10,6,39,5910528,3508224,2402304,-5910528,89490,44745,44745,33,0,0,True
1266,1 4 5 6 7 10,6,39,6156288,3311616,2844672,-6156288,843733,921868,-78135,33,0,0,True
1267,0 1 4 5 6 7 10,7,47,7231488,3379200,3852288,-7231488,768536,384268,384268,33,0,0,True
1268,2 4 5 6 7 10,6,36,5609472,3428352,2181120,-5609472,390546,195273,195273,33,0,0,True
1269,0 2 4 5 6 7 10,7,44,6684672,3471360,3213312,-6684672,315349,657676,-342327,33,0,0,True
1270,1 2 4 5 6 7 10,7,44,6930432,3422208,3508224,-6930432,69589,534796,-465207,33,0,0,True
1271,0 1 2 4 5 6 7 10,8,52,8005632,3342336,4663296,-8005632,994395,997199,-2804,33,0,0,True
1272,3 4 5 6 7 10,6,41,6027264,2887680,3139584,-6027264,972757,986380,-13623,33,0,0,True
1273,0 3 4 5 6 7 10,7,49,7102464,3115008,3987456,-7102464,897560,448780,448780,33,0,0,True
1274,1 3 4 5 6 7 10,7,49,7348224,3409920,3938304,-7348224,651800,325900,325900,33,0,0,True
1275,0 1 3 4 5 6 7 10,8,57,8423424,3514368,4909056,-8423424,576603,788303,-211700,33,0,0,True
1276,2 3 4 5 6 7 10,7,46,6801408,3219456,3581952,-6801408,198613,599308,-400695,33,0,0,True
