shell,h2_basis_index,Act_support_size,Act_profile_ids,Act_image_zero,Act_image_nonnegative_by_three_level_certificates,status_multiset
16,48,4,"367,372,633,638",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,49,4,"367,372,633,636",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,50,6,"214,218,367,372,633,642",False,True,"{""EXACT_RATIONAL_PASS"": 6}"
16,51,10,"41,42,113,115,214,218,367,372,633,645",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
16,52,10,"41,43,113,115,214,218,367,372,633,646",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
16,53,10,"41,44,113,115,214,218,367,372,633,647",False,True,"{""EXACT_RATIONAL_PASS"": 10}"
16,54,4,"4277,4303,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,55,2,"689,696",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,56,4,"6,7,4288,4298",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,57,2,"973,977",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,58,4,"4266,4298,4588,4590",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,59,4,"6,7,4293,4298",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,60,2,"976,977",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,61,4,"6,7,4303,4304",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,62,2,"970,975",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,63,4,"6,7,4299,4303",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,64,2,"975,979",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,65,4,"6,7,4291,4298",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,66,2,"960,977",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,67,2,"992,994",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,68,2,"985,992",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
16,69,4,"624,625,992,995",False,True,"{""EXACT_RATIONAL_PASS"": 4}"
16,70,2,"992,993",False,True,"{""EXACT_RATIONAL_PASS"": 2}"
