shell,profile_id,actor_image_occurrences,certificate_status,certificate_support_size
12,381,1,EXACT_RATIONAL_PASS,84
12,382,1,EXACT_RATIONAL_PASS,82
12,383,1,EXACT_RATIONAL_PASS,52
12,399,1,EXACT_RATIONAL_PASS,83
12,401,1,EXACT_RATIONAL_PASS,85
12,406,1,EXACT_RATIONAL_PASS,86
12,416,1,EXACT_RATIONAL_PASS,84
12,418,2,EXACT_RATIONAL_PASS,87
12,419,3,EXACT_RATIONAL_PASS,86
12,420,1,EXACT_RATIONAL_PASS,86
12,620,1,EXACT_RATIONAL_PASS,85
12,622,1,EXACT_RATIONAL_PASS,82
12,623,1,EXACT_RATIONAL_PASS,85
12,624,33,EXACT_RATIONAL_PASS,86
12,625,7,EXACT_RATIONAL_PASS,87
12,627,1,EXACT_RATIONAL_PASS,86
12,629,1,EXACT_RATIONAL_PASS,86
12,630,1,EXACT_RATIONAL_PASS,85
12,631,1,EXACT_RATIONAL_PASS,84
12,633,30,EXACT_RATIONAL_PASS,82
12,634,2,EXACT_RATIONAL_PASS,85
12,636,1,EXACT_RATIONAL_PASS,87
12,638,1,EXACT_RATIONAL_PASS,86
12,639,3,EXACT_RATIONAL_PASS,82
12,640,1,EXACT_RATIONAL_PASS,79
12,642,1,EXACT_RATIONAL_PASS,85
12,643,1,EXACT_RATIONAL_PASS,86
12,645,1,EXACT_RATIONAL_PASS,77
12,646,1,EXACT_RATIONAL_PASS,80
12,647,1,EXACT_RATIONAL_PASS,69
12,670,1,EXACT_RATIONAL_PASS,86
12,675,1,EXACT_RATIONAL_PASS,84
12,689,1,EXACT_RATIONAL_PASS,88
12,690,7,EXACT_RATIONAL_PASS,88
12,692,1,EXACT_RATIONAL_PASS,84
12,695,1,EXACT_RATIONAL_PASS,87
12,696,2,EXACT_RATIONAL_PASS,87
12,697,1,EXACT_RATIONAL_PASS,87
12,702,1,EXACT_RATIONAL_PASS,84
12,960,1,EXACT_RATIONAL_PASS,86
12,970,1,EXACT_RATIONAL_PASS,87
12,973,1,EXACT_RATIONAL_PASS,85
12,975,43,EXACT_RATIONAL_PASS,88
12,976,1,EXACT_RATIONAL_PASS,86
12,977,12,EXACT_RATIONAL_PASS,85
12,979,1,EXACT_RATIONAL_PASS,88
12,985,1,EXACT_RATIONAL_PASS,85
12,992,43,EXACT_RATIONAL_PASS,87
12,993,1,EXACT_RATIONAL_PASS,85
12,994,1,EXACT_RATIONAL_PASS,86
12,995,1,EXACT_RATIONAL_PASS,86
12,1002,1,EXACT_RATIONAL_PASS,83
12,1003,1,EXACT_RATIONAL_PASS,83
12,1008,1,EXACT_RATIONAL_PASS,82
12,1009,1,EXACT_RATIONAL_PASS,83
12,1012,1,EXACT_RATIONAL_PASS,84
12,1014,1,EXACT_RATIONAL_PASS,83
12,1015,1,EXACT_RATIONAL_PASS,69
12,1060,1,EXACT_RATIONAL_PASS,83
12,1069,1,EXACT_RATIONAL_PASS,85
12,1076,1,EXACT_RATIONAL_PASS,87
12,1079,1,EXACT_RATIONAL_PASS,86
12,1087,1,EXACT_RATIONAL_PASS,85
12,1090,1,EXACT_RATIONAL_PASS,85
12,1091,1,EXACT_RATIONAL_PASS,85
12,1094,1,EXACT_RATIONAL_PASS,84
12,1096,7,EXACT_RATIONAL_PASS,82
12,1103,1,EXACT_RATIONAL_PASS,84
12,1104,1,EXACT_RATIONAL_PASS,86
12,1105,1,EXACT_RATIONAL_PASS,84
12,1109,1,EXACT_RATIONAL_PASS,85
12,1110,3,EXACT_RATIONAL_PASS,87
12,1114,2,EXACT_RATIONAL_PASS,85
12,1449,1,EXACT_RATIONAL_PASS,84
12,1451,5,EXACT_RATIONAL_PASS,87
12,1452,2,EXACT_RATIONAL_PASS,81
12,1454,1,EXACT_RATIONAL_PASS,85
12,1459,6,EXACT_RATIONAL_PASS,81
12,1460,54,EXACT_RATIONAL_PASS,84
