automaton_edge_id,source_state_id,target_state_id,source_grammar_cell_id,target_grammar_cell_id,edit_kind_code,edit_position,source_symbol_id,target_symbol_id,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,new_spectral_cut_edge_flag
459,142,143,142,143,2,8,2,-1,1,0,1,0,1,0,0
460,142,348,142,348,1,4,-1,5,1,0,0,0,1,0,0
461,143,144,143,144,1,13,-1,2,1,0,1,0,1,0,0
462,143,145,143,145,1,10,-1,2,1,0,1,0,1,0,0
463,143,148,143,148,0,10,1,4,1,0,1,0,1,0,0
464,143,153,143,153,2,5,2,-1,0,1,1,0,1,0,0
465,143,352,143,352,1,4,-1,5,1,0,1,0,1,0,0
466,143,841,143,841,0,2,3,5,0,1,1,1,0,0,0
467,144,353,144,353,1,4,-1,5,1,0,1,0,1,0,0
468,145,149,145,149,1,9,-1,5,1,0,1,0,1,0,0
469,145,154,145,154,2,5,2,-1,0,1,1,0,1,0,0
470,145,356,145,356,1,4,-1,5,1,0,1,0,1,0,0
471,146,148,146,148,0,11,1,4,1,0,1,0,1,0,0
472,149,361,149,361,1,4,-1,5,1,0,1,0,1,0,0
473,152,154,152,154,2,7,2,-1,0,1,1,0,1,0,0
474,152,155,152,155,1,8,-1,5,0,1,1,0,1,0,0
475,153,154,153,154,1,9,-1,2,0,1,1,0,1,0,0
476,157,158,157,158,1,12,-1,2,1,0,0,0,1,0,0
477,157,162,157,162,0,8,2,5,1,0,0,0,1,0,0
478,157,164,157,164,1,7,-1,5,1,0,0,0,1,0,0
479,157,207,157,207,0,6,1,2,1,0,0,0,1,0,0
480,157,398,157,398,0,6,1,4,1,0,0,0,1,0,0
481,157,796,157,796,2,2,3,-1,0,1,0,0,1,0,0
482,158,163,158,163,0,8,2,5,1,0,0,0,1,0,0
483,158,165,158,165,1,7,-1,5,1,0,0,0,1,0,0
484,158,208,158,208,0,6,1,2,1,0,0,0,1,0,0
485,158,399,158,399,0,6,1,4,1,0,0,0,1,0,0
486,159,160,159,160,0,8,2,4,1,0,0,0,1,0,0
487,159,212,159,212,0,6,1,2,1,0,0,0,1,0,0
488,159,402,159,402,0,6,1,4,1,0,0,0,1,0,0
489,160,273,160,273,0,6,1,2,1,0,0,0,1,0,0
490,161,168,161,168,0,9,1,2,1,0,0,0,1,0,0
491,161,169,161,169,2,9,1,-1,1,0,1,0,1,0,0
492,161,324,161,324,0,6,1,2,1,0,0,0,1,0,0
493,161,455,161,455,0,6,1,4,1,0,0,0,1,0,0
494,162,163,162,163,1,12,-1,2,1,0,0,0,1,0,0
495,162,164,162,164,1,9,-1,2,1,0,0,0,1,0,0
496,162,329,162,329,0,6,1,2,1,0,0,0,1,0,0
497,162,456,162,456,0,6,1,4,1,0,0,0,1,0,0
498,163,165,163,165,1,9,-1,2,1,0,0,0,1,0,0
499,163,331,163,331,0,6,1,2,1,0,0,0,1,0,0
500,163,457,163,457,0,6,1,4,1,0,0,0,1,0,0
501,164,165,164,165,1,13,-1,2,1,0,0,0,1,0,0
502,164,169,164,169,1,10,-1,5,1,0,1,0,1,0,0
503,164,335,164,335,0,6,1,2,1,0,0,0,1,0,0
504,164,458,164,458,0,6,1,4,1,0,0,0,1,0,0
505,164,797,164,797,2,2,3,-1,0,1,0,0,1,0,0
506,165,166,165,166,1,13,-1,2,1,0,0,0,1,0,0
507,165,167,165,167,1,14,-1,5,1,0,0,0,1,0,0
508,165,170,165,170,1,10,-1,5,1,0,1,0,1,0,0
509,165,337,165,337,0,6,1,2,1,0,0,0,1,0,0
510,165,459,165,459,0,6,1,4,1,0,0,0,1,0,0
511,165,798,165,798,2,2,3,-1,0,1,0,0,1,0,0
512,166,167,166,167,0,14,2,5,1,0,0,0,1,0,0
513,166,341,166,341,0,6,1,2,1,0,0,0,1,0,0
514,166,460,166,460,0,6,1,4,1,0,0,0,1,0,0
515,167,344,167,344,0,6,1,2,1,0,0,0,1,0,0
516,167,461,167,461,0,6,1,4,1,0,0,0,1,0,0
517,168,169,168,169,2,9,2,-1,1,0,1,0,1,0,0
518,168,172,168,172,0,10,2,5,1,0,1,0,1,0,0
519,168,348,168,348,0,6,1,2,1,0,0,0,1,0,0
520,168,462,168,462,0,6,1,4,1,0,0,0,1,0,0
521,169,170,169,170,1,14,-1,2,1,0,1,0,1,0,0
522,169,171,169,171,1,11,-1,2,1,0,1,0,1,0,0
523,169,172,169,172,1,10,-1,5,1,0,1,0,1,0,0
524,169,352,169,352,0,6,1,2,1,0,1,0,1,0,0
525,169,463,169,463,0,6,1,4,1,0,1,0,1,0,0
526,170,353,170,353,0,6,1,2,1,0,1,0,1,0,0
527,170,464,170,464,0,6,1,4,1,0,1,0,1,0,0
528,171,172,171,172,0,11,2,5,1,0,1,0,1,0,0
529,171,173,171,173,1,10,-1,5,1,0,1,0,1,0,0
530,171,356,171,356,0,6,1,2,1,0,1,0,1,0,0
531,171,465,171,465,0,6,1,4,1,0,1,0,1,0,0
532,172,173,172,173,1,12,-1,2,1,0,1,0,1,0,0
533,172,359,172,359,0,6,1,2,1,0,1,0,1,0,0
534,173,361,173,361,0,6,1,2,1,0,1,0,1,0,0
535,173,466,173,466,0,6,1,4,1,0,1,0,1,0,0
536,174,175,174,175,1,15,-1,2,1,0,0,0,1,0,0
537,174,176,174,176,0,11,2,5,1,0,0,0,1,0,0
538,174,177,174,177,1,10,-1,5,1,0,0,0,1,0,0
539,174,181,174,181,0,9,1,2,1,0,0,0,1,0,0
540,174,200,174,200,0,9,1,4,1,0,0,0,1,0,0
541,174,212,174,212,0,8,1,2,1,0,0,0,1,0,0
542,174,249,174,249,1,8,-1,4,1,0,0,0,1,0,0
543,174,273,174,273,0,8,1,4,1,0,0,0,1,0,0
544,174,323,174,323,1,7,-1,5,1,0,0,0,1,0,0
545,174,385,174,385,0,6,2,4,1,0,0,0,1,0,0
546,174,799,174,799,2,2,3,-1,0,1,0,0,1,0,0
547,175,182,175,182,0,9,1,2,1,0,0,0,1,0,0
548,175,201,175,201,0,9,1,4,1,0,0,0,1,0,0
549,175,213,175,213,0,8,1,2,1,0,0,0,1,0,0
550,175,274,175,274,0,8,1,4,1,0,0,0,1,0,0
551,176,177,176,177,1,12,-1,2,1,0,0,0,1,0,0
552,176,187,176,187,0,9,1,2,1,0,0,0,1,0,0
553,176,280,176,280,0,8,1,4,1,0,0,0,1,0,0
554,177,188,177,188,0,9,1,2,1,0,0,0,1,0,0
555,177,281,177,281,0,8,1,4,1,0,0,0,1,0,0
556,178,179,178,179,2,12,3,-1,1,0,0,0,1,0,0
557,179,180,179,180,1,14,-1,2,1,0,0,0,1,0,0
558,179,181,179,181,1,11,-1,2,1,0,0,0,1,0,0
559,179,186,179,186,0,11,1,4,1,0,0,0,1,0,0
560,179,187,179,187,1,10,-1,5,1,0,0,0,1,0,0
561,179,192,179,192,0,9,2,4,1,0,0,0,1,0,0
562,179,214,179,214,0,8,1,2,1,0,0,0,1,0,0
563,179,222,179,222,2,8,1,-1,1,0,0,0,1,0,0
564,179,264,179,264,1,8,-1,4,1,0,0,0,1,0,0
565,179,324,179,324,1,7,-1,5,1,0,0,0,1,0,0
566,179,352,179,352,0,8,1,5,1,0,1,0,1,0,0
567,179,386,179,386,0,6,2,4,1,0,0,0,1,0,0
568,180,182,180,182,1,11,-1,2,1,0,0,0,1,0,0
569,180,215,180,215,0,8,1,2,1,0,0,0,1,0,0
570,180,223,180,223,2,8,1,-1,1,0,0,0,1,0,0
571,180,325,180,325,1,7,-1,5,1,0,0,0,1,0,0
572,180,353,180,353,0,8,1,5,1,0,1,0,1,0,0
573,181,182,181,182,1,15,-1,2,1,0,0,0,1,0,0
574,181,183,181,183,1,12,-1,5,1,0,0,0,1,0,0
575,181,187,181,187,0,11,2,5,1,0,0,0,1,0,0
576,181,188,181,188,1,10,-1,5,1,0,0,0,1,0,0
577,181,200,181,200,0,9,2,4,1,0,0,0,1,0,0
578,181,216,181,216,0,8,1,2,1,0,0,0,1,0,0
579,181,224,181,224,2,8,1,-1,1,0,0,0,1,0,0
580,181,265,181,265,1,8,-1,4,1,0,0,0,1,0,0
581,181,356,181,356,0,8,1,5,1,0,1,0,1,0,0
582,181,387,181,387,0,6,2,4,1,0,0,0,1,0,0
583,181,800,181,800,2,2,3,-1,0,1,0,0,1,0,0
584,182,201,182,201,0,9,2,4,1,0,0,0,1,0,0
585,182,217,182,217,0,8,1,2,1,0,0,0,1,0,0
586,182,225,182,225,2,8,1,-1,1,0,0,0,1,0,0
587,182,357,182,357,0,8,1,5,1,0,1,0,1,0,0
588,183,187,183,187,2,11,2,-1,1,0,0,0,1,0,0
589,183,206,183,206,0,9,2,4,1,0,0,0,1,0,0
590,183,218,183,218,0,8,1,2,1,0,0,0,1,0,0
591,183,229,183,229,2,8,1,-1,1,0,0,0,1,0,0
592,183,358,183,358,0,8,1,5,1,0,1,0,1,0,0
593,184,186,184,186,0,12,1,4,1,0,0,0,1,0,0
594,184,326,184,326,1,7,-1,5,1,0,0,0,1,0,0
595,185,327,185,327,1,7,-1,5,1,0,0,0,1,0,0
596,186,328,186,328,1,7,-1,5,1,0,0,0,1,0,0
597,187,188,187,188,1,12,-1,2,1,0,0,0,1,0,0
598,187,219,187,219,0,8,1,2,1,0,0,0,1,0,0
599,187,233,187,233,2,8,1,-1,1,0,0,0,1,0,0
600,187,359,187,359,0,8,1,5,1,0,1,0,1,0,0
601,188,220,188,220,0,8,1,2,1,0,0,0,1,0,0
602,188,235,188,235,2,8,1,-1,1,0,0,0,1,0,0
603,188,361,188,361,0,8,1,5,1,0,1,0,1,0,0
604,188,388,188,388,0,6,2,4,1,0,0,0,1,0,0
605,189,191,189,191,2,9,3,-1,1,0,0,0,1,0,0
606,189,291,189,291,0,8,1,4,1,0,0,0,1,0,0
607,190,200,190,200,2,9,3,-1,1,0,0,0,1,0,0
608,190,292,190,292,0,8,1,4,1,0,0,0,1,0,0
609,191,193,191,193,1,11,-1,2,1,0,0,0,1,0,0
610,191,207,191,207,1,8,-1,2,1,0,0,0,1,0,0
