cut_edge_id,transfer_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_nodal_sign,target_nodal_sign,source_eigenfunction_x1e12,target_eigenfunction_x1e12,undirected_stationary_flux_x1e12,source_carrier_atom_mask,target_carrier_atom_mask
199,1499,11,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
200,1500,11,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
201,1501,11,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
202,1502,11,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
203,1503,11,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
204,1607,12,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
205,1608,12,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
206,1609,12,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
207,1610,12,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
208,1611,12,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
209,1612,12,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
210,1613,12,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
211,1614,12,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
212,1615,12,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
213,1616,12,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
214,1622,12,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
215,1623,12,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
216,1624,12,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
217,1625,12,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
218,1626,12,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
219,1627,12,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
220,1628,12,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
221,1731,13,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
222,1732,13,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
223,1733,13,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
224,1734,13,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
225,1735,13,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
226,1736,13,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
227,1737,13,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
228,1738,13,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
229,1739,13,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
230,1740,13,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
231,1746,13,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
232,1747,13,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
233,1748,13,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
234,1749,13,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
235,1750,13,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
236,1751,13,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
237,1752,13,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
238,1854,14,48,1,1,-1,1076857070829,-894848865438,82641807,146,6146
239,1855,14,49,1,1,-1,1076857070829,-894848865438,82641807,146,6146
240,1856,14,50,1,1,-1,1076857070829,-894848865438,82641807,146,6146
241,1857,14,51,1,1,-1,1076857070829,-894848865438,82641807,146,6146
242,1858,14,52,1,1,-1,1076857070829,-894848865438,82641807,146,6146
243,1859,14,53,1,1,-1,1076857070829,-894848865438,82641807,146,6146
244,1860,14,54,1,1,-1,1076857070829,-894848865438,82641807,146,6146
245,1861,14,55,1,1,-1,1076857070829,-894848865438,82641807,146,6146
246,1862,14,56,1,1,-1,1076857070829,-894848865438,82641807,146,6146
247,1863,14,57,1,1,-1,1076857070829,-894848865438,82641807,146,6146
248,1869,14,78,1,1,-1,1076857070829,-860433468893,83636815,146,6160
249,1870,14,79,1,1,-1,1076857070829,-860433468893,83636815,146,6160
250,1871,14,80,1,1,-1,1076857070829,-860433468893,83636815,146,6160
251,1872,14,81,1,1,-1,1076857070829,-860433468893,83636815,146,6160
252,1873,14,82,1,1,-1,1076857070829,-860433468893,83636815,146,6160
253,1874,14,83,1,1,-1,1076857070829,-860433468893,83636815,146,6160
254,1875,14,84,1,1,-1,1076857070829,-860433468893,83636815,146,6160
255,1962,15,48,1,1,-1,875968500980,-894848865438,17875726,2,6146
256,1963,15,49,1,1,-1,875968500980,-894848865438,17875726,2,6146
257,1964,15,50,1,1,-1,875968500980,-894848865438,17875726,2,6146
258,1965,15,51,1,1,-1,875968500980,-894848865438,17875726,2,6146
259,1966,15,52,1,1,-1,875968500980,-894848865438,17875726,2,6146
260,1967,15,53,1,1,-1,875968500980,-894848865438,17875726,2,6146
261,1968,15,54,1,1,-1,875968500980,-894848865438,17875726,2,6146
262,1969,15,55,1,1,-1,875968500980,-894848865438,17875726,2,6146
263,1970,15,56,1,1,-1,875968500980,-894848865438,17875726,2,6146
264,1971,15,57,1,1,-1,875968500980,-894848865438,17875726,2,6146
