seed_atom_id,rank,entering_atom_id,poincare_threshold,new_signature_class_count,cumulative_signature_class_count,cumulative_tensor_path_coefficient_mass,cumulative_internal_signature_count,full_coverage
19,4,15,0.0384898921,28,181,389504,352,0
19,5,9,0.0622692354,22,203,502144,462,0
19,6,7,0.13574747,0,203,585856,559,0
19,7,5,0.2880708665,6,209,608832,629,0
19,8,2,0.3534083333,6,215,641856,710,0
19,9,12,0.433237496,6,221,661440,768,0
19,10,14,0.48500567,4,225,727488,839,0
19,11,17,0.5561031147,8,233,802752,909,1
19,12,11,0.557922089,0,233,813376,962,1
19,13,3,0.696262225,0,233,859456,1034,1
19,14,4,0.7039114306,0,233,892480,1104,1
19,15,1,0.7423247108,0,233,924736,1173,1
19,16,6,0.7518335404,0,233,961600,1240,1
19,17,13,0.8160216283,0,233,1000000,1310,1
19,18,16,0.8334070844,0,233,1040960,1373,1
19,19,10,2.9888236218,0,233,1057472,1428,1
19,20,0,3.2804667655,0,233,1067072,1478,1
