mask,basis_cycle_ids,height_action,transport_scalar_mod_1000003,lambda_support,corrected_support,corrected_coefficient_sum_signed,corrected_abs_sum_signed_lift,corrected_vector_sha256_dense_i8
989,0 2 3 4 6 7 8 9,7461888,269068,297,297,1092256,4482224,7a1f9b55aea0a3ca263ea2b16035e33feed096857eddb17e93975b6d4ab08438
990,1 2 3 4 6 7 8 9,7707648,146188,297,297,1126656,4636432,d4bfe5d4b4043ba13761374506036d37042545955065851d4c3899036f3b1008
991,0 1 2 3 4 6 7 8 9,8782848,608591,297,297,1319392,5303632,64c12a1946d4001e621bee8395661ec0d6cf1bf05b2a0b84476fdce2f7a83d4a
992,5 6 7 8 9,4030464,984777,297,297,417632,2285728,c9c0cfbd62e53febbc70155407ca6ac0933a5aaf27b2bcd6edf5dbc04843287a
993,0 5 6 7 8 9,5105664,447177,297,297,610368,2952928,0204eef73986e3c33cca618563468aaf9a436a0db4ea801c3bf53297edc3613d
994,1 5 6 7 8 9,5351424,324297,297,297,644768,3107136,434908cb626ebf5f77d167c9b6edef43110b6bde5b100e5f8b4e0c27e788a635
995,0 1 5 6 7 8 9,6426624,786700,297,297,837504,3774336,fc8a1bc9ccabd9f1418aaf48969a0dce022d3229e4d9fc80aec0a3632628f236
996,2 5 6 7 8 9,4804608,597705,297,297,519584,2749408,991b5e374f64e47b664f6adcb4daed88ec986645f6c3a83792742b9452423ad1
997,0 2 5 6 7 8 9,5879808,60105,297,297,712320,3416608,9a3007d6ec9cf19c45674628e2152bf0d2e26ce2a30bd626db0f470e23e0f353
998,1 2 5 6 7 8 9,6125568,937228,297,297,746720,3570816,9c98f83c1d2f33ade46f350a608f4d742d986283e6e6fa99ce99e660df3f20dd
999,0 1 2 5 6 7 8 9,7200768,399628,297,297,939456,4238016,536508f6107554ba32be4e9b6a32f5ff17dc9d55a786977be6c9f8637398da37
1000,3 5 6 7 8 9,5222400,388809,297,297,669056,3059200,3b2df3c6a7384c341e6176caa9a039b1593d35c54ece6c19a35038af6b7a69a3
1001,0 3 5 6 7 8 9,6297600,851212,297,297,861792,3726400,c37af0f0efb5faf6f4770456004847dafd2fe3eefeebaf83da26d7ffd6b682af
1002,1 3 5 6 7 8 9,6543360,728332,297,297,896192,3880608,3b3bb69d4d23980f786131446f37ae7a7a1888b7597f0a4d8884b7ba2711d2fc
1003,0 1 3 5 6 7 8 9,7618560,190732,297,297,1088928,4547808,5c674484d37070bf9a51e940f6003c4975571faa45215218ec0d49674e54653c
1004,2 3 5 6 7 8 9,5996544,1737,297,297,771008,3522880,1a5d596d8c1703aec3a5984e54851db26924b4070318cd6aeb1d21222cdb4e76
1005,0 2 3 5 6 7 8 9,7071744,464140,297,297,963744,4190080,865834d5dc1e3792e8399657d4a470bea2a0f1efc64084082882b9af8e69957d
1006,1 2 3 5 6 7 8 9,7317504,341260,297,297,998144,4344288,6ef0852ff73945ec8608683b7fabf9f65bd9f43122962eb68caaa1d537467925
1007,0 1 2 3 5 6 7 8 9,8392704,803663,297,297,1190880,5011488,3714db4d8b940c76d039ce61e3830b6e005c82eb2568c6a43903d4bb9f04be04
1008,4 5 6 7 8 9,5111808,444105,297,297,598464,2958080,230b3e8cb0292cbf3c258cf0d6718c23bf4ba83e0b39f6ca57e69c45ebf6aae6
1009,0 4 5 6 7 8 9,6187008,906508,297,297,791200,3625280,39d747544f42e73faee9645a7abe5ff275797a14652234fcad00f144905addb6
1010,1 4 5 6 7 8 9,6432768,783628,297,297,825600,3779488,96415e7b897f8289c0e1cd300066961a36b0abf4ba137954519dcbd528644ea5
1011,0 1 4 5 6 7 8 9,7507968,246028,297,297,1018336,4446688,3f92cbb12ea6c79775b1ff12451b4ebc98f04e864393c8b3107948ecfc84fa6c
1012,2 4 5 6 7 8 9,5885952,57033,297,297,700416,3421760,6716a9f2a1bb6382144a92b526fd0dba6269435f27fe9ce3f7a17030c27d2975
1013,0 2 4 5 6 7 8 9,6961152,519436,297,297,893152,4088960,bd3e8de1e7409f49265c43f769092d914619e0ae41cffcc19f4817e811da4b4b
1014,1 2 4 5 6 7 8 9,7206912,396556,297,297,927552,4243168,18b7204559984f26e7f501c027cd727e29269eb256a6afb3f90d490a74c46520
1015,0 1 2 4 5 6 7 8 9,8282112,858959,297,297,1120288,4910368,460aff884e227951044ec012c28d6b99ff5bbc609e369ad0b3a5938f78b77af3
1016,3 4 5 6 7 8 9,6303744,848140,297,297,849888,3731552,43f9f2eeb289df9f0e7defd2132aa7a7c6cf5ca22fbd15efe8e4fc3304794822
1017,0 3 4 5 6 7 8 9,7378944,310540,297,297,1042624,4398752,152b9dcbf991c25ffeb64bd81fef9a6792c50bffc1a1264690f18d32e7dfe90c
1018,1 3 4 5 6 7 8 9,7624704,187660,297,297,1077024,4552960,361ad99552716aab0e526bcb22e30c88124c5d0fdd084efc504b321b8ba0fb2e
1019,0 1 3 4 5 6 7 8 9,8699904,650063,297,297,1269760,5220160,8c4a8c9f429912f3fa7b739e3e20d0d1bf25ea85b7e18df1e34b2643ee8cd807
1020,2 3 4 5 6 7 8 9,7077888,461068,297,297,951840,4195232,08f71517e2e7fc20ae308b017c598b258b5276b5889146bcca7cf4df5036720a
1021,0 2 3 4 5 6 7 8 9,8153088,923471,297,297,1144576,4862432,b71c93068c63a571f72ef4da84f08128b19eb9dfb45f2a3e4c6d6d75fea2c1c5
1022,1 2 3 4 5 6 7 8 9,8398848,800591,297,297,1178976,5016640,a0438112cbb49d2db17ce6bcb78b531863431315f12435c7ce2651552201d023
1023,0 1 2 3 4 5 6 7 8 9,9474048,262991,297,297,1371712,5683840,c8b0824b9065a5b9736893e564f2e9242cf4a34dd9286a41cfbb135705dd235b
1024,10,1090560,454723,297,297,140640,629712,c7b8801ef2d3a16e837949e5baaf861dbf7e8e74e8f53bfb910e49fccafc3568
1025,0 10,2165760,917126,297,297,333376,1296912,7c1c10aa232522a4cb891db3ada1a982ab6adec49ea4a07b8cf3469158308957
1026,1 10,2411520,794246,297,297,367776,1451120,7cca5ce4b69bf95c54368f1c826cb8233820eb2786a406e90c0e9f3d955e7a50
1027,0 1 10,3486720,256646,297,297,560512,2118320,97d370116ce1f7393112df6959472ecafedbe62b02c7013437c3e276db30d1ac
1028,2 10,1864704,67651,297,297,242592,1093392,2b081095f47cb501e6da5757e12564a8efba5cc2005a9434fd937c10ba8e8645
1029,0 2 10,2939904,530054,297,297,435328,1760592,721faca0458b632cad9e30dc7d58adde6f34f08c326115fc75335c27922e134b
1030,1 2 10,3185664,407174,297,297,469728,1914800,d3d57e41a83b984f3435ddc3bfe4d5602a037cb0bfac951987916ea3eaf74bf2
1031,0 1 2 10,4260864,869577,297,297,662464,2582000,abeea8c1481d2d208634c54216e393f1a7a99ca2fee8c5edc8f48592d9dcd15e
1032,3 10,2282496,858758,297,297,392064,1403184,26c07aa6714429cc6a44713005f965ae840691f996cb8ab5cb2e098bfb372fef
1033,0 3 10,3357696,321158,297,297,584800,2070384,9e10315216fa0f395725ae9473049a86e182250df1c5ff7365d3eb454f163a16
1034,1 3 10,3603456,198278,297,297,619200,2224592,95cc608fffc3d54abf6b713060c54ec8800dcba9f364f53c85e902f9b63f18cd
1035,0 1 3 10,4678656,660681,297,297,811936,2891792,b27685e6828fc09512367933f545e3f3007c0e2506b9ccaff88b663431733bb5
1036,2 3 10,3056640,471686,297,297,494016,1866864,310897e7418a1e4eab2ef3d4cc3f44bae3767a2e6fee769b345c180959d9a45f
1037,0 2 3 10,4131840,934089,297,297,686752,2534064,31117a8f6b92eaf5552f30386bc03b2428536624e59413f8a2a1da47bb44d317
1038,1 2 3 10,4377600,811209,297,297,721152,2688272,3c8a4470a62fe641a638efd9b6e55b7f95598ef827019952f225ed2787650601
1039,0 1 2 3 10,5452800,273609,297,297,913888,3355472,55e4a2755f824ef632c6b219da4e7e977124164835f1cd2109effda911381939
1040,4 10,2171904,914054,297,297,321472,1302064,69decf31e1b8fea37fb75b92f43700c04af40f4630762d69925170019afb9ea5
1041,0 4 10,3247104,376454,297,297,514208,1969264,85fe90dcea832e7b11eaa5351bf362e5b705e10c5b0d57b385256526e5489423
1042,1 4 10,3492864,253574,297,297,548608,2123472,0eec30dddd7d0c2a2b1bb76ef2e1c1c2087bcf3372c2cd5229f2cec4941f6f99
1043,0 1 4 10,4568064,715977,297,297,741344,2790672,e5ef7a911a09fd49eef2f9bf28dec688144e6ac2ed1e3a13d15fb6ba8b6969ab
1044,2 4 10,2946048,526982,297,297,423424,1765744,48c83712f4842fc37f68d1eb0a3e32dfccc28dae8d76ec0814c52afc932935a7
1045,0 2 4 10,4021248,989385,297,297,616160,2432944,82feff6258adf2b4984da0409cd7f0123e15e8a14260549bb196d740c1da8cac
1046,1 2 4 10,4267008,866505,297,297,650560,2587152,42c24b593a237df2185fee81ff17d303df1e8e47a21b47918ecb478a3fd233cb
1047,0 1 2 4 10,5342208,328905,297,297,843296,3254352,4e327329961f4597bfb513e4d6ca8b9d0a4179b47f34fd44b958b5fb930c98fe
1048,3 4 10,3363840,318086,297,297,572896,2075536,66b3a91da16e1aca16976d5747017518cc662ac784e9edd6fc0c218605d7e803
1049,0 3 4 10,4439040,780489,297,297,765632,2742736,776bc4835167c4dc3323c359549e499d33d8da04bf919f9e505218a90ddf1771
1050,1 3 4 10,4684800,657609,297,297,800032,2896944,519fc1e4f317031214d04c13642df47ccb257036d9993a3673cdcf89f62cde55
1051,0 1 3 4 10,5760000,120009,297,297,992768,3564144,71c1e5fb4229345910770a7f9010b4b725f90cff53a3f28a4b63940aff6badea
1052,2 3 4 10,4137984,931017,297,297,674848,2539216,b0eff81ef09823e5e26f96ff7bf2f471180c5b07847bea55b112db115587006f
1053,0 2 3 4 10,5213184,393417,297,297,867584,3206416,9cffe16635f619a18464fc0b1335dd939eab06d3b4cc8e32e889de51c6c48a08
1054,1 2 3 4 10,5458944,270537,297,297,901984,3360624,69a3e66951142b8f21c9abe928148a1db0c898e577c1be9f77acf9f848f19da6
1055,0 1 2 3 4 10,6534144,732940,297,297,1094720,4027824,86e7780c627270d045d507c68c328af890bffbc4ce1f1ebde788002f50a2bf17
1056,5 10,1781760,109123,297,297,192960,1009920,d1f5fe1a1292ee8bcc9cc04338303354cae1383bc218b2be4f942f30fd23b997
1057,0 5 10,2856960,571526,297,297,385696,1677120,485d869b431a5a221adcea495317693dc93e6b129d97e1ae8db13924dc80eaf6
1058,1 5 10,3102720,448646,297,297,420096,1831328,89c34128dcbdce51f6da04acc122c8a2bea77186b7a154b19cb065cff2d0c612
1059,0 1 5 10,4177920,911049,297,297,612832,2498528,46abe91fa2fa2226ff7a1cbb609dfbcc4ba6e5b11b214234ec45ed24af2c5ea0
1060,2 5 10,2555904,722054,297,297,294912,1473600,62b2f86172bd8c000bb99f8497f3a721590ab540fcb36fe2657f368a59d09a3e
1061,0 2 5 10,3631104,184454,297,297,487648,2140800,885fa79007d126942c2cfb6fd50bf59b15988f5687e5a5064d7166565d8b2c5d
1062,1 2 5 10,3876864,61574,297,297,522048,2295008,798c6c4df02fb0a9b06d569e38cefac6dafd174fb7f8adc535819fa80ecad296
1063,0 1 2 5 10,4952064,523977,297,297,714784,2962208,21046ccd693d23ff5930ba35e5387d6c7e25a13cc19895a9ec321433907bcef3
1064,3 5 10,2973696,513158,297,297,444384,1783392,ca338748539615dc48665d73641bbdcddcd7ca81b9842abda45e35a8e8dfcc1f
1065,0 3 5 10,4048896,975561,297,297,637120,2450592,c6148fb97bf7202c96ddd5226814e2121c15bb79e325aa9810b5515e81c30597
1066,1 3 5 10,4294656,852681,297,297,671520,2604800,327a18506308305e1947309c06fc53572ae0057b0d8e4fb263cfc17a03a9ea46
1067,0 1 3 5 10,5369856,315081,297,297,864256,3272000,60a9ba0b07cdbb5f47dc220df0f79434b8f8173435d4404ec0f8c2ff590921e2
1068,2 3 5 10,3747840,126086,297,297,546336,2247072,2332b295bd098290b6fa5215d362f421050d91abb7d695e3a1488d33ba316d67
1069,0 2 3 5 10,4823040,588489,297,297,739072,2914272,3b2074b0d1683f452a87fbaed47c5cc536bb2b4722d83a6fdb13838d935d5488
1070,1 2 3 5 10,5068800,465609,297,297,773472,3068480,fa0fdae98d015e12e421f72c74ccb393cd6f6c53aece56b21b86aacb2752ed15
1071,0 1 2 3 5 10,6144000,928012,297,297,966208,3735680,76f51587ef4e22b1353d2b068bf4bc263aa499e11ae00cba6404a7f0195c5875
1072,4 5 10,2863104,568454,297,297,373792,1682272,65c715b5d732397b41cee038977ce5bf19af7e75a0004d214344ce0bb7e1d31d
1073,0 4 5 10,3938304,30854,297,297,566528,2349472,a664739cd626674abd63782bbbd7fe2420dc2e73592b6a8328fee71ce845eb42
1074,1 4 5 10,4184064,907977,297,297,600928,2503680,cc473f9b53bc44d5b438d34adf13b8ce45dcab3050212304652ad9ad91833b8a
1075,0 1 4 5 10,5259264,370377,297,297,793664,3170880,50acaee10fdbf223cfbc3ea1a0d9a0754c451aff2a8206297054e2303fcce223
1076,2 4 5 10,3637248,181382,297,297,475744,2145952,189cfe584ef177a191fa99916d5772a466e0ccbd3b74601d734147466b1aa524
1077,0 2 4 5 10,4712448,643785,297,297,668480,2813152,bfe44a7838010dc771ea502dbf97c5696f3a191e9d47ec8154e04694ad4de15e
1078,1 2 4 5 10,4958208,520905,297,297,702880,2967360,614d546bd83f39bb01ac281bfd5ca44aba731ff9a8b1947c5c135f549e56c5a9
1079,0 1 2 4 5 10,6033408,983308,297,297,895616,3634560,dad41d52933ca7a116defb050fe47f7eb389c94fda49b7327b44005087dd7ee0
1080,3 4 5 10,4055040,972489,297,297,625216,2455744,b9ac962b07eb1a91a127ffe2f0c883dc086eef7350336f50ced42926df50232b
1081,0 3 4 5 10,5130240,434889,297,297,817952,3122944,216ee9d4a4db61bc74503e9367303c732fca379460698b34a719ef686afd7fe5
1082,1 3 4 5 10,5376000,312009,297,297,852352,3277152,761add8f8999d4762fd4e40065bcd786cc51b50cc87a6324173e9cfccbf38bbc
1083,0 1 3 4 5 10,6451200,774412,297,297,1045088,3944352,7d32f8372e175fb873d4ba7081cb9c2e4683113cb50ef30440bd9f59753d90f3
1084,2 3 4 5 10,4829184,585417,297,297,727168,2919424,8128bb123fe52893f2a3d958c17f851807dc329d344cb623943cd70b5b33b9b6
1085,0 2 3 4 5 10,5904384,47817,297,297,919904,3586624,76850ad41d75c258f3eb9864e43831c44dc77d39f99d1c7573c437dbdb0572b7
1086,1 2 3 4 5 10,6150144,924940,297,297,954304,3740832,15350f1058c504c083db92f5929530c8efca12b345c97849a500c4ca7d3697dc
1087,0 1 2 3 4 5 10,7225344,387340,297,297,1147040,4408032,3e25bb87f85b8d555cdb7230d48596ab2e0303d5374256d0c976b10a2e028085
1088,6 10,1993728,3139,297,297,211680,1127280,82a93da145fd4a225aa2fda53410885234de29c7b255d29f1be817afaa90a4ae
1089,0 6 10,3068928,465542,297,297,404416,1794480,dc71b6a669ad9787ad514e691d4b34f74d1bd9b000b71ed111361808cb0d8ced
1090,1 6 10,3314688,342662,297,297,438816,1948688,d3cafc128b7c007e1fceff0c311737a30f900df78b576f37fd19375bbd033de7
1091,0 1 6 10,4389888,805065,297,297,631552,2615888,8e417fac8db8f9d594396f63b1070048af2f6c693c193609b251ed4fbfca250a
1092,2 6 10,2767872,616070,297,297,313632,1590960,4bdde1474c9aee3d83ad83e6669edd14fa54ae2ad956fe8c8fedd76c05bc5037
1093,0 2 6 10,3843072,78470,297,297,506368,2258160,c6cb7ef0c48b5310dbcee65e77ce0a9beea6da1f11fa65d08a867a35881d636d
1094,1 2 6 10,4088832,955593,297,297,540768,2412368,31cc4a820519cc12cf4c659c86c8630914df514f35fd977192d493c428a8e0b1
1095,0 1 2 6 10,5164032,417993,297,297,733504,3079568,3faaf3ff1c1a271ef8aa80d373ca156b6efda43c0b6654f77c4ba92205bf1b4f
1096,3 6 10,3185664,407174,297,297,463104,1900752,ccb9f13c2a72a7d8301efb0e88f99a1e714067a6e3f9da015f9d2da4f30d9949
1097,0 3 6 10,4260864,869577,297,297,655840,2567952,0d97940c23230c1bf2b6d2a85891482cf1dfe303b2fe070a04e614c90322214c
1098,1 3 6 10,4506624,746697,297,297,690240,2722160,3f77ae6ce71734df46f25fdc9d43695acb12eef26829e335fb52cc96040d99e2
1099,0 1 3 6 10,5581824,209097,297,297,882976,3389360,d8ffe530125ddf0accd6ffc64779667060223845535e761f43da1c9a99656c02
1100,2 3 6 10,3959808,20102,297,297,565056,2364432,0f7c3b6f9f7e93b7bb6bb95f913d93008be3306f18119c575a3d8cfb389acec4
1101,0 2 3 6 10,5035008,482505,297,297,757792,3031632,6426ef94b125fcc62a018bf21f8e160568112ff368e0b6421841cbb82e57f985
1102,1 2 3 6 10,5280768,359625,297,297,792192,3185840,65222ccf25364b39a5abfb298c701587abce84f6c74017dd1314c1dbffa51153
1103,0 1 2 3 6 10,6355968,822028,297,297,984928,3853040,775d285ed081e56df0eb5d9dcf2a2dec0c62080454831799e88c2accee54d13b
1104,4 6 10,3075072,462470,297,297,392512,1799632,257e855fc5edfe86846f8db11743b77f0eaa0843f044386d771dd611cccbd20c
1105,0 4 6 10,4150272,924873,297,297,585248,2466832,bcd7f5f3968cdfe63401d521c059efcbe1c57a9db908ed09137e9e241de362f8
1106,1 4 6 10,4396032,801993,297,297,619648,2621040,976376a301744485d96d506d727963a735ead87f37f032afbf03d06705e49e0e
1107,0 1 4 6 10,5471232,264393,297,297,812384,3288240,5c049f5e9ed670ba7ff0b307484cf4eef77aa57ff6c76e17fe7584deddddb0e7
1108,2 4 6 10,3849216,75398,297,297,494464,2263312,9049d20fcdc8607ddb2e8bd4c7ffb19d803cae922f39e4fa26f1d15d3450cf67
1109,0 2 4 6 10,4924416,537801,297,297,687200,2930512,1c8943507e284d0ade4c3380664110ac260bb34bb34697ccc6ae6e22842033f9
1110,1 2 4 6 10,5170176,414921,297,297,721600,3084720,87b80f2e9394eebbabf4bcfed4d3449714f4d3f5993848f55de4c743b8e3e354
1111,0 1 2 4 6 10,6245376,877324,297,297,914336,3751920,6033c4cd6dc9571dbdd3cee63a1e0e445f77045d3eb71fdd050d1cda3ebe4157
1112,3 4 6 10,4267008,866505,297,297,643936,2573104,33c65db0a8433c77a3cb480ee2b266dd3aba6d6f0effe8811c3243d347f9a69d
1113,0 3 4 6 10,5342208,328905,297,297,836672,3240304,330e3d7557e8b484920d76e9880dd32b354c802f7e08ab3b79adb74ea46f55a4
1114,1 3 4 6 10,5587968,206025,297,297,871072,3394512,370505a95b04801b8e6e1a02a239bebe48672b096d03336d12d5a1041a0c8fd7
1115,0 1 3 4 6 10,6663168,668428,297,297,1063808,4061712,5dc971091c110f336de062efbcbfda6c1cc6dcf3740272454cfc33c19dcfc165
1116,2 3 4 6 10,5041152,479433,297,297,745888,3036784,efa78502ee2384e7ee255150f9986e67dc902038040ce63fe55487a4c8123ac1
1117,0 2 3 4 6 10,6116352,941836,297,297,938624,3703984,c18247344f7a6b59f5d420e2c8bcd080d5465c2c6e21f62f7c0cfed36f78affa
1118,1 2 3 4 6 10,6362112,818956,297,297,973024,3858192,3c9bdc7d11d69ef3d9b653fdf405da62699a99afa61a90a7364d605e1b948459
1119,0 1 2 3 4 6 10,7437312,281356,297,297,1165760,4525392,9750b1f91d189c3ea5cd49700f1c5cc2734fe0f4956b82eac93441aa5f3442da
1120,5 6 10,2684928,657542,297,297,264000,1507488,8c3289a07f4747be116af9f7410fb953797e53eb53e26af5b51519279613d50f
1121,0 5 6 10,3760128,119942,297,297,456736,2174688,ed092ea33b2243fafab09d734c05174a00a1439b15f618a5b7ed6d53639f762f
1122,1 5 6 10,4005888,997065,297,297,491136,2328896,72ec8467901e7bddeabec471ad2343346ce792d23c24ca1c09c6d2ee2b6437c6
1123,0 1 5 6 10,5081088,459465,297,297,683872,2996096,b551ee5fdb8d8b65d299a4a4174bf168aa06fb5409c3ea5df6c2cf2c7e2c1685
1124,2 5 6 10,3459072,270470,297,297,365952,1971168,5dc5f44acc14046a2e5091228ecb55972b21473560919fbeddffc52f843051e5
1125,0 2 5 6 10,4534272,732873,297,297,558688,2638368,72d1424661c03006d7483af3ef7b01a2a93414b835d42abaeed359cb2bfd4781
1126,1 2 5 6 10,4780032,609993,297,297,593088,2792576,27b6c6a1991da6e10e6459b8220d510f7a2ed0a8e107ab6acb0831b49b07b7d8
1127,0 1 2 5 6 10,5855232,72393,297,297,785824,3459776,97eb7c5dda625005542830b29f17d65487cbe6f742ab189e4de0cef735a951b6
1128,3 5 6 10,3876864,61574,297,297,515424,2280960,22eff005f72e477aea96c8e642f8dfabfedc19ce34a58c10562eb3a8520062b4
1129,0 3 5 6 10,4952064,523977,297,297,708160,2948160,496e3acf3039bafcdc2c68796841285a728dfbdf5150b276cf6fbdc5ff5caecf
1130,1 3 5 6 10,5197824,401097,297,297,742560,3102368,861b0d602a9c8340648cddf887aa65f6cb2cd66e22db3eea04d8ddb5e51d199c
1131,0 1 3 5 6 10,6273024,863500,297,297,935296,3769568,51b8a99edce001e553f17c8c816a5ed37c9826c84a6dc1680869fc6674973350
1132,2 3 5 6 10,4651008,674505,297,297,617376,2744640,f45247fbd5ed7ea7416aec6fc25bc9259add8ed0c65e40efb31e87fc264ee9bc
1133,0 2 3 5 6 10,5726208,136905,297,297,810112,3411840,736627d7341927bdb61dbe33775539a9375dcd247ee5b1099bb9408b43fe4ef9
1134,1 2 3 5 6 10,5971968,14025,297,297,844512,3566048,374a6e12ea5cde8bb6f851011884b5775782ea81b661c227b08a0cb9842a6baf
1135,0 1 2 3 5 6 10,7047168,476428,297,297,1037248,4233248,b1de388fe95525f5ca36dc5a3dcbc424af6e06a6d74b376fd240c929e2b04c36
1136,4 5 6 10,3766272,116870,297,297,444832,2179840,d5db7653c7e9d06688a2767b74456757c0420d7cef2100764098a223406862aa
1137,0 4 5 6 10,4841472,579273,297,297,637568,2847040,f6e572d0b47d731861688349fa1a127752232b5a49841ab03d4912141e5491cb
1138,1 4 5 6 10,5087232,456393,297,297,671968,3001248,4c05529c70eb485b2c3b85aae2eca61dc6f41c8f92f771067d26b1b14803984c
1139,0 1 4 5 6 10,6162432,918796,297,297,864704,3668448,8cbec6eebe8defab3ee03ac7cf3280689286d6c098d11a0fec51e5a2955dbbc6
1140,2 4 5 6 10,4540416,729801,297,297,546784,2643520,92225e5ee45ae023acb49a5aaddfda7ec7a3b5928648977958ee882e3408cf7d
1141,0 2 4 5 6 10,5615616,192201,297,297,739520,3310720,e67797562533decad37096075987df7a088d951eda7f206281b004ad132bb7e2
1142,1 2 4 5 6 10,5861376,69321,297,297,773920,3464928,40f4dbfcdcce8a8999312a20f4cd61b4cda2976f4b7745e8a4b4d6c94b105023
1143,0 1 2 4 5 6 10,6936576,531724,297,297,966656,4132128,704f897efebcd2ff008af6adce530bad0a738b7a602dc4d67855f7130b00bd4e
1144,3 4 5 6 10,4958208,520905,297,297,696256,2953312,c2d62c765e4121e988e54db5c338745a5df2d32974acd64198aa72fae1c99d11
1145,0 3 4 5 6 10,6033408,983308,297,297,888992,3620512,3bc41011831d9aad5de27aef0a7730d875ffdc10fba2209b542eb723aa254200
1146,1 3 4 5 6 10,6279168,860428,297,297,923392,3774720,2c5cc698648321a0d554571a7c97dc93fba643f219eca69e2a18cb1d02456678
1147,0 1 3 4 5 6 10,7354368,322828,297,297,1116128,4441920,88be75c623825aabdc95913b3d7325d917d454055dcf2363528d023f947700bc
1148,2 3 4 5 6 10,5732352,133833,297,297,798208,3416992,122dfdb0805b1da5567f1d21c274c8d95512106f73f05447f120e965cc57902f
1149,0 2 3 4 5 6 10,6807552,596236,297,297,990944,4084192,293696f60bef790741ba6f6fcb6a1c83ec97694f0ab102f230bb85d262f66be7
1150,1 2 3 4 5 6 10,7053312,473356,297,297,1025344,4238400,b43213b83886a9c63b612560d41537637c3a0ffd4862f9f9d91865ac49b0d364
1151,0 1 2 3 4 5 6 10,8128512,935759,297,297,1218080,4905600,647ff0a183aae94fa93e14065c0049a1759efbe295a52d28520ed8dee03b560c
1152,7 10,2159616,920198,297,297,284512,1261456,3b535db8a891a3517a160033ecd0dd41bbe717e1f332fb6aa0519a2f49f30d4f
1153,0 7 10,3234816,382598,297,297,477248,1928656,09d22c8c4df0b0d0dfde19501aba41cfaef5cd6f470002d21966689616db9ad7
1154,1 7 10,3480576,259718,297,297,511648,2082864,8c74ddc06b86b85a9f3d3b64d0524f0da8bd87629d00b57f21afb29db5078f65
1155,0 1 7 10,4555776,722121,297,297,704384,2750064,18655a5a5b3799a5f88ecb5a4c3f319c2eb16059f5b4ecd58f07715c8920d3fd
1156,2 7 10,2933760,533126,297,297,386464,1725136,82bff79e673fdff170fe2b42650ee687e6e0aee710d9a1dbac75974f4929cfee
1157,0 2 7 10,4008960,995529,297,297,579200,2392336,4194ac05130fc7af8d757f5d366681d04ec4f546c34b2fa036b1792d1133200e
1158,1 2 7 10,4254720,872649,297,297,613600,2546544,4f7b195a51d487485ba7961525952ada7e3ea950016fca2243edc46082d93591
1159,0 1 2 7 10,5329920,335049,297,297,806336,3213744,ccbbc92e64e5c58523597f4022ad766ee427fa147cee5c6943beed079f59ce79
1160,3 7 10,3351552,324230,297,297,535936,2034928,62b9b19956e6bae7d68141d157a3261472d304799b371e095fe993d1429b92cb
1161,0 3 7 10,4426752,786633,297,297,728672,2702128,18ca20e42f5c9b5c46137d7ec597ee9f6104c38eee849260a0096544911486fb
1162,1 3 7 10,4672512,663753,297,297,763072,2856336,6a1a44658bb458aa0163290c1bef482bd8a358c01d1d6d826d20655fc6791360
1163,0 1 3 7 10,5747712,126153,297,297,955808,3523536,502c4e81be020afdbe31dd04222f4c19fe9f48e729ba6375325768651bdd8215
1164,2 3 7 10,4125696,937161,297,297,637888,2498608,a4875c455b909acc047dee0455f76f1f8345025d3e27872fc9cc11483ff86794
1165,0 2 3 7 10,5200896,399561,297,297,830624,3165808,6bfa8a497053ce6fd17a940203ac74ccbfeb6c00f7ae6df0f58b1099fbd0eac8
1166,1 2 3 7 10,5446656,276681,297,297,865024,3320016,07be886eee867c07ce0cd507f2fab95ae02124c8ab8c8f28ecc6c075ac77693a
1167,0 1 2 3 7 10,6521856,739084,297,297,1057760,3987216,eb87e1b1d214531204acb9fb4dd4eaf093ec774f9e56b62e39894f78c4e1e8cb
1168,4 7 10,3240960,379526,297,297,465344,1933808,937706c183ec6400718559c516deb3d91b91e1e7810519af22c97b196ab79267
1169,0 4 7 10,4316160,841929,297,297,658080,2601008,9d3574d004f3eedf5fef70222a9b1075ddbf8f874e827878408e0c1406ba5d89
1170,1 4 7 10,4561920,719049,297,297,692480,2755216,cc18fe320e6c188bf92bd95abb8253a0ff904b03b61a751afc6a82c3df4264c6
1171,0 1 4 7 10,5637120,181449,297,297,885216,3422416,0db4ea77731244a9c6dafeadcbb2e576d5d32f83ffe1776f30431a12770102f5
1172,2 4 7 10,4015104,992457,297,297,567296,2397488,3f7f9f2926738999d3b47d2cc28ee3f71d116be8b470be12c460872a47efe059
1173,0 2 4 7 10,5090304,454857,297,297,760032,3064688,878ea101eb30ffded28b64d9a268c75648971bdc96b0f8a11e28926ccbc7f0ae
1174,1 2 4 7 10,5336064,331977,297,297,794432,3218896,5febc9547c79e1e8794df16ad352b5d38c573ba45f839abc49a0df36723173b0
1175,0 1 2 4 7 10,6411264,794380,297,297,987168,3886096,c4ca05ed0b7552b5153963a8d11d03b6ae6bff43cd72d5497f7a1d95c3b238cc
1176,3 4 7 10,4432896,783561,297,297,716768,2707280,f6148794cfa50eedaca0b522d07ae5b7668a6c541bb7cdfdfb352ea3d1ff4b91
1177,0 3 4 7 10,5508096,245961,297,297,909504,3374480,860ca0cff09a5d3695ec8a2834b055a9910bf698de834879d106aa089ca1f101
