projector_column,support_name,relation_alpha,coefficient_mod_1000003,projector_source
6,Pi33_plus_mixed_S_channel,940,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,941,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,943,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,945,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,951,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,954,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,955,910159,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,956,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,960,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,961,89844,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,962,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,964,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,965,910159,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,969,582033,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,973,89844,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,975,746096,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,977,253907,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,978,910159,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,981,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,982,417970,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
6,Pi33_plus_mixed_S_channel,983,761721,SUM_OF_FULL_COO_DIAGONAL_MATRIX_UNITS
