triple_id,left_symbol_id,middle_symbol_id,right_symbol_id,left_atom_id,middle_atom_id,right_atom_id,canonical_first_symbol_id,canonical_second_symbol_id,canonical_third_symbol_id,left_path_first_rule_id,left_path_second_rule_id,left_path_third_rule_id,right_path_first_rule_id,right_path_second_rule_id,right_path_third_rule_id,left_final_matches_right_final,matches_direct_sorted_normal_form,sector_union_mask,sector_coverage_count,signature_union_count,tensor_path_support_sum,tensor_path_coefficient_mass_sum,word_triple_multiplicity,left_path_swap_count,right_path_swap_count,canonical_triple_id
130,3,3,4,11,11,12,3,3,4,21,22,21,22,21,22,1,1,54,4,88,11136,40832,216,0,0,47
131,3,3,5,11,11,19,3,3,5,21,23,21,23,21,23,1,1,62,5,132,130176,186624,216,0,0,48
132,3,4,0,11,12,1,0,3,4,22,24,18,24,18,22,1,1,63,6,147,24048,62464,216,2,2,16
133,3,4,1,11,12,4,1,3,4,22,25,19,25,19,22,1,1,63,6,151,19968,63232,216,2,2,31
134,3,4,2,11,12,7,2,3,4,22,26,20,26,20,22,1,1,63,6,167,64512,113920,216,2,2,41
135,3,4,3,11,12,11,3,3,4,22,27,21,27,21,22,1,1,54,4,88,11136,40832,216,1,1,47
136,3,4,4,11,12,12,3,4,4,22,28,22,28,22,28,1,1,54,4,88,15936,49792,216,0,0,49
137,3,4,5,11,12,19,3,4,5,22,29,22,29,22,29,1,1,62,5,146,134976,195584,216,0,0,50
138,3,5,0,11,19,1,0,3,5,23,30,18,30,18,23,1,1,63,6,171,143088,208256,216,2,2,17
139,3,5,1,11,19,4,1,3,5,23,31,19,31,19,23,1,1,63,6,175,139008,209024,216,2,2,32
140,3,5,2,11,19,7,2,3,5,23,32,20,32,20,23,1,1,63,6,183,183552,259712,216,2,2,42
141,3,5,3,11,19,11,3,3,5,23,33,21,33,21,23,1,1,62,5,132,130176,186624,216,1,1,48
142,3,5,4,11,19,12,3,4,5,23,34,22,34,22,29,1,1,62,5,146,134976,195584,216,1,1,50
