entry_id,row_atom,col_atom,directed_flux_scaled,transpose_flux_scaled,symmetric_flux_scaled,diagonal_flag,nonzero_flag
127,6,7,0,0,0,0,0
128,6,8,0,0,0,0,0
129,6,9,0,0,0,0,0
130,6,10,0,0,0,0,0
131,6,11,0,0,0,0,0
132,6,12,0,0,0,0,0
133,6,13,0,0,0,0,0
134,6,14,0,0,0,0,0
135,6,15,0,0,0,0,0
136,6,16,0,0,0,0,0
137,6,17,0,0,0,0,0
138,6,18,-728681970,0,-728681970,0,1
139,6,19,0,0,0,0,0
140,7,0,0,0,0,0,0
141,7,1,0,0,0,0,0
142,7,2,0,0,0,0,0
143,7,3,0,0,0,0,0
144,7,4,0,0,0,0,0
145,7,5,0,0,0,0,0
146,7,6,0,0,0,0,0
147,7,7,0,0,0,1,0
148,7,8,0,0,0,0,0
149,7,9,4879688304,0,4879688304,0,1
150,7,10,0,0,0,0,0
151,7,11,0,0,0,0,0
152,7,12,-4947681144,827163159,-4120517985,0,1
153,7,13,0,0,0,0,0
154,7,14,8151413237,1484423974,9635837211,0,1
155,7,15,0,3635640175,3635640175,0,1
156,7,16,0,0,0,0,0
157,7,17,0,2136193089,2136193089,0,1
158,7,18,0,0,0,0,0
159,7,19,0,0,0,0,0
160,8,0,0,0,0,0,0
161,8,1,0,0,0,0,0
162,8,2,0,0,0,0,0
163,8,3,0,0,0,0,0
164,8,4,0,0,0,0,0
165,8,5,0,0,0,0,0
166,8,6,0,0,0,0,0
167,8,7,0,0,0,0,0
168,8,8,0,0,0,1,0
169,8,9,1126064767,5276924695,6402989462,0,1
170,8,10,0,0,0,0,0
171,8,11,0,0,0,0,0
172,8,12,0,0,0,0,0
173,8,13,0,0,0,0,0
174,8,14,2205854598,0,2205854598,0,1
175,8,15,0,0,0,0,0
176,8,16,0,0,0,0,0
177,8,17,1225370314,0,1225370314,0,1
178,8,18,0,0,0,0,0
179,8,19,719635016,0,719635016,0,1
180,9,0,0,0,0,0,0
181,9,1,0,0,0,0,0
182,9,2,0,0,0,0,0
183,9,3,0,0,0,0,0
184,9,4,0,0,0,0,0
185,9,5,0,0,0,0,0
186,9,6,0,0,0,0,0
187,9,7,0,4879688304,4879688304,0,1
188,9,8,5276924695,1126064767,6402989462,0,1
189,9,9,0,0,0,1,0
190,9,10,0,1527658764,1527658764,0,1
191,9,11,0,0,0,0,0
192,9,12,0,0,0,0,0
193,9,13,0,0,0,0,0
194,9,14,0,0,0,0,0
195,9,15,910710462,0,910710462,0,1
196,9,16,0,0,0,0,0
197,9,17,0,0,0,0,0
198,9,18,0,0,0,0,0
199,9,19,1345776678,0,1345776678,0,1
200,10,0,0,4894010564,4894010564,0,1
201,10,1,0,0,0,0,0
202,10,2,0,0,0,0,0
203,10,3,0,0,0,0,0
204,10,4,0,0,0,0,0
205,10,5,0,0,0,0,0
206,10,6,0,0,0,0,0
207,10,7,0,0,0,0,0
208,10,8,0,0,0,0,0
209,10,9,1527658764,0,1527658764,0,1
210,10,10,0,0,0,1,0
211,10,11,-1798968720,-4373584662,-6172553382,0,1
212,10,12,0,-791735858,-791735858,0,1
213,10,13,0,0,0,0,0
214,10,14,0,0,0,0,0
215,10,15,0,0,0,0,0
216,10,16,0,0,0,0,0
217,10,17,0,0,0,0,0
218,10,18,0,0,0,0,0
219,10,19,0,0,0,0,0
220,11,0,5029584201,2454968259,7484552460,0,1
221,11,1,0,0,0,0,0
222,11,2,0,0,0,0,0
223,11,3,0,0,0,0,0
224,11,4,0,0,0,0,0
225,11,5,0,0,0,0,0
226,11,6,0,0,0,0,0
227,11,7,0,0,0,0,0
228,11,8,0,0,0,0,0
229,11,9,0,0,0,0,0
230,11,10,-4373584662,-1798968720,-6172553382,0,1
231,11,11,0,0,0,1,0
232,11,12,0,0,0,0,0
233,11,13,0,0,0,0,0
234,11,14,0,0,0,0,0
235,11,15,0,0,0,0,0
236,11,16,0,0,0,0,0
237,11,17,0,0,0,0,0
238,11,18,0,0,0,0,0
239,11,19,0,0,0,0,0
240,12,0,0,4234164820,4234164820,0,1
241,12,1,0,0,0,0,0
242,12,2,0,3469971000,3469971000,0,1
243,12,3,0,0,0,0,0
244,12,4,0,0,0,0,0
245,12,5,0,-2721027375,-2721027375,0,1
246,12,6,0,0,0,0,0
247,12,7,827163159,-4947681144,-4120517985,0,1
248,12,8,0,0,0,0,0
249,12,9,0,0,0,0,0
250,12,10,-791735858,0,-791735858,0,1
251,12,11,0,0,0,0,0
252,12,12,0,0,0,1,0
253,12,13,0,0,0,0,0
254,12,14,0,0,0,0,0
255,12,15,0,0,0,0,0
256,12,16,0,0,0,0,0
257,12,17,0,0,0,0,0
