transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,derived_only_transition_flag,spectral_cut_edge_flag,boundary_path_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
1648,533,542,3,1,0,0,0,0,513962652,142857142857,125000000000,1798869282,2055850608
1649,533,550,3,1,0,0,0,0,513962652,142857142857,50847457627,1798869282,5053966079
1650,533,555,3,1,0,0,0,0,513962652,142857142857,142857142858,1798869282,1798869282
1651,533,566,3,1,0,0,0,0,513962652,142857142857,38961038961,1798869282,6595854035
1652,533,577,3,1,0,0,0,0,513962652,142857142857,200000000000,1798869282,1284906630
1653,533,588,3,1,0,0,0,0,513962652,142857142857,142857142858,1798869282,1798869282
1654,534,538,3,1,0,0,0,0,513962652,125000000000,68181818182,2055850608,3769059449
1655,534,541,3,1,0,0,0,0,513962652,125000000000,83333333334,2055850608,3083775913
1656,534,543,3,1,0,0,0,0,513962652,125000000000,111111111111,2055850608,2312831935
1657,534,546,3,1,0,0,0,0,513962652,125000000000,166666666667,2055850608,1541887956
1658,534,556,3,1,0,0,0,0,513962652,125000000000,142857142858,2055850608,1798869282
1659,534,578,3,1,0,0,0,0,513962652,125000000000,166666666667,2055850608,1541887956
1660,534,589,3,1,0,0,0,0,513962652,125000000000,166666666667,2055850608,1541887956
1661,535,537,3,1,0,0,0,0,513962652,250000000000,200000000000,1027925304,1284906630
1662,535,538,3,1,0,0,0,0,513962652,250000000000,68181818182,1027925304,3769059449
1663,535,547,3,1,0,0,0,0,513962652,250000000000,200000000000,1027925304,1284906630
1664,536,538,3,1,0,0,0,0,513962652,500000000000,68181818182,513962652,3769059449
1665,536,548,3,1,0,0,0,0,513962652,500000000000,333333333334,513962652,770943978
1666,537,538,3,1,0,0,0,0,513962652,200000000000,68181818182,1284906630,3769059449
1667,537,540,3,1,0,0,0,0,513962652,200000000000,200000000000,1284906630,1284906630
1668,537,549,3,1,0,0,0,0,513962652,200000000000,166666666667,1284906630,1541887956
1669,538,539,3,1,0,0,0,0,513962652,68181818182,333333333334,3769059449,770943978
1670,538,540,3,1,0,0,0,0,513962652,68181818182,200000000000,3769059449,1284906630
1671,538,541,3,1,0,0,0,0,513962652,68181818182,83333333334,3769059449,3083775913
1672,538,543,3,1,0,0,0,0,513962652,68181818182,111111111111,3769059449,2312831935
1673,538,550,3,1,0,0,0,0,513962652,68181818182,50847457627,3769059449,5053966079
1674,538,575,3,1,0,0,0,0,513962652,68181818182,200000000000,3769059449,1284906630
1675,538,586,3,1,0,0,0,0,513962652,68181818181,142857142857,3769059449,1798869282
1676,538,805,1,0,1,0,0,0,171320884,22727272727,333333333333,3769059449,256981326
1677,538,840,3,1,0,0,0,0,513962652,68181818181,428571428572,3769059449,599623094
1678,539,540,3,1,0,0,0,0,513962652,333333333333,200000000000,770943978,1284906630
1679,539,551,3,1,0,0,0,0,513962652,333333333333,250000000000,770943978,1027925304
1680,540,543,3,1,0,0,0,0,513962652,200000000000,111111111111,1284906630,2312831935
1681,540,552,3,1,0,0,0,0,513962652,200000000000,166666666667,1284906630,1541887956
1682,541,543,3,1,0,0,0,0,513962652,83333333334,111111111111,3083775913,2312831935
1683,541,553,3,1,0,0,0,0,513962652,83333333333,125000000000,3083775913,2055850608
1684,541,556,3,1,0,0,0,0,513962652,83333333333,142857142857,3083775913,1798869282
1685,541,559,3,1,0,0,0,0,513962652,83333333333,166666666667,3083775913,1541887956
1686,541,572,3,1,0,0,0,0,513962652,83333333333,166666666667,3083775913,1541887956
1687,541,576,3,1,0,0,0,0,513962652,83333333333,142857142857,3083775913,1798869282
1688,541,579,3,1,0,0,0,0,513962652,83333333333,142857142858,3083775913,1798869282
1689,541,587,3,1,0,0,0,0,513962652,83333333333,142857142857,3083775913,1798869282
1690,541,590,3,1,0,0,0,0,513962652,83333333333,125000000000,3083775913,2055850608
1691,542,558,3,1,0,0,0,0,513962652,125000000000,166666666667,2055850608,1541887956
1692,542,566,3,1,0,0,0,0,513962652,125000000000,38961038961,2055850608,6595854035
1693,542,574,3,1,0,0,0,0,513962652,125000000000,125000000000,2055850608,2055850608
1694,542,580,3,1,0,0,0,0,513962652,125000000000,200000000000,2055850608,1284906630
1695,542,591,3,1,0,0,0,0,513962652,125000000000,142857142858,2055850608,1798869282
1696,542,616,3,1,0,0,0,0,513962652,125000000000,200000000000,2055850608,1284906630
1697,543,554,3,1,0,0,0,0,513962652,111111111111,142857142858,2312831935,1798869282
1698,543,572,3,1,0,0,0,0,513962652,111111111111,166666666667,2312831935,1541887956
1699,543,581,3,1,0,0,0,0,513962652,111111111111,166666666667,2312831935,1541887956
1700,543,592,3,1,0,0,0,0,513962652,111111111111,166666666667,2312831935,1541887956
1701,544,545,3,1,0,0,0,0,513962652,125000000000,142857142857,2055850608,1798869282
1702,544,547,3,1,0,0,0,0,513962652,125000000000,200000000000,2055850608,1284906630
1703,544,549,3,1,0,0,0,0,513962652,125000000000,166666666667,2055850608,1541887956
1704,544,550,3,1,0,0,0,0,513962652,125000000000,50847457627,2055850608,5053966079
1705,544,555,3,1,0,0,0,0,513962652,125000000000,142857142857,2055850608,1798869282
1706,544,557,3,1,0,0,0,0,513962652,125000000000,200000000000,2055850608,1284906630
1707,544,560,3,1,0,0,0,0,513962652,125000000000,142857142858,2055850608,1798869282
1708,545,546,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1709,545,550,3,1,0,0,0,0,513962652,142857142857,50847457627,1798869282,5053966079
1710,545,553,3,1,0,0,0,0,513962652,142857142857,125000000000,1798869282,2055850608
1711,545,554,3,1,0,0,0,0,513962652,142857142857,142857142857,1798869282,1798869282
1712,545,561,3,1,0,0,0,0,513962652,142857142857,142857142858,1798869282,1798869282
1713,546,550,3,1,0,0,0,0,513962652,166666666667,50847457627,1541887956,5053966079
1714,546,553,3,1,0,0,0,0,513962652,166666666667,125000000000,1541887956,2055850608
1715,546,554,3,1,0,0,0,0,513962652,166666666666,142857142857,1541887956,1798869282
1716,546,562,3,1,0,0,0,0,513962652,166666666666,166666666667,1541887956,1541887956
1717,547,549,3,1,0,0,0,0,513962652,200000000000,166666666667,1284906630,1541887956
1718,547,550,3,1,0,0,0,0,513962652,200000000000,50847457627,1284906630,5053966079
1719,547,563,3,1,0,0,0,0,513962652,200000000000,200000000000,1284906630,1284906630
1720,548,550,3,1,0,0,0,0,513962652,333333333333,50847457627,770943978,5053966079
1721,548,564,3,1,0,0,0,0,513962652,333333333333,333333333334,770943978,770943978
1722,549,550,3,1,0,0,0,0,513962652,166666666667,50847457627,1541887956,5053966079
1723,549,552,3,1,0,0,0,0,513962652,166666666666,166666666667,1541887956,1541887956
1724,549,565,3,1,0,0,0,0,513962652,166666666666,166666666667,1541887956,1541887956
1725,550,551,3,1,0,0,0,0,513962652,50847457627,250000000000,5053966079,1027925304
1726,550,552,3,1,0,0,0,0,513962652,50847457627,166666666667,5053966079,1541887956
1727,550,553,3,1,0,0,0,0,513962652,50847457627,125000000000,5053966079,2055850608
1728,550,554,3,1,0,0,0,0,513962652,50847457627,142857142857,5053966079,1798869282
1729,550,555,3,1,0,0,0,0,513962652,50847457627,142857142857,5053966079,1798869282
1730,550,557,3,1,0,0,0,0,513962652,50847457627,200000000000,5053966079,1284906630
1731,550,566,3,1,0,0,0,0,513962652,50847457627,38961038961,5053966079,6595854035
1732,550,577,3,1,0,0,0,0,513962652,50847457627,200000000000,5053966079,1284906630
1733,550,588,3,1,0,0,0,0,513962652,50847457627,142857142857,5053966079,1798869282
1734,550,806,1,0,1,0,0,0,171320884,16949152543,250000000000,5053966079,342641768
1735,550,841,3,1,0,0,0,0,513962652,50847457627,300000000000,5053966079,856604420
1736,551,552,3,1,0,0,0,0,513962652,250000000000,166666666667,1027925304,1541887956
1737,551,567,3,1,0,0,0,0,513962652,250000000000,166666666667,1027925304,1541887956
1738,552,554,3,1,0,0,0,0,513962652,166666666666,142857142857,1541887956,1798869282
1739,552,568,3,1,0,0,0,0,513962652,166666666666,166666666667,1541887956,1541887956
1740,553,554,3,1,0,0,0,0,513962652,125000000000,142857142857,2055850608,1798869282
1741,553,556,3,1,0,0,0,0,513962652,125000000000,142857142857,2055850608,1798869282
1742,553,569,3,1,0,0,0,0,513962652,125000000000,166666666667,2055850608,1541887956
1743,554,570,3,1,0,0,0,0,513962652,142857142857,142857142858,1798869282,1798869282
1744,555,557,3,1,0,0,0,0,513962652,142857142857,200000000000,1798869282,1284906630
1745,555,558,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1746,555,566,3,1,0,0,0,0,513962652,142857142857,38961038961,1798869282,6595854035
1747,555,571,3,1,0,0,0,0,513962652,142857142857,200000000000,1798869282,1284906630
1748,556,559,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1749,556,572,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1750,556,578,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1751,556,589,3,1,0,0,0,0,513962652,142857142857,166666666667,1798869282,1541887956
1752,557,558,3,1,0,0,0,0,513962652,200000000000,166666666667,1284906630,1541887956
1753,557,573,3,1,0,0,0,0,513962652,200000000000,200000000000,1284906630,1284906630
1754,558,566,3,1,0,0,0,0,513962652,166666666666,38961038961,1541887956,6595854035
1755,558,574,3,1,0,0,0,0,513962652,166666666666,125000000000,1541887956,2055850608
