orbit_id,size,representative,member_a,member_b,fixed,nonzero
269,2,632,632,1135,False,True
270,2,635,635,1149,False,True
271,2,637,637,1663,False,True
272,2,638,638,1645,False,True
273,2,645,645,660,False,True
274,1,646,646,646,True,True
275,2,648,648,1166,False,True
276,2,651,651,1180,False,True
277,2,653,653,1694,False,True
278,2,654,654,1676,False,True
279,1,663,663,663,True,True
280,2,665,665,1183,False,True
281,2,666,666,1165,False,True
282,2,668,668,1679,False,True
283,2,671,671,1693,False,True
284,2,676,676,708,False,True
285,2,679,679,726,False,True
286,2,681,681,1246,False,True
287,2,682,682,1228,False,True
288,2,684,684,1742,False,True
289,2,687,687,1756,False,True
290,2,693,693,725,False,True
291,2,694,694,711,False,True
292,2,696,696,1231,False,True
293,2,699,699,1245,False,True
294,2,701,701,1759,False,True
295,2,702,702,1741,False,True
296,2,713,713,1214,False,True
297,2,714,714,1196,False,True
298,2,716,716,1710,False,True
299,2,719,719,1724,False,True
300,2,728,728,1199,False,True
301,2,731,731,1213,False,True
302,2,733,733,1727,False,True
303,2,734,734,1709,False,True
304,2,741,741,756,False,True
305,1,742,742,742,True,True
306,2,744,744,1262,False,True
307,2,747,747,1276,False,True
308,2,749,749,1790,False,True
309,2,750,750,1772,False,True
310,1,759,759,759,True,True
311,2,761,761,1279,False,True
312,2,762,762,1261,False,True
313,2,764,764,1775,False,True
314,2,767,767,1789,False,True
315,2,773,773,788,False,True
316,1,774,774,774,True,True
317,2,776,776,1294,False,True
318,2,779,779,1308,False,True
319,2,781,781,1822,False,True
320,2,782,782,1804,False,True
321,1,791,791,791,True,True
322,2,793,793,1311,False,True
323,2,794,794,1293,False,True
324,2,796,796,1807,False,True
325,2,799,799,1821,False,True
326,2,804,804,836,False,True
327,2,807,807,854,False,True
328,2,809,809,1374,False,True
329,2,810,810,1356,False,True
330,2,812,812,1870,False,True
331,2,815,815,1884,False,True
332,2,821,821,853,False,True
333,2,822,822,839,False,True
334,2,824,824,1359,False,True
335,2,827,827,1373,False,True
336,2,829,829,1887,False,True
337,2,830,830,1869,False,True
338,2,841,841,1342,False,True
339,2,842,842,1324,False,True
340,2,844,844,1838,False,True
341,2,847,847,1852,False,True
342,2,856,856,1327,False,True
343,2,859,859,1341,False,True
344,2,861,861,1855,False,True
345,2,862,862,1837,False,True
346,2,869,869,884,False,True
347,1,870,870,870,True,True
348,2,872,872,1390,False,True
349,2,875,875,1404,False,True
350,2,877,877,1918,False,True
351,2,878,878,1900,False,True
