kind,target,weight_type,series,total_dimension_n,q_exponent,coefficient,distance,interpretation
nearest,455,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,292,54,401,nearest relation-pair quotient stack coefficient in search window
nearest,2275,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,3,332,1672,603,nearest relation-pair quotient stack coefficient in search window
nearest,4095,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,478,3360,735,nearest relation-pair quotient stack coefficient in search window
nearest,6825,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,450,6708,117,nearest relation-pair quotient stack coefficient in search window
nearest,6912,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,450,6708,204,nearest relation-pair quotient stack coefficient in search window
nearest,14560,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,4,90,14996,436,nearest relation-pair quotient stack coefficient in search window
nearest,455640,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,6,292,90145,365495,nearest relation-pair quotient stack coefficient in search window
nearest,531441,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,6,292,90145,441296,nearest relation-pair quotient stack coefficient in search window
nearest,534656,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,6,292,90145,444511,nearest relation-pair quotient stack coefficient in search window
nearest,1414965,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,5,334,1398665,16300,nearest relation-pair quotient stack coefficient in search window
nearest,2537360,q12_tensor_coefficient_mass,symmetric_relation_pair_stack,3,30,2777222,239862,nearest relation-pair quotient stack coefficient in search window
