transfer_edge_id,source_state_id,target_state_id,edge_weight,native_transition_flag,derived_transition_flag,promoted_transition_flag,promoted_only_transition_flag,old_repaired_edge_flag,old_spectral_cut_edge_flag,spectral_cut_edge_flag,undirected_stationary_flux_x1e12,source_to_target_probability_x1e12,target_to_source_probability_x1e12,source_stationary_mass_x1e12,target_stationary_mass_x1e12
271,68,82,1,0,1,0,0,1,0,0,170677590,200000000000,142857142857,426693975,597371565
272,69,70,1,0,1,0,0,1,0,0,170677590,125000000000,166666666667,682710360,512032770
273,69,72,1,0,1,0,0,1,0,0,170677590,125000000000,200000000000,682710360,426693975
274,69,74,1,0,1,0,0,1,0,0,170677590,125000000000,200000000000,682710360,426693975
275,69,75,1,0,1,0,0,1,0,0,170677590,125000000000,40000000000,682710360,2133469876
276,69,80,1,0,1,0,0,1,0,0,170677590,125000000000,125000000000,682710360,682710360
277,69,81,1,0,1,1,0,1,0,0,170677590,125000000000,166666666667,682710360,512032770
278,70,71,1,0,1,0,0,1,0,0,170677590,166666666667,200000000000,512032770,426693975
279,70,75,1,0,1,0,0,1,0,0,170677590,166666666667,40000000000,512032770,2133469876
280,70,78,1,0,1,0,0,1,0,0,170677590,166666666666,200000000000,512032770,426693975
281,70,79,1,0,1,0,0,1,0,0,170677590,166666666666,166666666667,512032770,512032770
282,71,75,1,0,1,0,0,1,0,0,170677590,200000000000,40000000000,426693975,2133469876
283,71,78,1,0,1,0,0,1,0,0,170677590,200000000000,200000000000,426693975,426693975
284,71,79,1,0,1,0,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
285,72,74,1,0,1,0,0,1,0,0,170677590,200000000000,200000000000,426693975,426693975
286,72,75,1,0,1,0,0,1,0,0,170677590,200000000000,40000000000,426693975,2133469876
287,72,100,1,0,1,0,0,1,0,0,170677590,200000000000,333333333334,426693975,256016385
288,73,75,1,0,1,0,0,1,0,0,170677590,333333333333,40000000000,256016385,2133469876
289,73,101,1,0,1,0,0,1,0,0,170677590,333333333333,333333333334,256016385,256016385
290,74,75,1,0,1,0,0,1,0,0,170677590,200000000000,40000000000,426693975,2133469876
291,74,77,1,0,1,1,0,1,0,0,170677590,200000000000,166666666667,426693975,512032770
292,75,76,1,0,1,0,0,1,0,0,170677590,40000000000,333333333333,2133469876,256016385
293,75,77,1,0,1,1,0,1,0,0,170677590,40000000000,166666666667,2133469876,512032770
294,75,78,1,0,1,0,0,1,0,0,170677590,40000000000,200000000000,2133469876,426693975
295,75,79,1,0,1,0,0,1,0,0,170677590,40000000000,166666666667,2133469876,512032770
296,75,80,1,0,1,0,0,1,0,0,170677590,40000000000,125000000000,2133469876,682710360
297,75,81,1,0,1,1,0,1,0,0,170677590,40000000000,166666666667,2133469876,512032770
298,75,82,1,0,1,0,0,1,0,0,170677590,40000000000,142857142857,2133469876,597371565
299,75,83,1,0,1,0,0,1,0,0,170677590,40000000000,100000000000,2133469876,853387950
300,76,77,1,0,1,1,0,1,0,0,170677590,333333333333,166666666667,256016385,512032770
301,77,79,1,0,1,1,0,1,0,0,170677590,166666666666,166666666666,512032770,512032770
302,77,102,1,0,1,1,1,0,0,0,170677590,166666666666,333333333334,512032770,256016385
