basis_id,component_id,prob_num,prob_den,prob_num_digits,prob_den_digits,prob_num_mod_1000000007,prob_den_mod_1000000007,prob_num_mod_1000000009,prob_den_mod_1000000009,prob_sha256,active_owner_flag,dominant_component_flag,positive_flag
11,1,10708633055662916319085465567634895588178156915569381961943136942645596716044161213396832024907172970669950898133527855403504815224774160854986972269539586187452681817010108352707759306002025199481657879220781867320756428900515845955753946883903990947667,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,292082274,253126048,310738836,867253560,54bf0c8710db74927729bb007ecc4e7151fe77cee8315aaebfd0a3a719d8dafb,0,0,1
11,2,13761131534200315257208771783030878076206748704121101725929044478575352995652072929626473421937442224471707242927599882239371822514247548924922742115763090351106383893674874454289762843688485982050972345519009383222886385713773868972465359227152928722396,86128964237215564899862054580283320940524869183883982347703882012683372024494768047510943488294092285516450605540603136155465828966456382108234389093592027691590931248849530071023095712814963552606702259721603784398272646286793244245789457114348921862393,254,254,637515802,759378144,17243045,601760662,36c31cd79d776760d9b91b787d9847173e670cf73dd4b709ba590ccb9f88e731,0,0,1
12,0,28673925526671850860561712733586067652607818713886292727723640480012861245543914572485924709634125132096830712802501126157166652677338794248461844477057537337353684828717254642765113595773767821679648729705133914774151603337220704560864627230401070519281,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,254,254,274230657,253126048,170466369,867253560,74109882712c590f1d727e1f1ecbbaf9f43ecfa18a8db1ee091051f3f988ef78,0,1,1
12,1,146025985775939661019528240870245132188873459337781082507787781319583282684793347778101197215684563809866587541120725965835100437037586105454860931411166381689119904742717018351811642808987017046051035653154601872636229683836929829537199993088960,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,246,254,578759410,253126048,70859549,867253560,5f69a6836b4f4948a4dcc66e47b33b0864c66ceee36cfad5ef82a8ab6e70db25,0,0,1
12,2,35729073040684996785977773646798457322005491868242050396571016427148109704392091891042008362708414057422345844445711440595991143046229416696846432612207148676910565112683971525566623352910553535568310817698360204004072788814026350802028937181910345890,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,251,254,400135988,253126048,625927642,867253560,3cd4398c5dd14cac7b956d0bbfd2e3435b57af8236e38c8c9073c1c7ab270202,0,0,1
13,0,60893092396675565145814495500055763058901033687292112353603041790307363363929975100177097039844148138446891837040226394448051854105909790277857613607746613516940802124918151879495602136628466767981294490480772652147140335060224668308707801861661554456444,86128964237215564899862054580283320940524869183883982347703882012683372024494768047510943488294092285516450605540603136155465828966456382108234389093592027691590931248849530071023095712814963552606702259721603784398272646286793244245789457114348921862393,254,254,148014662,759378144,658081479,601760662,e19d4cdd3102565bc5bf9e2bce61bfa058a3ba19f934680e529d1a53a40eecf0,0,1,1
13,1,5384031629374451813221752916567227539436921781247727500896954187000107479353696605985575780732656153984770923296889277102564230195964499610897339557891231607979393213711995052967396586340799643118539882499183503016341162868799638571922037512550616339335,28709654745738521633287351526761106980174956394627994115901294004227790674831589349170314496098030761838816868513534378718488609655485460702744796364530675897196977082949843357007698570938321184202234086573867928132757548762264414748596485704782973954131,253,254,214114907,253126048,107534352,867253560,92a6c7f3a6144a5c95f72d9bfadbbfdabedff609800940aae4e63393c73935ca,0,0,1
13,2,9083776952416644314382300330525875263313070152848687491409977661375686222503703129377119106251975685115245998609708910399721284272653092997684756812171719350711949482795393032625303817164097855269788121743280623202108822620169660221315542715035518387944,86128964237215564899862054580283320940524869183883982347703882012683372024494768047510943488294092285516450605540603136155465828966456382108234389093592027691590931248849530071023095712814963552606702259721603784398272646286793244245789457114348921862393,253,254,969018768,759378144,621076136,601760662,e597efb40a39adaa2910da917e6ef3da66b3e00bb7348352f1c08df597d83781,0,0,1
14,0,1,1,1,1,1,1,1,1,253d950f11ebdbeb4c2d54c57803deb69869b832a2e03010620d462a85d15290,1,1,1
14,1,0,1,1,1,0,1,0,1,a93875fe509ac2fae0e0939d3ec71c4d978244c7398dd7185ca68c393426a5a6,1,0,0
