product_row_id,left_support_row,right_support_row,left_relation_id,right_relation_id,target_relation_id,target_support_row,inside_support_flag,coefficient
501,37,34,943,938,886,12,1,1
502,35,46,940,964,886,12,1,1
503,37,46,943,964,886,12,1,1
504,49,48,973,969,886,12,1,1
505,30,39,930,951,886,12,1,1
506,43,32,960,934,886,12,1,1
507,43,39,960,951,886,12,1,1
508,36,33,941,935,886,12,1,1
509,36,47,941,965,886,12,1,1
510,36,38,941,945,886,12,1,1
511,50,46,975,964,886,12,1,1
512,14,13,893,890,890,13,1,1
513,16,12,896,886,890,13,1,1
514,16,17,896,897,890,13,1,1
515,16,15,896,895,890,13,1,1
516,18,22,907,912,890,13,1,2
517,18,19,907,908,890,13,1,1
518,20,28,909,927,890,13,1,1
519,21,19,910,908,890,13,1,1
520,23,12,916,886,890,13,1,1
521,24,12,917,886,890,13,1,2
522,23,53,916,981,890,13,1,1
523,16,40,896,954,890,13,1,1
524,18,28,907,927,890,13,1,1
525,25,55,921,983,890,13,1,1
526,26,28,923,927,890,13,1,1
527,27,28,926,927,890,13,1,1
528,23,40,916,954,890,13,1,1
529,16,54,896,982,890,13,1,1
530,23,13,916,890,890,13,1,1
531,24,13,917,890,890,13,1,1
532,27,19,926,908,890,13,1,1
533,26,19,923,908,890,13,1,1
534,25,28,921,927,890,13,1,1
535,32,43,934,960,890,13,1,2
536,33,29,935,928,890,13,1,1
537,34,30,938,930,890,13,1,1
538,34,44,938,961,890,13,1,1
539,38,36,945,941,890,13,1,1
540,38,35,945,940,890,13,1,1
541,39,36,951,941,890,13,1,1
542,41,37,955,943,890,13,1,1
543,23,15,916,895,890,13,1,1
544,23,17,916,897,890,13,1,1
545,16,13,896,890,890,13,1,1
546,42,28,956,927,890,13,1,1
547,20,19,909,908,890,13,1,1
548,25,22,921,912,890,13,1,1
549,25,19,921,908,890,13,1,1
550,32,29,934,928,890,13,1,1
551,34,29,938,928,890,13,1,1
552,33,49,935,973,890,13,1,1
553,34,45,938,962,890,13,1,1
554,38,37,945,943,890,13,1,1
555,46,35,964,940,890,13,1,2
556,47,36,965,941,890,13,1,1
557,48,36,969,941,890,13,1,1
558,33,45,935,962,890,13,1,1
559,34,31,938,932,890,13,1,1
