mask,basis_cycle_ids,residue_edge_weight,total_basis_length,total_optical_action,total_connection_log_action,total_entropy_proxy,incidence_vector_mod2
529,0 4 9,15,21,3148800,119.65388223117546,34.166666666666664,011111011010001110000010011010
530,1 4 9,11,21,3394560,121.7333237728553,36.833333333333336,101010110000100100000010011010
531,0 1 4 9,11,29,4469760,166.56587547131733,48.5,011001101010100100000010010010
532,2 4 9,14,18,2847744,103.99917915074852,30.9,101100001111001110001010010010
533,0 2 4 9,16,26,3922944,148.83173084921054,42.56666666666666,011111010101001110001010011010
534,1 2 4 9,16,26,4168704,150.91117239089039,45.233333333333334,101010111111100100001010011010
535,0 1 2 4 9,12,34,5243904,195.74372408935238,56.9,011001100101100100001010010010
536,3 4 9,11,23,3265536,129.42360979353208,35.43333333333333,011000000001110100001010110010
537,0 3 4 9,17,31,4340736,174.2561614919941,47.1,101011011011110100001010111010
538,1 3 4 9,17,31,4586496,176.33560303367395,49.766666666666666,011110110001011110001010111010
539,0 1 3 4 9,17,39,5661696,221.16815473213597,61.43333333333334,101101101011011110001010110010
540,2 3 4 9,12,28,4039680,158.60145841156714,43.833333333333336,011000001110110100000010110010
541,0 2 3 4 9,14,36,5114880,203.4340101100292,55.5,101011010100110100000010111010
542,1 2 3 4 9,18,36,5360640,205.51345165170903,58.16666666666667,011110111110011110000010111010
543,0 1 2 3 4 9,14,44,6435840,250.34600335017103,69.83333333333333,101101100100011110000010110010
544,5 9,8,10,1683456,58.9310613809737,18.266666666666666,101100000000000001000010010110
545,0 5 9,14,18,2758656,103.76361307943571,29.93333333333333,011111011010000001000010011110
546,1 5 9,14,18,3004416,105.84305462111556,32.6,101010110000101011000010011110
547,0 1 5 9,14,26,4079616,150.67560631957758,44.266666666666666,011001101010101011000010010110
548,2 5 9,13,15,2457600,88.10890999900877,26.666666666666668,101100001111000001001010010110
549,0 2 5 9,15,23,3532800,132.9414616974708,38.333333333333336,011111010101000001001010011110
550,1 2 5 9,19,23,3778560,135.02090323915064,41.0,101010111111101011001010011110
551,0 1 2 5 9,15,31,4853760,179.85345493761267,52.666666666666664,011001100101101011001010010110
552,3 5 9,14,20,2875392,113.53334064179234,31.200000000000003,011000000001111011001010110110
553,0 3 5 9,20,28,3950592,158.36589234025436,42.86666666666667,101011011011111011001010111110
554,1 3 5 9,16,28,4196352,160.4453338819342,45.53333333333333,011110110001010001001010111110
555,0 1 3 5 9,16,36,5271552,205.27788558039623,57.2,101101101011010001001010110110
556,2 3 5 9,15,25,3649536,142.71118925982742,39.6,011000001110111011000010110110
557,0 2 3 5 9,17,33,4724736,187.54374095828945,51.266666666666666,101011010100111011000010111110
558,1 2 3 5 9,17,33,4970496,189.6231824999693,53.93333333333334,011110111110010001000010111110
559,0 1 2 3 5 9,13,41,6045696,234.4557341984313,65.6,101101100100010001000010110110
560,4 5 9,8,18,2764800,103.59371404264033,30.0,000000000000001111000011010010
561,0 4 5 9,16,26,3840000,148.42626574110236,41.666666666666664,110011011010001111000011011010
562,1 4 5 9,12,26,4085760,150.5057072827822,44.33333333333333,000110110000100101000011011010
563,0 1 4 5 9,14,34,5160960,195.33825898124422,56.0,110101101010100101000011010010
564,2 4 5 9,13,23,3538944,132.77156266067541,38.4,000000001111001111001011010010
565,0 2 4 5 9,17,31,4614144,177.60411435913744,50.06666666666666,110011010101001111001011011010
566,1 2 4 5 9,17,31,4859904,179.68355590081728,52.733333333333334,000110111111100101001011011010
567,0 1 2 4 5 9,15,39,5935104,224.51610759927928,64.4,110101100101100101001011010010
568,3 4 5 9,14,28,3956736,158.19599330345898,42.93333333333333,110100000001110101001011110010
569,0 3 4 5 9,18,36,5031936,203.028545001921,54.6,000111011011110101001011111010
570,1 3 4 5 9,18,36,5277696,205.10798654360084,57.266666666666666,110010110001011111001011111010
571,0 1 3 4 5 9,16,44,6352896,249.94053824206287,68.93333333333334,000001101011011111001011110010
572,2 3 4 5 9,15,33,4730880,187.37384192149403,51.333333333333336,110100001110110101000011110010
573,0 2 3 4 5 9,15,41,5806080,232.2063936199561,63.0,000111010100110101000011111010
574,1 2 3 4 5 9,19,41,6051840,234.28583516163593,65.66666666666667,110010111110011111000011111010
575,0 1 2 3 4 5 9,13,49,7127040,279.1183868600979,77.33333333333333,000001100100011111000011110010
576,6 9,10,10,1895424,60.02967366964182,20.56666666666667,110010000010000000100011010110
577,0 6 9,10,18,2970624,104.86222536810385,32.233333333333334,000001011000000000100011011110
578,1 6 9,16,18,3216384,106.94166690978369,34.9,110100110010101010100011011110
579,0 1 6 9,14,26,4291584,151.77421860824572,46.56666666666666,000111101000101010100011010110
580,2 6 9,13,15,2669568,89.20752228767688,28.96666666666667,110010001101000000101011010110
581,0 2 6 9,13,23,3744768,134.0400739861389,40.63333333333333,000001010111000000101011011110
582,1 2 6 9,19,23,3990528,136.11951552781875,43.3,110100111101101010101011011110
583,0 1 2 6 9,17,31,5065728,180.95206722628078,54.96666666666667,000111100111101010101011010110
584,3 6 9,16,20,3087360,114.63195293046047,33.5,000110000011111010101011110110
585,0 3 6 9,20,28,4162560,159.4645046289225,45.16666666666667,110101011001111010101011111110
586,1 3 6 9,14,28,4408320,161.54394617060234,47.83333333333333,000000110011010000101011111110
587,0 1 3 6 9,16,36,5483520,206.37649786906434,59.5,110011101001010000101011110110
588,2 3 6 9,15,25,3861504,143.80980154849553,41.900000000000006,000110001100111010100011110110
589,0 2 3 6 9,19,33,4936704,188.64235324695755,53.56666666666666,110101010110111010100011111110
590,1 2 3 6 9,13,33,5182464,190.7217947886374,56.233333333333334,000000111100010000100011111110
591,0 1 2 3 6 9,15,41,6257664,235.5543464870994,67.89999999999999,110011100110010000100011110110
592,4 6 9,12,18,2976768,104.69232633130846,32.3,011110000010001110100010010010
593,0 4 6 9,14,26,4051968,149.5248780297705,43.96666666666667,101101011000001110100010011010
594,1 4 6 9,12,26,4297728,151.60431957145033,46.63333333333333,011000110010100100100010011010
595,0 1 4 6 9,12,34,5372928,196.43687126991233,58.3,101011101000100100100010010010
596,2 4 6 9,15,23,3750912,133.87017494934352,40.7,011110001101001110101010010010
597,0 2 4 6 9,17,31,4826112,178.70272664780555,52.36666666666666,101101010111001110101010011010
598,1 2 4 6 9,15,31,5071872,180.7821681894854,55.03333333333333,011000111101100100101010011010
599,0 1 2 4 6 9,15,39,6147072,225.6147198879474,66.7,101011100111100100101010010010
600,3 4 6 9,14,28,4168704,159.29460559212708,45.233333333333334,101010000011110100101010110010
601,0 3 4 6 9,16,36,5243904,204.12715729058914,56.900000000000006,011001011001110100101010111010
602,1 3 4 6 9,18,36,5489664,206.20659883226898,59.56666666666666,101100110011011110101010111010
603,0 1 3 4 6 9,18,44,6564864,251.03915053073098,71.23333333333333,011111101001011110101010110010
604,2 3 4 6 9,13,33,4942848,188.47245421016214,53.63333333333334,101010001100110100100010110010
605,0 2 3 4 6 9,15,41,6018048,233.3050059086242,65.3,011001010110110100100010111010
606,1 2 3 4 6 9,17,41,6263808,235.38444745030404,67.96666666666667,101100111100011110100010111010
607,0 1 2 3 4 6 9,17,49,7339008,280.21699914876604,79.63333333333333,011111100110011110100010110010
608,5 6 9,11,15,2586624,88.80205717956872,28.06666666666667,011110000010000001100010010110
609,0 5 6 9,13,23,3661824,133.63460887803075,39.733333333333334,101101011000000001100010011110
610,1 5 6 9,15,23,3907584,135.7140504197106,42.400000000000006,011000110010101011100010011110
611,0 1 5 6 9,15,31,4982784,180.5466021181726,54.06666666666666,101011101000101011100010010110
612,2 5 6 9,14,20,3360768,117.97990579760378,36.46666666666667,011110001101000001101010010110
613,0 2 5 6 9,16,28,4435968,162.8124574960658,48.13333333333333,101101010111000001101010011110
614,1 2 5 6 9,18,28,4681728,164.89189903774565,50.8,011000111101101011101010011110
615,0 1 2 5 6 9,18,36,5756928,209.7244507362077,62.46666666666667,101011100111101011101010010110
616,3 5 6 9,17,25,3778560,143.40433644038737,41.0,101010000011111011101010110110
617,0 3 5 6 9,19,33,4853760,188.2368881388494,52.66666666666667,011001011001111011101010111110
618,1 3 5 6 9,17,33,5099520,190.31632968052924,55.33333333333333,101100110011010001101010111110
619,0 1 3 5 6 9,17,41,6174720,235.14888137899123,67.0,011111101001010001101010110110
620,2 3 5 6 9,16,30,4552704,172.58218505842245,49.400000000000006,101010001100111011100010110110
621,0 2 3 5 6 9,18,38,5627904,217.41473675688445,61.06666666666666,011001010110111011100010111110
622,1 2 3 5 6 9,16,38,5873664,219.4941782985643,63.733333333333334,101100111100010001100010111110
623,0 1 2 3 5 6 9,16,46,6948864,264.3267299970263,75.39999999999999,011111100110010001100010110110
624,4 5 6 9,13,23,3667968,133.46470984123536,39.800000000000004,110010000010001111100011010010
625,0 4 5 6 9,13,31,4743168,178.2972615396974,51.46666666666667,000001011000001111100011011010
626,1 4 5 6 9,15,31,4988928,180.37670308137723,54.133333333333326,110100110010100101100011011010
627,0 1 4 5 6 9,13,39,6064128,225.20925477983923,65.8,000111101000100101100011010010
628,2 4 5 6 9,16,28,4442112,162.64255845927045,48.2,110010001101001111101011010010
629,0 2 4 5 6 9,16,36,5517312,207.47511015773244,59.86666666666666,000001010111001111101011011010
630,1 2 4 5 6 9,18,36,5763072,209.5545516994123,62.53333333333333,110100111101100101101011011010
631,0 1 2 4 5 6 9,16,44,6838272,254.38710339787428,74.2,000111100111100101101011010010
632,3 4 5 6 9,15,33,4859904,188.06698910205398,52.733333333333334,000110000011110101101011110010
633,0 3 4 5 6 9,19,41,5935104,232.89954080051604,64.4,110101011001110101101011111010
634,1 3 4 5 6 9,17,41,6180864,234.97898234219588,67.06666666666666,000000110011011111101011111010
635,0 1 3 4 5 6 9,19,49,7256064,279.8115340406579,78.73333333333333,110011101001011111101011110010
636,2 3 4 5 6 9,14,38,5634048,217.24483772008904,61.13333333333334,000110001100110101100011110010
637,0 2 3 4 5 6 9,18,46,6709248,262.0773894185511,72.8,110101010110110101100011111010
638,1 2 3 4 5 6 9,16,46,6955008,264.15683096023093,75.46666666666667,000000111100011111100011111010
639,0 1 2 3 4 5 6 9,18,54,8030208,308.98938265869293,87.13333333333333,110011100110011111100011110010
640,7 9,10,10,2061312,60.605037814545376,22.366666666666667,000110000000000010010011011110
641,0 7 9,14,18,3136512,105.4375895130074,34.03333333333333,110101011010000010010011010110
642,1 7 9,10,18,3382272,107.51703105468724,36.7,000000110000101000010011010110
643,0 1 7 9,16,26,4457472,152.34958275314926,48.36666666666667,110011101010101000010011011110
644,2 7 9,15,15,2835456,89.78288643258045,30.766666666666666,000110001111000010011011011110
645,0 2 7 9,15,23,3910656,134.61543813104248,42.43333333333333,110101010101000010011011010110
646,1 2 7 9,15,23,4156416,136.69487967272232,45.1,000000111111101000011011010110
647,0 1 2 7 9,17,31,5231616,181.52743137118432,56.766666666666666,110011100101101000011011011110
648,3 7 9,16,20,3253248,115.20731707536402,35.3,110010000001111000011011111110
649,0 3 7 9,16,28,4328448,160.03986877382604,46.96666666666667,000001011011111000011011110110
650,1 3 7 9,16,28,4574208,162.11931031550589,49.63333333333333,110100110001010010011011110110
651,0 1 3 7 9,18,36,5649408,206.9518620139679,61.300000000000004,000111101011010010011011111110
652,2 3 7 9,17,25,4027392,144.3851656933991,43.7,110010001110111000010011111110
653,0 2 3 7 9,13,33,5102592,189.21771739186113,55.36666666666667,000001010100111000010011110110
654,1 2 3 7 9,17,33,5348352,191.29715893354097,58.03333333333334,110100111110010010010011110110
655,0 1 2 3 7 9,15,41,6423552,236.12971063200297,69.7,000111100100010010010011111110
656,4 7 9,10,18,3142656,105.26769047621201,34.1,101010000000001100010010011010
657,0 4 7 9,12,26,4217856,150.10024217467404,45.766666666666666,011001011010001100010010010010
658,1 4 7 9,12,26,4463616,152.17968371635388,48.43333333333333,101100110000100110010010010010
659,0 1 4 7 9,16,34,5538816,197.0122354148159,60.1,011111101010100110010010011010
660,2 4 7 9,15,23,3916800,134.4455390942471,42.5,101010001111001100011010011010
661,0 2 4 7 9,13,31,4992000,179.27809079270912,54.166666666666664,011001010101001100011010010010
662,1 2 4 7 9,17,31,5237760,181.35753233438896,56.833333333333336,101100111111100110011010010010
663,0 1 2 4 7 9,17,39,6312960,226.19008403285096,68.5,011111100101100110011010011010
664,3 4 7 9,16,28,4334592,159.86996973703066,47.03333333333333,011110000001110110011010111010
665,0 3 4 7 9,18,36,5409792,204.70252143549268,58.7,101101011011110110011010110010
666,1 3 4 7 9,14,36,5655552,206.78196297717253,61.36666666666667,011000110001011100011010110010
667,0 1 3 4 7 9,18,44,6730752,251.61451467563455,73.03333333333335,101011101011011100011010111010
668,2 3 4 7 9,17,33,5108736,189.04781835506571,55.43333333333334,011110001110110110010010111010
669,0 2 3 4 7 9,15,41,6183936,233.88037005352777,67.10000000000001,101101010100110110010010110010
670,1 2 3 4 7 9,15,41,6429696,235.9598115952076,69.76666666666668,011000111110011100010010110010
671,0 1 2 3 4 7 9,15,49,7504896,280.7923632936696,81.43333333333332,101011100100011100010010111010
672,5 7 9,11,15,2752512,89.37742132447228,29.866666666666667,101010000000000011010010011110
673,0 5 7 9,13,23,3827712,134.2099730229343,41.53333333333333,011001011010000011010010010110
674,1 5 7 9,13,23,4073472,136.28941456461413,44.2,101100110000101001010010010110
675,0 1 5 7 9,17,31,5148672,181.12196626307616,55.86666666666667,011111101010101001010010011110
676,2 5 7 9,16,20,3526656,118.55526994250735,38.266666666666666,101010001111000011011010011110
677,0 2 5 7 9,14,28,4601856,163.38782164096938,49.93333333333333,011001010101000011011010010110
678,1 2 5 7 9,18,28,4847616,165.46726318264922,52.6,101100111111101001011010010110
679,0 1 2 5 7 9,18,36,5922816,210.29981488111125,64.26666666666667,011111100101101001011010011110
680,3 5 7 9,17,25,3944448,143.9797005852909,42.8,011110000001111001011010111110
681,0 3 5 7 9,19,33,5019648,188.81225228375294,54.46666666666667,101101011011111001011010110110
682,1 3 5 7 9,15,33,5265408,190.89169382543278,57.13333333333333,011000110001010011011010110110
683,0 1 3 5 7 9,19,41,6340608,235.7242455238948,68.80000000000001,101011101011010011011010111110
684,2 3 5 7 9,18,30,4718592,173.157549203326,51.2,011110001110111001010010111110
685,0 2 3 5 7 9,16,38,5793792,217.99010090178803,62.86666666666667,101101010100111001010010110110
686,1 2 3 5 7 9,16,38,6039552,220.06954244346787,65.53333333333335,011000111110010011010010110110
687,0 1 2 3 5 7 9,16,46,7114752,264.90209414192987,77.19999999999999,101011100100010011010010111110
688,4 5 7 9,11,23,3833856,134.0400739861389,41.6,000110000000001101010011011010
689,0 4 5 7 9,15,31,4909056,178.87262568460093,53.266666666666666,110101011010001101010011010010
690,1 4 5 7 9,11,31,5154816,180.95206722628078,55.93333333333333,000000110000100111010011010010
691,0 1 4 5 7 9,17,39,6230016,225.7846189247428,67.60000000000001,110011101010100111010011011010
692,2 4 5 7 9,16,28,4608000,163.217922604174,50.0,000110001111001101011011011010
693,0 2 4 5 7 9,16,36,5683200,208.05047430263602,61.666666666666664,110101010101001101011011010010
694,1 2 4 5 7 9,16,36,5928960,210.12991584431586,64.33333333333334,000000111111100111011011010010
695,0 1 2 4 5 7 9,18,44,7004160,254.96246754277786,76.0,110011100101100111011011011010
696,3 4 5 7 9,17,33,5025792,188.64235324695755,54.53333333333333,110010000001110111011011111010
697,0 3 4 5 7 9,17,41,6100992,233.47490494541958,66.2,000001011011110111011011110010
698,1 3 4 5 7 9,17,41,6346752,235.55434648709942,68.86666666666667,110100110001011101011011110010
699,0 1 3 4 5 7 9,19,49,7421952,280.38689818556145,80.53333333333333,000111101011011101011011111010
700,2 3 4 5 7 9,18,38,5799936,217.8202018649926,62.93333333333334,110010001110110111010011111010
701,0 2 3 4 5 7 9,14,46,6875136,262.65275356345467,74.60000000000001,000001010100110111010011110010
702,1 2 3 4 5 7 9,18,46,7120896,264.7321951051345,77.26666666666667,110100111110011101010011110010
703,0 1 2 3 4 5 7 9,16,54,8196096,309.5647468035965,88.93333333333332,000111100100011101010011111010
704,6 7 9,13,15,2964480,90.4760336131404,32.166666666666664,110100000010000010110011011110
705,0 6 7 9,13,23,4039680,135.30858531160243,43.833333333333336,000111011000000010110011010110
706,1 6 7 9,15,23,4285440,137.38802685328227,46.5,110010110010101000110011010110
707,0 1 6 7 9,13,31,5360640,182.22057855174427,58.166666666666664,000001101000101000110011011110
708,2 6 7 9,16,20,3738624,119.65388223117546,40.56666666666667,110100001101000010111011011110
709,0 2 6 7 9,16,28,4813824,164.48643392963749,52.233333333333334,000111010111000010111011010110
710,1 2 6 7 9,18,28,5059584,166.56587547131733,54.9,110010111101101000111011010110
711,0 1 2 6 7 9,16,36,6134784,211.39842716977935,66.56666666666668,000001100111101000111011011110
712,3 6 7 9,15,25,4156416,145.07831287395905,45.1,000000000011111000111011111110
713,0 3 6 7 9,19,33,5231616,189.91086457242108,56.76666666666667,110011011001111000111011110110
714,1 3 6 7 9,17,33,5477376,191.99030611410092,59.43333333333333,000110110011010010111011110110
715,0 1 3 6 7 9,19,41,6552576,236.82285781256292,71.10000000000001,110101101001010010111011111110
716,2 3 6 7 9,14,30,4930560,174.2561614919941,53.5,000000001100111000110011111110
717,0 2 3 6 7 9,18,38,6005760,219.08871319045613,65.16666666666667,110011010110111000110011110110
718,1 2 3 6 7 9,16,38,6251520,221.16815473213597,67.83333333333334,000110111100010010110011110110
719,0 1 2 3 6 7 9,18,46,7326720,266.000706430598,79.49999999999999,110101100110010010110011111110
720,4 6 7 9,11,23,4045824,135.13868627480704,43.9,011000000010001100110010011010
721,0 4 6 7 9,13,31,5121024,179.97123797326907,55.56666666666667,101011011000001100110010010010
722,1 4 6 7 9,15,31,5366784,182.0506795149489,58.233333333333334,011110110010100110110010010010
723,0 1 4 6 7 9,15,39,6441984,226.8832312134109,69.9,101101101000100110110010011010
724,2 4 6 7 9,14,28,4819968,164.3165348928421,52.3,011000001101001100111010011010
725,0 2 4 6 7 9,16,36,5895168,209.14908659130413,63.96666666666666,101011010111001100111010010010
726,1 2 4 6 7 9,18,36,6140928,211.22852813298397,66.63333333333334,011110111101100110111010010010
727,0 1 2 4 6 7 9,18,44,7216128,256.06107983144597,78.3,101101100111100110111010011010
728,3 4 6 7 9,17,33,5237760,189.74096553562566,56.833333333333336,101100000011110110111010111010
729,0 3 4 6 7 9,19,41,6312960,234.57351723408772,68.50000000000001,011111011001110110111010110010
730,1 3 4 6 7 9,17,41,6558720,236.65295877576756,71.16666666666667,101010110011011100111010110010
731,0 1 3 4 6 7 9,17,49,7633920,281.48551047422956,82.83333333333333,011001101001011100111010111010
732,2 3 4 6 7 9,16,38,6011904,218.91881415366072,65.23333333333335,101100001100110110110010111010
733,0 2 3 4 6 7 9,18,46,7087104,263.7513658521228,76.89999999999999,011111010110110110110010110010
734,1 2 3 4 6 7 9,16,46,7332864,265.8308073938026,79.56666666666666,101010111100011100110010110010
735,0 1 2 3 4 6 7 9,16,54,8408064,310.6633590922646,91.23333333333332,011001100110011100110010111010
736,5 6 7 9,12,20,3655680,119.2484171230673,39.666666666666664,011000000010000011110010011110
737,0 5 6 7 9,14,28,4730880,164.08096882152932,51.33333333333333,101011011000000011110010010110
738,1 5 6 7 9,16,28,4976640,166.16041036320917,54.0,011110110010101001110010010110
739,0 1 5 6 7 9,16,36,6051840,210.99296206167116,65.66666666666667,101101101000101001110010011110
740,2 5 6 7 9,15,25,4429824,148.42626574110236,48.06666666666667,011000001101000011111010011110
741,0 2 5 6 7 9,17,33,5505024,193.25881743956438,59.733333333333334,101011010111000011111010010110
742,1 2 5 6 7 9,19,33,5750784,195.33825898124422,62.4,011110111101101001111010010110
743,0 1 2 5 6 7 9,19,41,6825984,240.17081067970628,74.06666666666668,101101100111101001111010011110
744,3 5 6 7 9,18,30,4847616,173.85069638388592,52.6,101100000011111001111010111110
745,0 3 5 6 7 9,20,38,5922816,218.68324808234797,64.26666666666668,011111011001111001111010110110
746,1 3 5 6 7 9,18,38,6168576,220.76268962402781,66.93333333333334,101010110011010011111010110110
747,0 1 3 5 6 7 9,18,46,7243776,265.5952413224898,78.6,011001101001010011111010111110
748,2 3 5 6 7 9,17,35,5621760,203.02854500192103,61.00000000000001,101100001100111001110010111110
749,0 2 3 5 6 7 9,19,43,6696960,247.86109670038303,72.66666666666667,011111010110111001110010110110
750,1 2 3 5 6 7 9,17,43,6942720,249.94053824206287,75.33333333333333,101010111100010011110010110110
751,0 1 2 3 5 6 7 9,17,51,8017920,294.77308994052487,86.99999999999999,011001100110010011110010111110
752,4 5 6 7 9,14,28,4737024,163.9110697847339,51.4,110100000010001101110011011010
753,0 4 5 6 7 9,14,36,5812224,208.74362148319597,63.06666666666667,000111011000001101110011010010
754,1 4 5 6 7 9,16,36,6057984,210.8230630248758,65.73333333333333,110010110010100111110011010010
755,0 1 4 5 6 7 9,14,44,7133184,255.6556147233378,77.39999999999999,000001101000100111110011011010
756,2 4 5 6 7 9,17,33,5511168,193.08891840276902,59.800000000000004,110100001101001101111011011010
757,0 2 4 5 6 7 9,17,41,6586368,237.92147010123102,71.46666666666667,000111010111001101111011010010
758,1 2 4 5 6 7 9,19,41,6832128,240.00091164291086,74.13333333333334,110010111101100111111011010010
759,0 1 2 4 5 6 7 9,17,49,7907328,284.83346334137286,85.8,000001100111100111111011011010
760,3 4 5 6 7 9,16,38,5928960,218.51334904555256,64.33333333333334,000000000011110111111011111010
761,0 3 4 5 6 7 9,20,46,7004160,263.3459007440146,76.0,110011011001110111111011110010
762,1 3 4 5 6 7 9,18,46,7249920,265.42534228569446,78.66666666666666,000110110011011101111011110010
763,0 1 3 4 5 6 7 9,20,54,8325120,310.25789398415645,90.33333333333333,110101101001011101111011111010
764,2 3 4 5 6 7 9,15,43,6703104,247.69119766358762,72.73333333333335,000000001100110111110011111010
765,0 2 3 4 5 6 7 9,19,51,7778304,292.52374936204967,84.39999999999999,110011010110110111110011110010
766,1 2 3 4 5 6 7 9,17,51,8024064,294.6031909037295,87.06666666666666,000110111100011101110011110010
767,0 1 2 3 4 5 6 7 9,19,59,9099264,339.4357426021915,98.73333333333332,110101100110011101110011111010
768,8 9,8,10,1367040,56.969402874950255,14.833333333333334,011000000001000000000101010110
769,0 8 9,14,18,2442240,101.80195457341227,26.5,101011011011000000000101011110
770,1 8 9,16,18,2688000,103.88139611509212,29.166666666666664,011110110001101010000101011110
771,0 1 8 9,16,26,3763200,148.71394781355414,40.833333333333336,101101101011101010000101010110
772,2 8 9,11,15,2141184,86.14725149298533,23.233333333333334,011000001110000000001101010110
773,0 2 8 9,13,23,3216384,130.97980319144736,34.9,101011010100000000001101011110
774,1 2 8 9,19,23,3462144,133.0592447331272,37.56666666666667,011110111110101010001101011110
775,0 1 2 8 9,15,31,4537344,177.89179643158923,49.233333333333334,101101100100101010001101010110
776,3 8 9,14,20,2558976,111.5716821357689,27.766666666666666,101100000000111010001101110110
777,0 3 8 9,20,28,3634176,156.40423383423092,39.43333333333334,011111011010111010001101111110
778,1 3 8 9,14,28,3879936,158.48367537591076,42.1,101010110000010000001101111110
779,0 1 3 8 9,14,36,4955136,203.3162270743728,53.766666666666666,011001101010010000001101110110
780,2 3 8 9,17,25,3333120,140.74953075380398,36.16666666666667,101100001111111010000101110110
781,0 2 3 8 9,19,33,4408320,185.582082452266,47.83333333333333,011111010101111010000101111110
782,1 2 3 8 9,17,33,4654080,187.66152399394585,50.5,101010111111010000000101111110
783,0 1 2 3 8 9,13,41,5729280,232.49407569240785,62.16666666666666,011001100101010000000101110110
784,4 8 9,10,18,2448384,101.63205553661689,26.566666666666666,110100000001001110000100010010
785,0 4 8 9,14,26,3523584,146.46460723507892,38.233333333333334,000111011011001110000100011010
786,1 4 8 9,12,26,3769344,148.54404877675876,40.9,110010110001100100000100011010
787,0 1 4 8 9,10,34,4844544,193.37660047522078,52.56666666666666,000001101011100100000100010010
788,2 4 8 9,13,23,3222528,130.80990415465197,34.96666666666667,110100001110001110001100010010
789,0 2 4 8 9,13,31,4297728,175.64245585311397,46.633333333333326,000111010100001110001100011010
790,1 2 4 8 9,15,31,4543488,177.7218973947938,49.3,110010111110100100001100011010
791,0 1 2 4 8 9,9,39,5618688,222.55444909325584,60.96666666666667,000001100100100100001100010010
792,3 4 8 9,8,28,3640320,156.23433479743554,39.5,000000000000110100001100110010
793,0 3 4 8 9,16,36,4715520,201.06688649589756,51.16666666666667,110011011010110100001100111010
794,1 3 4 8 9,14,36,4961280,203.1463280375774,53.83333333333333,000110110000011110001100111010
795,0 1 3 4 8 9,16,44,6036480,247.97887973603943,65.5,110101101010011110001100110010
796,2 3 4 8 9,11,33,4414464,185.4121834154706,47.900000000000006,000000001111110100000100110010
797,0 2 3 4 8 9,15,41,5489664,230.24473511393265,59.56666666666666,110011010101110100000100111010
798,1 2 3 4 8 9,17,41,5735424,232.3241766556125,62.233333333333334,000110111111011110000100111010
799,0 1 2 3 4 8 9,15,49,6810624,277.1567283540745,73.89999999999999,110101100101011110000100110010
800,5 8 9,9,15,2058240,85.74178638487716,22.333333333333336,110100000001000001000100010110
801,0 5 8 9,13,23,3133440,130.57433808333917,34.0,000111011011000001000100011110
802,1 5 8 9,15,23,3379200,132.653779625019,36.66666666666667,110010110001101011000100011110
803,0 1 5 8 9,13,31,4454400,177.48633132348104,48.33333333333333,000001101011101011000100010110
804,2 5 8 9,12,20,2832384,114.91963500291223,30.733333333333334,110100001110000001001100010110
805,0 2 5 8 9,12,28,3907584,159.75218670137426,42.4,000111010100000001001100011110
806,1 2 5 8 9,18,28,4153344,161.8316282430541,45.06666666666666,110010111110101011001100011110
807,0 1 2 5 8 9,12,36,5228544,206.66417994151612,56.733333333333334,000001100100101011001100010110
808,3 5 8 9,11,25,3250176,140.3440656456958,35.266666666666666,000000000000111011001100110110
809,0 3 5 8 9,19,33,4325376,185.17661734415782,46.93333333333334,110011011010111011001100111110
810,1 3 5 8 9,13,33,4571136,187.25605888583766,49.599999999999994,000110110000010001001100111110
811,0 1 3 5 8 9,15,41,5646336,232.0886105842997,61.266666666666666,110101101010010001001100110110
812,2 3 5 8 9,14,30,4024320,169.52191426373088,43.66666666666667,000000001111111011000100110110
813,0 2 3 5 8 9,18,38,5099520,214.3544659621929,55.33333333333333,110011010101111011000100111110
814,1 2 3 5 8 9,16,38,5345280,216.43390750387275,58.0,000110111111010001000100111110
815,0 1 2 3 5 8 9,14,46,6420480,261.2664592023348,69.66666666666666,110101100101010001000100110110
816,4 5 8 9,11,23,3139584,130.40443904654379,34.06666666666667,011000000001001111000101010010
817,0 4 5 8 9,17,31,4214784,175.2369907450058,45.733333333333334,101011011011001111000101011010
818,1 4 5 8 9,15,31,4460544,177.31643228668565,48.39999999999999,011110110001100101000101011010
819,0 1 4 5 8 9,15,39,5535744,222.14898398514768,60.06666666666666,101101101011100101000101010010
820,2 4 5 8 9,14,28,3913728,159.58228766457887,42.46666666666667,011000001110001111001101010010
821,0 2 4 5 8 9,16,36,4988928,204.4148393630409,54.133333333333326,101011010100001111001101011010
822,1 2 4 5 8 9,18,36,5234688,206.49428090472074,56.8,011110111110100101001101011010
823,0 1 2 4 5 8 9,14,44,6309888,251.32683260318274,68.46666666666667,101101100100100101001101010010
824,3 4 5 8 9,13,33,4331520,185.00671830736243,47.0,101100000000110101001101110010
825,0 3 4 5 8 9,19,41,5406720,229.83927000582446,58.66666666666667,011111011010110101001101111010
826,1 3 4 5 8 9,17,41,5652480,231.9187115475043,61.33333333333333,101010110000011111001101111010
827,0 1 3 4 5 8 9,17,49,6727680,276.75126324596636,73.0,011001101010011111001101110010
828,2 3 4 5 8 9,16,38,5105664,214.1845669253975,55.400000000000006,101100001111110101000101110010
829,0 2 3 4 5 8 9,18,46,6180864,259.0171186238596,67.06666666666666,011111010101110101000101111010
830,1 2 3 4 5 8 9,20,46,6426624,261.0965601655394,69.73333333333333,101010111111011111000101111010
