combo_id,feature_id_0,feature_id_1,feature_id_2,feature_id_3,feature_id_4,projection_rank,kernel_dimension,unique_exact_column_count,unique_projective_column_count,duplicate_projective_class_count,total_hit_count,total_miss_count,total_multi_count,perfect_generator_count,worst_generator_miss_count,best_flag,selected_hcgrade_flag
151,3,10,18,21,23,33,23,36,36,12,173,331,119,0,54,0,0
152,3,10,20,21,22,33,23,36,36,12,116,388,55,0,54,0,0
153,3,10,20,21,23,33,23,36,36,12,123,381,74,0,52,0,0
154,3,11,18,20,22,33,23,36,36,12,112,392,61,0,55,0,0
155,3,11,18,20,23,33,23,36,36,12,143,361,89,0,55,0,0
156,3,11,18,21,22,33,23,36,36,12,128,376,75,0,55,0,0
157,3,11,18,21,23,33,23,36,36,12,176,328,116,0,51,0,0
158,3,11,20,21,22,33,23,36,36,12,108,396,47,0,55,0,0
159,3,11,20,21,23,33,23,36,36,12,118,386,63,0,55,0,0
160,4,5,7,10,18,33,23,36,36,12,90,414,41,0,56,0,0
161,4,5,7,10,19,33,23,36,36,12,81,423,32,0,55,0,0
162,4,5,7,11,18,33,23,36,36,12,80,424,32,0,56,0,0
163,4,5,7,11,19,33,23,36,36,12,77,427,28,0,56,0,0
164,4,5,9,10,18,33,23,36,36,12,125,379,80,0,56,0,0
165,4,5,9,10,19,33,23,36,36,12,102,402,58,0,56,0,0
166,4,5,9,11,18,33,23,36,36,12,110,394,65,0,54,0,0
167,4,5,9,11,19,33,23,36,36,12,86,418,44,0,56,0,0
168,4,5,10,18,22,33,23,36,36,12,102,402,48,0,56,0,0
169,4,5,10,18,23,33,23,36,36,12,120,384,72,0,56,0,0
170,4,5,10,19,22,33,23,36,36,12,95,409,42,0,56,0,0
171,4,5,10,19,23,33,23,36,36,12,99,405,52,0,56,0,0
172,4,5,11,18,22,33,23,36,36,12,99,405,50,0,56,0,0
173,4,5,11,18,23,33,23,36,36,12,120,384,80,0,54,0,0
174,4,5,11,19,22,33,23,36,36,12,88,416,42,0,56,0,0
175,4,5,11,19,23,33,23,36,36,12,94,410,56,0,56,0,0
176,4,7,10,18,19,33,23,36,36,12,102,402,39,0,54,0,0
177,4,7,10,18,21,33,23,36,36,12,114,390,45,0,54,0,0
178,4,7,10,19,21,33,23,36,36,12,102,402,36,0,55,0,0
179,4,7,11,18,19,33,23,36,36,12,91,413,33,0,53,0,0
180,4,7,11,18,21,33,23,36,36,12,105,399,39,0,53,0,0
181,4,7,11,19,21,33,23,36,36,12,103,401,36,0,54,0,0
182,4,9,10,18,19,33,23,36,36,12,123,381,60,0,54,0,0
183,4,9,10,18,21,33,23,36,36,12,132,372,76,0,54,0,0
184,4,9,10,19,21,33,23,36,36,12,116,388,57,0,55,0,0
185,4,9,11,18,19,33,23,36,36,12,124,380,70,0,55,0,0
186,4,9,11,18,21,33,23,36,36,12,137,367,84,0,53,0,0
187,4,9,11,19,21,33,23,36,36,12,113,391,60,0,55,0,0
188,4,10,18,19,22,33,23,36,36,12,95,409,43,0,55,0,0
189,4,10,18,19,23,33,23,36,36,12,126,378,61,0,54,0,0
190,4,10,18,21,22,33,23,36,36,12,112,392,51,0,54,0,0
191,4,10,18,21,23,33,23,36,36,12,143,361,84,0,54,0,0
192,4,10,19,21,22,33,23,36,36,12,111,393,45,0,54,0,0
193,4,10,19,21,23,33,23,36,36,12,123,381,62,0,54,0,0
194,4,11,18,19,22,33,23,36,36,12,96,408,42,0,55,0,0
195,4,11,18,19,23,33,23,36,36,12,126,378,68,0,55,0,0
196,4,11,18,21,22,33,23,36,36,12,110,394,48,0,55,0,0
197,4,11,18,21,23,33,23,36,36,12,142,362,84,0,53,0,0
198,4,11,19,21,22,33,23,36,36,12,105,399,38,0,55,0,0
199,4,11,19,21,23,33,23,36,36,12,116,388,56,0,55,0,0
200,5,7,10,18,19,33,23,36,36,12,111,393,61,0,55,0,0
201,5,7,10,18,20,33,23,36,36,12,114,390,55,0,55,0,0
202,5,7,10,19,20,33,23,36,36,12,105,399,47,0,54,0,0
203,5,7,11,18,19,33,23,36,36,12,94,410,51,0,56,0,0
204,5,7,11,18,20,33,23,36,36,12,99,405,49,0,56,0,0
205,5,7,11,19,20,33,23,36,36,12,92,412,45,0,56,0,0
206,5,9,10,18,19,33,23,36,36,12,157,347,105,0,56,0,0
207,5,9,10,18,20,33,23,36,36,12,153,351,108,0,52,0,0
208,5,9,10,19,20,33,23,36,36,12,130,374,88,0,56,0,0
209,5,9,11,18,19,33,23,36,36,12,157,347,108,0,52,0,0
210,5,9,11,18,20,33,23,36,36,12,143,361,101,0,54,0,0
211,5,9,11,19,20,33,23,36,36,12,119,385,77,0,56,0,0
212,5,10,18,19,22,33,23,36,36,12,120,384,84,0,55,0,0
213,5,10,18,19,23,33,23,36,36,12,151,353,107,0,56,0,0
214,5,10,18,20,22,33,23,36,36,12,109,395,64,0,56,0,0
