addr,positive_section_count,reverse_section_count,total_section_count,signed_section_count,positive_coeff_sum,reverse_coeff_sum,total_coeff_sum,signed_coeff_sum,positive_coeff_square_sum,reverse_coeff_square_sum,total_coeff_square_sum,signed_coeff_square_sum,projection_count_flag,projection_coeff_flag,projection_coeff_square_flag
191,20915,226294,247209,-205379,49184,434256,483440,-385072,281016,1509260,1790276,-1228244,1,1,1
192,20600,227048,247648,-206448,47520,435968,483488,-388448,264732,1515204,1779936,-1250472,1,1,1
193,20118,227563,247681,-207445,45760,437584,483344,-391824,250056,1522304,1772360,-1272248,1,1,1
194,19508,227437,246945,-207929,43904,436928,480832,-393024,232200,1519416,1751616,-1287216,1,1,1
195,19684,228983,248667,-209299,43776,438832,482608,-395056,229592,1520150,1749742,-1290558,1,1,1
196,19074,229771,248845,-210697,41760,440672,482432,-398912,215556,1526218,1741774,-1310662,1,1,1
197,18424,230589,249013,-212165,39648,442416,482064,-402768,201296,1531648,1732944,-1330352,1,1,1
198,17638,231205,248843,-213567,37440,444064,481504,-406624,185400,1537346,1722746,-1351946,1,1,1
199,16645,231096,247741,-214451,35136,443864,479000,-408728,171326,1536816,1708142,-1365490,1,1,1
200,16146,231461,247607,-215315,34224,443592,477816,-409368,167316,1533496,1700812,-1366180,1,1,1
201,15763,232456,248219,-216693,33264,444976,478240,-411712,162920,1536044,1698964,-1373124,1,1,1
202,14636,232213,246849,-217577,30720,444608,475328,-413888,148356,1535276,1683632,-1386920,1,1,1
203,14170,233195,247365,-219025,29640,445824,475464,-416184,143752,1537100,1680852,-1393348,1,1,1
204,12920,232819,245739,-219899,26928,445336,472264,-418408,127224,1536112,1663336,-1408888,1,1,1
205,12410,233757,246167,-221347,25728,446384,472112,-420656,121816,1537248,1659064,-1415432,1,1,1
206,11172,233921,245093,-222749,22848,447360,470208,-424512,104692,1541694,1646386,-1437002,1,1,1
207,9906,234053,243959,-224147,19872,448240,468112,-428368,88920,1546026,1634946,-1457106,1,1,1
208,8568,234113,242681,-225545,16800,449024,465824,-432224,73000,1550210,1623210,-1477210,1,1,1
209,7158,234171,241329,-227013,13632,449712,463344,-436080,56930,1553854,1610784,-1496924,1,1,1
210,5612,234027,239639,-228415,10368,450304,460672,-439936,39248,1557742,1596990,-1518494,1,1,1
211,4026,233325,237351,-229299,7008,449336,456344,-442328,22944,1556008,1578952,-1533064,1,1,1
212,3058,233221,236279,-230163,5328,448296,453624,-442968,17472,1551160,1568632,-1533688,1,1,1
213,2058,233085,235143,-231027,3600,447208,450808,-443608,11920,1546232,1558152,-1534312,1,1,1
214,1026,232903,233929,-231877,1824,446072,447896,-444248,6288,1541256,1547544,-1534968,1,1,1
215,736,232623,233359,-231887,2000,444636,446636,-442636,6904,1535498,1542402,-1528594,1,1,1
