trace,shell,t,F,ratio,dF,Emax,kmax,barrier_class,dissonance_class,danger_flag,pitch_hz,amplitude,roughness,brightness,lambda_hc_channel
w16_prefix16_low_barrier_dissonance,16,17.79150579150579,-3.388281726277654,0.033766647423655094,7.047157918057469e-07,1.627471402643188e-06,16,below,dissonant,False,514.3617491364487,0.2174622011472459,0.00013019771221145504,4.404473698785918e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.884169884169882,-3.388281663527245,0.03376664954252611,6.503738480805569e-07,1.50197409920505e-06,16,below,dissonant,False,514.3617543817829,0.2174622041662792,0.00012015792793640401,4.064836550503481e-08,0.0
w16_prefix16_low_barrier_dissonance,16,17.976833976833976,-3.3882816056156457,0.03376665149800683,6.002221945336254e-07,1.3861537763171228e-06,16,below,dissonant,False,514.361759222639,0.21746220695250884,0.00011089230210536982,3.7513887158351587e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.069498069498067,-3.3882815521697296,0.03376665330269651,5.539377540335183e-07,1.2792644223935667e-06,16,below,dissonant,False,514.3617636902067,0.21746220952388662,0.00010234115379148534,3.4621109627094895e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.16216216216216,-3.388281502845153,0.03376665496822242,5.112223495122656e-07,1.1806174805562009e-06,16,below,dissonant,False,514.3617678132698,0.2174622118969795,9.444939844449607e-05,3.19513968445166e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.254826254826256,-3.388281457324112,0.03376665650531575,4.718007430693323e-07,1.0895771325181158e-06,16,below,dissonant,False,514.3617716183937,0.21746221408707755,8.716617060144927e-05,2.948754644183327e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.347490347490346,-3.388281415313301,0.033766657923880394,4.3541898645474376e-07,1.0055570562883531e-06,16,below,dissonant,False,514.361775130096,0.21746221610829225,8.044456450306825e-05,2.7213686653421485e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.44015444015444,-3.3882813765420607,0.033766659233055635,4.0184268627069824e-07,9.280159621871675e-07,16,below,dissonant,False,514.3617783710013,0.21746221797364546,7.42412769749734e-05,2.511516789191864e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.53281853281853,-3.388281340760564,0.03376666044127727,3.708554813318933e-07,8.56454016484598e-07,16,below,dissonant,False,514.3617813619925,0.21746221969515683,6.851632131876784e-05,2.317846758324333e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.625482625482626,-3.388281307738282,0.03376666155632946,3.4225776708686153e-07,7.904104393219313e-07,16,below,dissonant,False,514.3617841223397,0.2174622212839175,6.323283514575451e-05,2.1391110442928846e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.718146718146716,-3.3882812772624575,0.03376666258539633,3.15865276837022e-07,7.294596144902243e-07,16,below,dissonant,False,514.3617866698276,0.21746222275016364,5.835676915921795e-05,1.9741579802313876e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.81081081081081,-3.3882812491366963,0.03376666353510943,2.915079569360238e-07,6.732087781680107e-07,16,below,dissonant,False,514.3617890208725,0.21746222410334398,5.385670225344086e-05,1.8219247308501488e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.9034749034749,-3.38828122317981,0.0337666644115869,2.690288822874897e-07,6.212955643292162e-07,16,below,dissonant,False,514.3617911906202,0.21746222535217596,4.9703645146337294e-05,1.6814305142968106e-08,0.0
w16_prefix16_low_barrier_dissonance,16,18.996138996138995,-3.3882811992245436,0.03376666522047634,2.4828323973188024e-07,5.733856305312202e-07,16,below,dissonant,False,514.3617931930517,0.21746222650470648,4.587085044249761e-05,1.5517702483242515e-08,0.0
w16_prefix16_low_barrier_dissonance,16,19.088803088803086,-3.388281177116532,0.03376666596699017,2.2913732242428923e-07,5.291699999299126e-07,16,below,dissonant,False,514.3617950410703,0.2174622275683622,4.233359999439301e-05,1.4321082651518077e-08,0.0
w16_prefix16_low_barrier_dissonance,16,19.18146718146718,-3.388281156713333,0.033766666655938186,2.1146779470988277e-07,4.883639451724875e-07,16,below,dissonant,False,514.3617967465829,0.21746222854999647,3.9069115613799e-05,1.3216737169367673e-08,0.0
w16_prefix16_low_barrier_dissonance,16,19.274131274131275,-3.388281137883503,0.03376666729175879,1.9516081905043368e-07,4.5070460996665673e-07,16,below,dissonant,False,514.3617983205768,0.21746222945593308,3.605636879733254e-05,1.2197551190652105e-08,0.0
w16_prefix16_low_barrier_dissonance,16,19.366795366795365,-3.3882811205057095,0.03376666787854896,1.8011130756934325e-07,4.1594921107446226e-07,16,below,dissonant,False,514.3617997731943,0.21746223029200967,3.327593688595698e-05,1.1256956723083953e-08,0.0
w16_prefix16_low_barrier_dissonance,16,19.45945945945946,-3.3882811044679713,0.03376666842008995,1.6622231570725183e-07,3.8387396372741023e-07,16,below,dissonant,False,514.3618011137961,0.21746223106361384,3.070991709819282e-05,1.038889473170324e-08,0.0
w16_prefix16_low_barrier_dissonance,16,19.55212355212355,-3.388281089666961,0.033766668919870756,1.5340435661842138e-07,3.5427221689587896e-07,16,below,dissonant,False,514.3618023510192,0.21746223177571677,2.8341777351670316e-05,9.587772288651337e-09,0.0
w16_prefix16_low_barrier_dissonance,16,19.644787644787645,-3.3882810760072886,0.0337666693811124,1.415748026709161e-07,3.2695296958706876e-07,16,below,dissonant,False,514.3618034928375,0.21746223243290796,2.61562375669655e-05,8.848425166932256e-09,0.0
w16_prefix16_low_barrier_dissonance,16,19.737451737451735,-3.3882810634009743,0.033766669806785644,1.3065747794765137e-07,3.017405051375377e-07,16,below,dissonant,False,514.3618045466048,0.2174622330394202,2.4139240411003016e-05,8.16609237172821e-09,0.0
w16_prefix16_low_barrier_dissonance,16,19.83011583011583,-3.388281051766782,0.03376667019963358,1.205820228062108e-07,2.7847225680943666e-07,16,below,dissonant,False,514.3618055191123,0.21746223359916195,2.2277780544754933e-05,7.536376425388174e-09,0.0
w16_prefix16_low_barrier_dissonance,16,19.92277992277992,-3.3882810410297424,0.033766670562187656,1.1128351127729081e-07,2.5699825023650646e-07,16,below,dissonant,False,514.3618064166262,0.21746223411574006,2.0559860018920517e-05,6.955219454830676e-09,0.0
w16_prefix16_low_barrier_dissonance,16,20.015444015444015,-3.3882810311206626,0.03376667089678429,1.0270204067069713e-07,2.3718019193097462e-07,16,below,dissonant,False,514.3618072449308,0.21746223459248348,1.897441535447797e-05,6.4188775419185704e-09,0.0
w16_prefix16_low_barrier_dissonance,16,20.10810810810811,-3.3882810219757147,0.03376667120557874,9.478230516607702e-08,2.1889029788724201e-07,16,below,dissonant,False,514.3618080093611,0.21746223503246326,1.751122383097936e-05,5.923894072879814e-09,0.0
w16_prefix16_low_barrier_dissonance,16,20.2007722007722,-3.3882810135359804,0.03376667149056047,8.74733092697374e-08,2.0201095374261513e-07,16,below,dissonant,False,514.3618087148423,0.21746223543851395,1.616087629940921e-05,5.467081829358588e-09,0.0
