term_id,class_id,gap_kind,coeff_num,coeff_den,exp12_n,exp12_x,exp12_const,exp18_n,exp18_x,exp18_const,exp48_n,exp48_x,exp48_const
475,10,1,-1,15,1,0,0,0,0,0,1,0,1
476,10,1,1,15,1,0,0,1,-1,-2,0,1,3
477,10,1,-6,1,1,0,0,1,0,0,0,0,0
478,10,1,1,3,1,0,0,1,0,1,0,0,0
479,10,1,1,15,1,0,1,0,0,0,1,0,0
480,10,1,1,180,1,0,1,0,0,0,1,0,2
481,10,1,-1,15,1,0,1,1,-1,-1,0,1,1
482,10,1,-1,180,1,0,1,1,-1,-1,0,1,3
483,10,1,6,1,1,0,1,1,0,-1,0,0,0
484,10,1,-1,3,1,0,1,1,0,0,0,0,0
485,10,1,1,2,1,0,1,1,0,1,0,0,0
486,10,1,-1,36,1,0,1,1,0,2,0,0,0
487,10,1,-1,180,1,0,2,0,0,0,1,0,1
488,10,1,1,180,1,0,2,1,-1,0,0,1,1
489,10,1,-1,2,1,0,2,1,0,0,0,0,0
490,10,1,1,36,1,0,2,1,0,1,0,0,0
491,11,0,16,25,0,0,0,1,0,-1,1,0,1
492,11,0,-2,25,0,0,0,1,0,0,1,0,0
493,11,0,-1,15,0,0,0,1,0,0,1,0,1
494,11,0,-4,75,0,0,0,1,0,0,1,0,2
495,11,0,-14,25,0,0,0,1,0,1,1,0,-1
496,11,0,1,15,0,0,0,1,0,1,1,0,0
497,11,0,4,75,0,0,0,1,0,1,1,0,1
498,11,0,1,180,0,0,0,1,0,1,1,0,2
499,11,0,-7,150,0,0,0,1,0,2,1,0,0
500,11,0,-1,180,0,0,0,1,0,2,1,0,1
501,11,0,7,150,0,0,0,1,0,3,1,0,-1
502,11,0,1,15,1,0,0,0,0,0,1,0,1
503,11,0,-1,15,1,0,0,0,0,1,1,0,0
504,11,0,6,1,1,0,0,1,0,0,0,0,0
505,11,0,-1,3,1,0,0,1,0,1,0,0,0
506,11,0,-1,15,1,0,1,0,0,0,1,0,0
507,11,0,-1,180,1,0,1,0,0,0,1,0,2
508,11,0,1,15,1,0,1,0,0,1,1,0,-1
509,11,0,1,180,1,0,1,0,0,2,1,0,0
510,11,0,-6,1,1,0,1,1,0,-1,0,0,0
511,11,0,1,3,1,0,1,1,0,0,0,0,0
512,11,0,-1,2,1,0,1,1,0,1,0,0,0
513,11,0,1,36,1,0,1,1,0,2,0,0,0
514,11,0,1,180,1,0,2,0,0,0,1,0,1
515,11,0,-1,180,1,0,2,0,0,2,1,0,-1
516,11,0,1,2,1,0,2,1,0,0,0,0,0
517,11,0,-1,36,1,0,2,1,0,1,0,0,0
518,11,1,1,900,0,0,0,0,0,0,2,0,3
519,11,1,-1,900,0,0,0,0,0,1,2,0,2
520,11,1,-6,5,0,0,0,1,0,-1,1,0,1
521,11,1,6,5,0,0,0,1,0,0,1,0,0
522,11,1,1,15,0,0,0,1,0,0,1,0,1
523,11,1,1,10,0,0,0,1,0,0,1,0,2
524,11,1,-1,15,0,0,0,1,0,1,1,0,0
525,11,1,-4,75,0,0,0,1,0,1,1,0,1
526,11,1,-1,180,0,0,0,1,0,1,1,0,2
527,11,1,-7,150,0,0,0,1,0,2,1,0,0
528,11,1,1,180,0,0,0,1,0,2,1,0,1
529,11,1,-6,1,1,0,0,1,0,0,0,0,0
530,11,1,1,3,1,0,0,1,0,1,0,0,0
531,11,1,6,1,1,0,1,1,0,-1,0,0,0
532,11,1,-1,3,1,0,1,1,0,0,0,0,0
533,11,1,1,2,1,0,1,1,0,1,0,0,0
534,11,1,-1,36,1,0,1,1,0,2,0,0,0
535,11,1,-1,180,1,0,2,0,0,0,1,0,1
536,11,1,1,180,1,0,2,0,0,1,1,0,0
537,11,1,-1,2,1,0,2,1,0,0,0,0,0
538,11,1,1,36,1,0,2,1,0,1,0,0,0
539,12,0,16,25,0,0,0,1,0,-1,1,0,1
540,12,0,-2,25,0,0,0,1,0,0,1,0,0
541,12,0,-1,15,0,0,0,1,0,0,1,0,1
542,12,0,-4,75,0,0,0,1,0,0,1,0,2
543,12,0,-14,25,0,0,0,1,0,1,1,0,-1
544,12,0,1,15,0,0,0,1,0,1,1,0,0
545,12,0,1,150,0,0,0,1,0,1,1,0,1
546,12,0,1,180,0,0,0,1,0,1,1,0,2
547,12,0,7,150,0,0,0,1,0,2,1,0,0
548,12,0,-1,180,0,0,0,1,0,2,1,0,1
549,12,0,1,15,1,0,0,0,0,0,1,0,1
550,12,0,-1,15,1,0,0,0,0,1,1,0,0
551,12,0,6,1,1,0,0,1,0,0,0,0,0
552,12,0,-1,3,1,0,0,1,0,1,0,0,0
553,12,0,-1,15,1,0,1,0,0,0,1,0,0
554,12,0,-1,180,1,0,1,0,0,0,1,0,2
555,12,0,1,15,1,0,1,0,0,1,1,0,-1
556,12,0,1,180,1,0,1,0,0,1,1,0,1
557,12,0,-6,1,1,0,1,1,0,-1,0,0,0
558,12,0,1,3,1,0,1,1,0,0,0,0,0
559,12,0,-1,2,1,0,1,1,0,1,0,0,0
560,12,0,1,36,1,0,1,1,0,2,0,0,0
561,12,0,1,180,1,0,2,0,0,0,1,0,1
562,12,0,-1,180,1,0,2,0,0,1,1,0,0
563,12,0,1,2,1,0,2,1,0,0,0,0,0
564,12,0,-1,36,1,0,2,1,0,1,0,0,0
565,12,1,-6,5,0,0,0,1,0,-1,1,0,1
566,12,1,6,5,0,0,0,1,0,0,1,0,0
567,12,1,1,15,0,0,0,1,0,0,1,0,1
568,12,1,1,10,0,0,0,1,0,0,1,0,2
569,12,1,-1,15,0,0,0,1,0,1,1,0,0
570,12,1,-1,10,0,0,0,1,0,1,1,0,1
571,12,1,-1,180,0,0,0,1,0,1,1,0,2
572,12,1,1,180,0,0,0,1,0,2,1,0,1
573,12,1,-6,1,1,0,0,1,0,0,0,0,0
574,12,1,1,3,1,0,0,1,0,1,0,0,0
575,12,1,6,1,1,0,1,1,0,-1,0,0,0
576,12,1,-1,3,1,0,1,1,0,0,0,0,0
577,12,1,1,2,1,0,1,1,0,1,0,0,0
578,12,1,-1,36,1,0,1,1,0,2,0,0,0
579,12,1,-1,2,1,0,2,1,0,0,0,0,0
580,12,1,1,36,1,0,2,1,0,1,0,0,0
