state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,abs_drift_num_digits,abs_drift_den_digits,abs_drift_num_mod_1000000007,abs_drift_den_mod_1000000007,abs_drift_num_mod_1000000009,abs_drift_den_mod_1000000009,source_probability_num_digits,source_probability_den_digits,source_probability_num_mod_1000000007,source_probability_den_mod_1000000007,source_probability_num_mod_1000000009,source_probability_den_mod_1000000009,drift_sign,eventual_cone_flag,boundary_defect_flag
95,9,15,2,5,3,12,12,898381737,626077432,898381213,626077124,10,12,188252686,626077432,188252676,626077124,10,12,188252686,626077432,188252676,626077124,7,9,7077888,214774897,7077888,214774897,1,1,0
96,9,16,2,16,9,11,11,389753907,771012910,389753815,771012860,10,11,723859560,313038716,723859558,313038562,10,11,723859560,313038716,723859558,313038562,8,9,18874368,214774897,18874368,214774897,1,1,0
97,9,17,2,17,9,11,11,643634049,180675271,643633985,180675237,10,12,721226820,626077432,721226818,626077124,10,12,721226820,626077432,721226818,626077124,8,9,50331648,214774897,50331648,214774897,1,1,0
98,9,18,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,9,9,134217728,214774897,134217728,214774897,0,1,0
99,10,0,3,0,1,11,12,461805636,185530770,461805606,185530468,11,12,461805636,185530770,461805606,185530468,11,12,461805636,185530770,461805606,185530468,4,10,1024,718067532,1024,718067530,1,1,0
100,10,1,3,1,10,11,12,617165960,371061540,617165786,371060936,12,12,450149508,927653850,450149222,927652340,12,12,450149508,927653850,450149222,927652340,4,10,1536,718067532,1536,718067530,1,1,0
101,10,2,2,1,5,12,12,114353166,113184613,114352400,113182799,13,13,458581217,565923065,458579201,565913995,13,13,458581217,565923065,458579201,565913995,4,10,2304,718067532,2304,718067530,1,1,0
102,10,3,3,3,10,13,13,418887178,679107678,418881348,679096794,13,14,75774366,395538369,75761540,395483943,13,14,75774366,395538369,75761540,395483943,4,10,3456,718067532,3456,718067530,1,1,0
103,10,4,2,2,5,14,14,448436941,37323020,448415649,37290364,14,14,167538651,186615100,167497499,186451820,14,14,167538651,186615100,167497499,186451820,4,10,5184,718067532,5184,718067530,1,1,0
104,10,5,2,1,2,14,14,254574137,111969060,254500473,111871092,14,14,198589607,111969060,198564927,111871092,14,14,198589607,111969060,198564927,111871092,4,10,7776,718067532,7776,718067530,1,1,0
105,10,6,2,3,5,15,15,683337150,335907180,683087680,335613276,15,15,408964196,679535893,408598554,678066371,15,15,408964196,679535893,408598554,678066371,5,10,11664,718067532,11664,718067530,1,1,0
106,10,7,2,7,10,15,15,192505205,7721533,191673117,6839819,15,16,435500656,38607665,434426214,34199095,15,16,435500656,38607665,434426214,34199095,5,10,17496,718067532,17496,718067530,1,1,0
107,10,8,2,4,5,16,16,772296019,23164599,769552251,20519457,16,16,768821678,115822995,765683400,102597285,16,16,768821678,115822995,765683400,102597285,5,10,26244,718067532,26244,718067530,1,1,0
108,10,9,1,9,10,2,2,12,11,12,11,2,3,21,110,21,110,2,3,21,110,21,110,5,10,39366,718067532,39366,718067530,1,1,0
109,10,10,2,1,1,16,16,142456003,802120353,135504069,796168785,15,16,340335657,802120353,339335293,796168785,15,16,340335657,802120353,339335293,796168785,5,10,59049,718067532,59049,718067530,1,1,0
110,10,11,2,11,10,16,15,286273740,267373451,283871774,265389595,16,16,921629446,673734496,919432204,653895932,16,16,921629446,673734496,919432204,653895932,6,10,157464,718067532,157464,718067530,1,1,0
111,10,12,2,6,5,15,15,228821871,755791155,227973061,755129871,15,16,609362453,778955754,609086115,775649328,15,16,609362453,778955754,609086115,775649328,6,10,419904,718067532,419904,718067530,1,1,0
112,10,13,2,13,10,15,15,266353755,251930385,266052275,251709957,14,16,388442552,519303836,388293318,517099552,14,16,388442552,519303836,388293318,517099552,7,10,1119744,718067532,1119744,718067530,1,1,0
113,10,14,2,7,5,14,14,128679605,83976795,128572619,83903319,14,15,55560460,419883975,55539862,419516595,14,15,55560460,419883975,55539862,419516595,7,10,2985984,718067532,2985984,718067530,1,1,0
114,10,15,2,3,2,14,14,636591765,27992265,636553901,27967773,13,14,189206728,55984530,189204474,55935546,13,14,189206728,55984530,189204474,55935546,7,10,7962624,718067532,7962624,718067530,1,1,0
115,10,16,2,8,5,13,13,510424582,9330755,510411222,9322591,12,14,477476856,46653775,477475364,46612955,12,14,477476856,46653775,477475364,46612955,8,10,21233664,718067532,21233664,718067530,1,1,0
