element_index,R_equivariance_relerr,R_cos2_after_action,builder_rank,jabber_rank
569,520.2230849208074,1.1290114751760223e-05,4,4
570,1593.573920067285,0.0004889135899117961,4,4
571,1593.573920067278,0.0004889135899117981,4,4
572,707.1616822543828,2.2033182788308314e-05,4,4
573,707.1616822543767,2.203318278830753e-05,4,4
574,1266.7667723873087,0.0004710845723691971,4,4
575,1068.162561405043,7.916695689858794e-05,4,4
576,1081.7711767808735,8.34576931694278e-05,4,4
577,367.68364252752224,0.00015767487790575645,4,4
578,1493.3174335200304,0.0005103526455696965,4,4
579,788.2841077803857,3.486431978911311e-05,4,4
580,1493.3174335200367,0.000510352645569694,4,4
581,788.2841077803917,3.486431978911389e-05,4,4
582,1484.0980639629993,0.00043558091691496174,4,4
583,2269.0598418079694,0.00039202146065232487,4,4
584,347.1928550704431,0.0005393015987078987,4,4
585,1694.377534674924,1.437606402683304e-05,4,4
586,661.7693405471249,3.0007611893843238e-05,4,4
587,337.6884004205286,0.0004562428260670425,4,4
588,661.769340547119,3.0007611893844695e-05,4,4
589,337.68840042053336,0.0004562428260670203,4,4
590,559.488308759892,0.000608290926503996,4,4
591,282.7062763743764,0.0007339436569367093,4,4
592,282.7062763743764,0.0007339436569367093,4,4
593,559.488308759892,0.000608290926503996,4,4
594,337.68840042053336,0.0004562428260670203,4,4
595,661.769340547119,3.0007611893844695e-05,4,4
596,337.6884004205286,0.0004562428260670425,4,4
597,661.7693405471249,3.0007611893843238e-05,4,4
598,1694.377534674924,1.437606402683304e-05,4,4
599,347.1928550704431,0.0005393015987078987,4,4
600,2269.0598418079694,0.00039202146065232487,4,4
601,1484.0980639629993,0.00043558091691496174,4,4
602,788.2841077803917,3.486431978911389e-05,4,4
603,1493.3174335200367,0.000510352645569694,4,4
604,788.2841077803857,3.486431978911311e-05,4,4
605,1493.3174335200304,0.0005103526455696965,4,4
606,367.68364252752224,0.00015767487790575645,4,4
607,1081.7711767808735,8.34576931694278e-05,4,4
608,1157.4287683433604,9.177026484650211e-05,4,4
609,437.5939470375612,5.877479472436467e-05,4,4
610,707.1616822543826,2.2033182788308345e-05,4,4
611,1593.5739200672847,0.0004889135899117965,4,4
612,707.1616822543765,2.2033182788307284e-05,4,4
613,1593.5739200672786,0.0004889135899117983,4,4
614,1379.182032366015,0.00045433789197142307,4,4
615,2158.3319874713598,0.00040245311259990275,4,4
616,1798.2822690556982,1.734331016953216e-05,4,4
617,421.8810148397062,0.00028151807361495405,4,4
618,574.0890667673281,6.3476519229216e-05,4,4
619,276.6645146008946,0.000865505837088202,4,4
620,574.0890667673342,6.347651922921321e-05,4,4
621,276.6645146008909,0.0008655058370882388,4,4
622,336.6009138080499,0.0004053130866036513,4,4
623,481.91198731204594,0.00072550594429397,4,4
624,481.91198731204594,0.00072550594429397,4,4
625,336.6009138080499,0.0004053130866036513,4,4
626,276.6645146008909,0.0008655058370882388,4,4
627,574.0890667673342,6.347651922921321e-05,4,4
628,276.6645146008946,0.000865505837088202,4,4
629,574.0890667673281,6.3476519229216e-05,4,4
630,421.8810148397062,0.00028151807361495405,4,4
631,1798.2822690556982,1.734331016953216e-05,4,4
632,2158.3319874713598,0.00040245311259990275,4,4
633,1379.182032366015,0.00045433789197142307,4,4
634,1593.5739200672786,0.0004889135899117983,4,4
635,707.1616822543765,2.2033182788307284e-05,4,4
636,1593.5739200672847,0.0004889135899117965,4,4
637,707.1616822543826,2.2033182788308345e-05,4,4
638,437.5939470375612,5.877479472436467e-05,4,4
639,1157.4287683433604,9.177026484650211e-05,4,4
640,2282.8565627320463,2.67746560240477e-05,4,4
641,376.01781573282216,0.0008446788067160119,4,4
642,773.6997497071433,0.00047450938776131196,4,4
643,773.6997497071493,0.0004745093877613083,4,4
644,1507.6405610582933,1.0437421242086787e-05,4,4
645,1507.6405610582995,1.0437421242086992e-05,4,4
646,1493.396142994994,6.5903221466714234e-06,4,4
647,1074.6381627717365,0.0002847325614678693,4,4
648,340.1546340407282,0.0012900336573306193,4,4
649,340.15463404073256,0.0012900336573306078,4,4
650,263.07300824536173,0.0019712950158325385,4,4
651,1681.4823806325346,0.0004582125630573311,4,4
652,571.9237684887447,1.1598203024007593e-06,4,4
653,353.3422741986904,0.001148053983204265,4,4
654,649.535689255365,0.0008527862899445115,4,4
655,649.5356892553588,0.0008527862899445159,4,4
656,649.5356892553588,0.0008527862899445159,4,4
657,649.535689255365,0.0008527862899445115,4,4
658,353.3422741986904,0.001148053983204265,4,4
659,571.9237684887447,1.1598203024007593e-06,4,4
660,1681.4823806325346,0.0004582125630573311,4,4
661,263.07300824536173,0.0019712950158325385,4,4
662,340.15463404073256,0.0012900336573306078,4,4
663,340.1546340407282,0.0012900336573306193,4,4
664,1074.6381627717365,0.0002847325614678693,4,4
665,1493.396142994994,6.5903221466714234e-06,4,4
666,1507.6405610582995,1.0437421242086992e-05,4,4
667,1507.6405610582933,1.0437421242086787e-05,4,4
668,773.6997497071493,0.0004745093877613083,4,4
669,773.6997497071433,0.00047450938776131196,4,4
670,376.01781573282216,0.0008446788067160119,4,4
671,2282.8565627320463,2.67746560240477e-05,4,4
672,2172.332229692495,2.4114847169326064e-05,4,4
673,443.6694015394124,0.0006967324895045173,4,4
674,1607.5542080487144,1.3423813532145356e-05,4,4
675,1607.5542080487082,1.3423813532145268e-05,4,4
676,691.0261351794592,0.0005359857293673814,4,4
677,691.0261351794531,0.0005359857293673858,4,4
678,1388.0977566706663,3.893497345788941e-06,4,4
679,1151.1287099733606,0.00026844311713647244,4,4
680,282.594952080758,0.0014635458770727865,4,4
681,282.5949520807546,0.001463545877072791,4,4
682,495.76589205860455,1.8919424810639403e-06,4,4
683,424.67924875816084,0.0010011449348150076,4,4
684,317.99432617870855,0.0016822736284542279,4,4
685,1785.5078753250118,0.0004420489844066137,4,4
686,561.5729246982951,0.0009753648045418882,4,4
687,561.5729246983008,0.0009753648045418759,4,4
688,561.5729246983008,0.0009753648045418759,4,4
689,561.5729246982951,0.0009753648045418882,4,4
690,1785.5078753250118,0.0004420489844066137,4,4
691,317.99432617870855,0.0016822736284542279,4,4
692,424.67924875816084,0.0010011449348150076,4,4
693,495.76589205860455,1.8919424810639403e-06,4,4
694,282.5949520807546,0.001463545877072791,4,4
695,282.594952080758,0.0014635458770727865,4,4
696,1151.1287099733606,0.00026844311713647244,4,4
697,1388.0977566706663,3.893497345788941e-06,4,4
698,691.0261351794531,0.0005359857293673858,4,4
699,691.0261351794592,0.0005359857293673814,4,4
700,1607.5542080487082,1.3423813532145268e-05,4,4
701,1607.5542080487144,1.3423813532145356e-05,4,4
702,443.6694015394124,0.0006967324895045173,4,4
703,2172.332229692495,2.4114847169326064e-05,4,4
704,2289.7601921343703,2.7162540348955066e-05,4,4
705,1275.5057905784458,1.3757323497953283e-06,4,4
706,1607.5542080487082,1.3423813532145336e-05,4,4
707,691.0261351794533,0.0005359857293673856,4,4
708,1607.5542080487146,1.342381353214541e-05,4,4
709,691.0261351794592,0.0005359857293673816,4,4
710,524.2210562888455,0.0005830080090852772,4,4
711,1061.363274440226,0.0002856005585884594,4,4
712,748.6460345590755,2.60536887787843e-05,4,4
713,558.1092865450415,0.0010028695616868322,4,4
714,282.59495208075464,0.001463545877072792,4,4
715,561.5729246983009,0.0009753648045418766,4,4
716,282.59495208075805,0.0014635458770727867,4,4
717,561.5729246982951,0.0009753648045418878,4,4
718,692.0375982366894,0.000707177101259784,4,4
719,1466.3722502145663,0.0004896136318054469,4,4
720,1466.3722502145663,0.0004896136318054469,4,4
721,692.0375982366894,0.000707177101259784,4,4
722,561.5729246982951,0.0009753648045418878,4,4
723,282.59495208075805,0.0014635458770727867,4,4
724,561.5729246983009,0.0009753648045418766,4,4
725,282.59495208075464,0.001463545877072792,4,4
726,558.1092865450415,0.0010028695616868322,4,4
727,748.6460345590755,2.60536887787843e-05,4,4
728,1061.363274440226,0.0002856005585884594,4,4
729,524.2210562888455,0.0005830080090852772,4,4
730,691.0261351794592,0.0005359857293673816,4,4
731,1607.5542080487146,1.342381353214541e-05,4,4
732,691.0261351794533,0.0005359857293673856,4,4
733,1607.5542080487082,1.3423813532145336e-05,4,4
734,1275.5057905784458,1.3757323497953283e-06,4,4
735,2289.7601921343703,2.7162540348955066e-05,4,4
736,2400.6244784975192,2.969361683375628e-05,4,4
737,1380.2168710241679,3.5157234726244417e-06,4,4
738,773.6997497071494,0.000474509387761308,4,4
739,1507.6405610582992,1.0437421242086917e-05,4,4
740,773.6997497071433,0.00047450938776131245,4,4
741,1507.6405610582933,1.0437421242086756e-05,4,4
742,451.82604245667306,0.0006910900265304483,4,4
743,984.8435510944453,0.0003052616275400917,4,4
744,476.65746534480974,0.0011698589201726054,4,4
745,828.6391726199677,3.803530751798281e-05,4,4
746,340.1546340407328,0.001290033657330607,4,4
747,649.5356892553588,0.0008527862899445161,4,4
748,340.1546340407282,0.0012900336573306215,4,4
749,649.5356892553648,0.0008527862899445097,4,4
750,1363.6441776596982,0.0005137638299601663,4,4
751,601.8590607121147,0.0007912335065646426,4,4
752,601.8590607121147,0.0007912335065646426,4,4
753,1363.6441776596982,0.0005137638299601663,4,4
754,649.5356892553648,0.0008527862899445097,4,4
755,340.1546340407282,0.0012900336573306215,4,4
756,649.5356892553588,0.0008527862899445161,4,4
757,340.1546340407328,0.001290033657330607,4,4
758,828.6391726199677,3.803530751798281e-05,4,4
759,476.65746534480974,0.0011698589201726054,4,4
760,984.8435510944453,0.0003052616275400917,4,4
761,451.82604245667306,0.0006910900265304483,4,4
762,1507.6405610582933,1.0437421242086756e-05,4,4
763,773.6997497071433,0.00047450938776131245,4,4
764,1507.6405610582992,1.0437421242086917e-05,4,4
765,773.6997497071494,0.000474509387761308,4,4
766,1380.2168710241679,3.5157234726244417e-06,4,4
767,2400.6244784975192,2.969361683375628e-05,4,4
