pair_id,p5_a,p5_b,f4_a,f4_b,face_a,face_b,mask_a,mask_b,same_face_flag,same_mask_flag,joint_p0_support,joint_p1_support,joint_p2_support,joint_p3_support,joint_p4_support,joint_support_min,joint_support_max,joint_support_spread,below_single_floor_flag,support_equal_flag,joint_mult_value,eta6_preserved_flag
150,1,9,0,4,12,12,30,30,1,1,116839168,227216128,176921088,282541568,228125184,116839168,282541568,165702400,0,0,1698693120,1
151,1,10,0,5,12,12,30,30,1,1,95458048,60621056,202178944,119117568,157108608,60621056,202178944,141557888,0,0,1358954496,1
152,1,11,0,5,12,12,30,30,1,1,131890944,85543168,322535936,235505152,304397824,85543168,322535936,236992768,0,0,1698693120,1
153,1,12,0,6,12,12,30,30,1,1,96502528,68813056,173412096,98247552,131990528,68813056,173412096,104599040,0,0,1302331392,1
154,1,13,0,6,12,12,30,30,1,1,124857088,99583744,209025536,159685632,253132800,99583744,253132800,153549056,0,0,1981808640,1
155,1,14,0,7,12,12,30,30,1,1,89675520,66636032,171556864,100403200,124088064,66636032,171556864,104920832,0,0,1302331392,1
156,1,15,0,7,12,12,30,30,1,1,110502656,97487104,236217856,197864448,237453312,97487104,237453312,139966208,0,0,1981808640,1
157,1,16,0,8,12,12,30,30,1,1,90555136,104300800,160598144,152848320,138525632,90555136,160598144,70043008,0,0,1302331392,1
158,1,17,0,8,12,12,30,30,1,1,109245184,192739072,195790336,264617472,267406592,109245184,267406592,158161408,0,0,1981808640,1
159,1,18,0,9,12,12,30,30,1,1,89797376,66281728,188921088,132375424,157108608,66281728,188921088,122639360,0,0,1302331392,1
160,1,19,0,9,12,12,30,30,1,1,114719488,102714624,305308672,252732416,304397824,102714624,305308672,202594048,0,0,1981808640,1
161,1,20,0,10,12,12,30,30,1,1,84439808,74742272,156312064,131127680,127712576,74742272,156312064,81569792,0,0,1302331392,1
162,1,21,0,10,12,12,30,30,1,1,94343936,123496704,188369408,282438656,285796864,94343936,285796864,191452928,0,0,1981808640,1
163,1,22,0,11,12,12,30,30,1,1,87048960,58610944,174925312,112602496,155239936,58610944,174925312,116314368,0,0,1302331392,1
164,1,23,0,11,12,12,30,30,1,1,104768256,78774016,235483648,210214400,348783616,78774016,348783616,270009600,0,0,1981808640,1
165,1,24,0,12,12,12,30,30,1,1,105326848,78429056,161735168,93705984,117654528,78429056,161735168,83306112,0,0,1189085184,1
166,1,25,0,12,12,12,30,30,1,1,138670848,114596864,186599936,138455808,189880320,114596864,189880320,75283456,0,0,1755316224,1
167,1,26,0,13,12,12,30,30,1,1,103918592,55263488,200931200,86508544,127712576,55263488,200931200,145667712,0,0,1189085184,1
168,1,27,0,13,12,12,30,30,1,1,152673024,65167616,352242176,118565888,285796864,65167616,352242176,287074560,0,0,1755316224,1
169,1,28,0,14,12,12,30,30,1,1,132967104,84891392,175715968,95687680,117927616,84891392,175715968,90824576,0,0,1189085184,1
170,1,29,0,14,12,12,30,30,1,1,201232128,129310976,261615808,128893952,175735296,128893952,261615808,132721856,0,0,1755316224,1
171,1,30,0,15,12,12,30,30,1,1,138370176,62235904,210431744,87120896,129744256,62235904,210431744,148195840,0,0,1189085184,1
172,1,31,0,15,12,12,30,30,1,1,256392448,87662848,352345088,107117568,228125184,87662848,352345088,264682240,0,0,1755316224,1
173,1,32,0,16,12,12,30,30,1,1,95812352,60499200,170206720,101753344,124088064,60499200,170206720,109707520,0,0,1189085184,1
174,1,33,0,16,12,12,30,30,1,1,126663424,81326336,267667968,166414336,237453312,81326336,267667968,186341632,0,0,1755316224,1
175,1,34,0,17,12,12,30,30,1,1,97868032,70529408,160471552,100874240,125324288,70529408,160471552,89942144,0,0,1189085184,1
176,1,35,0,17,12,12,30,30,1,1,136264448,111555328,190831104,150261248,216445440,111555328,216445440,104890112,0,0,1755316224,1
177,1,36,0,18,12,12,30,30,1,1,114067712,103790784,165491200,105912448,117927616,103790784,165491200,61700416,0,0,1327104000,1
178,1,37,0,18,12,12,30,30,1,1,158487296,172055808,198697472,191812288,175735296,158487296,198697472,40210176,0,0,1550057472,1
179,1,38,0,19,12,12,30,30,1,1,133477120,61378816,222651840,90794624,138525632,61378816,222651840,161273024,0,0,1327104000,1
180,1,39,0,19,12,12,30,30,1,1,221915392,80068864,334420992,125986816,267406592,80068864,334420992,254352128,0,0,1550057472,1
181,1,40,0,20,12,12,30,30,1,1,107605376,76150528,163509504,91931648,117654528,76150528,163509504,87358976,0,0,1327104000,1
182,1,41,0,20,12,12,30,30,1,1,143773184,109494528,208259328,116796416,189880320,109494528,208259328,98764800,0,0,1550057472,1
183,1,42,0,21,12,12,30,30,1,1,132239360,60772608,233174016,91591680,140623360,60772608,233174016,172401408,0,0,1327104000,1
184,1,43,0,21,12,12,30,30,1,1,199425024,74546432,375187456,118818816,236758016,74546432,375187456,300641024,0,0,1550057472,1
185,1,44,0,22,12,12,30,30,1,1,97989376,67326208,168051072,103608576,131990528,67326208,168051072,100724864,0,0,1327104000,1
186,1,45,0,22,12,12,30,30,1,1,128760064,95680768,229489152,139222016,253132800,95680768,253132800,157452032,0,0,1550057472,1
187,1,46,0,23,12,12,30,30,1,1,101080576,84841088,173322752,134221824,134671360,84841088,173322752,88481664,0,0,1327104000,1
188,1,47,0,23,12,12,30,30,1,1,128930816,128930816,229639680,229639680,206383104,128930816,229639680,100708864,0,0,1550057472,1
189,1,48,0,24,12,22,30,45,0,0,219587648,159056128,268330880,107117568,140977152,107117568,268330880,161213312,0,0,1613758464,1
190,1,49,0,24,12,22,30,45,0,0,586827968,444805888,613410816,293630976,449811456,293630976,613410816,319779840,0,0,2760376320,1
191,1,50,0,25,12,22,30,45,0,0,288098048,97837824,315927808,95208448,141839360,95208448,315927808,220719360,0,0,1613758464,1
192,1,51,0,25,12,22,30,45,0,0,849400576,227995904,871864832,217150464,480629760,217150464,871864832,654714368,0,0,2760376320,1
193,1,52,0,26,12,22,30,45,0,0,176600704,205822464,173581824,210571264,143026432,143026432,210571264,67544832,0,0,1613758464,1
194,1,53,0,26,12,22,30,45,0,0,431856512,613309440,330355200,598024704,504262656,330355200,613309440,282954240,0,0,2760376320,1
195,1,54,0,27,12,22,30,45,0,0,169046784,70353152,254772864,115804672,192410880,70353152,254772864,184419712,0,0,1613758464,1
196,1,55,0,27,12,22,30,45,0,0,480084736,140120320,770361344,286553088,671348224,140120320,770361344,630241024,0,0,2760376320,1
197,1,56,0,28,12,22,30,45,0,0,172556544,199661824,178727424,198190336,136295424,136295424,199661824,63366400,0,0,1613758464,1
198,1,57,0,28,12,22,30,45,0,0,425388800,601858304,411095552,602848256,507251200,411095552,602848256,191752704,0,0,2760376320,1
199,1,58,0,29,12,22,30,45,0,0,136385280,95060224,248899072,132082176,183784384,95060224,248899072,153838848,0,0,1613758464,1
200,1,59,0,29,12,22,30,45,0,0,331842304,251023616,711664128,404189696,629825024,251023616,711664128,460640512,0,0,2760376320,1
201,1,60,0,30,12,22,30,45,0,0,105505024,165221632,188295680,134735488,149501952,105505024,188295680,82790656,0,0,1528823808,1
202,1,61,0,30,12,22,30,45,0,0,176659200,458899712,308085248,437110528,428777472,176659200,458899712,282240512,0,0,2208301056,1
203,1,62,0,31,12,22,30,45,0,0,112175872,92969216,231384576,132529152,145072512,92969216,231384576,138415360,0,0,1528823808,1
204,1,63,0,31,12,22,30,45,0,0,215180032,220049664,527350272,430351360,431155200,215180032,527350272,312170240,0,0,2208301056,1
205,1,64,0,32,12,22,30,45,0,0,130845952,132047104,173628096,200254464,145531488,130845952,200254464,69408512,0,0,1528823808,1
