state_id,sample_count,sum_value,outgoing_edge_count,current_average_num,current_average_den,expected_next_average_num_digits,expected_next_average_den_digits,expected_next_average_num_mod_1000000007,expected_next_average_den_mod_1000000007,expected_next_average_num_mod_1000000009,expected_next_average_den_mod_1000000009,drift_num_digits,drift_den_digits,drift_num_mod_1000000007,drift_den_mod_1000000007,drift_num_mod_1000000009,drift_den_mod_1000000009,drift_sign,conditional_variance_num_digits,conditional_variance_den_digits,conditional_variance_num_mod_1000000007,conditional_variance_den_mod_1000000007,conditional_variance_num_mod_1000000009,conditional_variance_den_mod_1000000009
190,13,22,2,22,13,16,16,298003121,515028505,293443199,512368565,15,17,543413519,695370523,542653229,660791291,1,25,31,642814794,105754512,55891656,37465329
191,13,23,2,23,13,16,15,93536312,10019001,90369710,8245707,15,17,985535033,130247013,985154969,107194191,1,23,30,102440540,345083837,486792420,670829487
192,13,24,2,24,13,15,15,522486015,501669837,521937139,501374289,14,16,752242149,521707839,752199925,517865703,1,22,29,23469521,593898208,42428188,407869946
193,13,25,2,25,13,15,14,817359772,334446558,816979782,334249526,13,16,264513072,347805226,264498998,345243802,1,20,28,164593688,843766473,376129188,156429995
194,13,26,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
195,14,0,3,0,1,13,14,124181249,14971000,124172805,14858410,13,14,124181249,14971000,124172805,14858410,1,26,28,359447363,518293256,722680059,37223447
196,14,1,3,1,14,14,15,115519109,89826000,115375557,89150460,15,16,881860385,314391000,881526839,312026610,1,26,29,766652648,73173010,138497582,148893788
197,14,2,2,1,7,15,16,649938655,269478000,649310967,267451380,16,16,280092557,886345993,277725353,872159651,1,28,31,105766015,975671263,936833852,20132240
198,14,3,3,3,14,16,16,70144102,616867993,65367472,604708271,16,17,65706728,318075923,50509902,232957861,1,29,32,83181282,124165223,973351886,724760640
199,14,4,2,2,7,14,15,406655427,957222728,406475603,956846656,15,16,932142533,700559054,931635909,697926538,1,25,28,62802645,517166918,829639956,171676542
200,14,5,2,5,14,17,17,331657384,551811902,271311954,442374394,17,18,942071933,862683293,793247693,96620731,1,31,34,545693519,57382993,2978945,705611318
201,14,6,2,3,7,17,17,590990173,731087144,550117185,665424640,17,18,943669772,117609973,854546366,657972444,1,31,34,896061473,903289393,170576075,670100367
202,14,7,2,1,2,18,18,695172316,966307090,13532670,981369519,17,18,212018771,966307090,22847915,981369519,1,33,36,806060734,648022405,722936459,154516245
203,14,8,2,4,7,19,19,477243632,898921256,229572584,944108539,19,20,745020407,292448750,830573959,608759719,1,32,35,97196684,833288070,726035320,255625850
204,14,9,2,9,14,19,19,408445696,696763754,62940793,832325599,19,20,723682986,877346250,195120387,826279148,1,35,38,23885610,489814441,674177660,515815737
205,14,10,2,5,7,20,20,758550949,90291248,926090185,496976779,20,20,858400375,632038736,997747373,478837426,1,35,38,110479291,481665991,752601164,528468323
206,14,11,2,11,14,20,20,81433310,270873744,219271249,490930328,20,21,80227585,896116201,834781957,436512269,1,37,40,634662981,674969448,231550105,781074328
207,14,12,2,6,7,19,19,392514633,338274448,849888776,870853523,19,19,717955743,367921122,724100294,95974607,1,33,36,850510043,873739505,549177158,139207774
208,14,13,1,13,14,2,2,16,15,16,15,2,3,29,210,29,210,1,1,1,0,1,0,1
209,14,14,2,1,1,21,21,147777562,828397765,503344804,313779687,20,21,319379804,828397765,189565117,313779687,1,37,41,390225575,450659055,498492856,17539750
210,14,15,2,15,14,21,20,200389400,609465924,857935746,104593229,21,22,663462789,532522880,442201919,464305197,1,37,40,917062973,383406564,846267951,890837758
211,14,16,2,8,7,18,18,627259309,84568612,882002648,467713383,18,19,714266246,591980284,432311454,273993654,1,31,35,26475275,617108723,756414813,133700487
212,14,17,2,17,14,20,19,6375294,67718436,681733914,122732582,19,21,938040718,948058104,457820839,718256139,1,34,38,344319946,708437123,74529832,109763430
213,14,18,2,9,7,18,18,502071241,804514568,727658849,474848843,18,19,273867603,631601941,819972356,323941874,1,32,36,15064025,593520829,915118372,669105860
214,14,19,2,19,14,17,17,15155384,151280320,983160483,128433830,16,18,337849317,117924466,324003893,798073611,1,27,32,962990586,11820451,520840879,708002339
215,14,20,2,10,7,18,18,120215365,224730314,36664952,486027137,17,19,594204429,573112191,396383339,402189932,1,30,35,475843531,135402521,380347289,954883086
216,14,21,2,3,2,18,18,983078071,741576776,605503791,495342382,16,18,741425821,483153545,724980445,990684764,1,29,34,819975274,570600284,810736465,439431457
217,14,22,2,11,7,15,15,614092574,153751124,612738690,152904958,14,16,607385640,76257861,607216274,70334697,1,23,29,414476853,993157511,753513692,994112495
218,14,23,2,23,14,16,16,307430392,727590600,298310554,722118726,15,17,569441779,186268330,567617175,109662074,1,25,31,874969093,502643461,860648648,746764035
219,14,24,2,12,7,16,16,356430968,212650993,340623300,203531201,15,17,943204867,488556944,941988697,424718398,1,24,31,420473812,501468591,638177471,81535572
220,14,25,2,25,14,14,14,561334972,746435232,561278562,746403894,13,15,197808885,450093178,197802617,449654426,1,19,26,486810571,934146999,69271508,792858872
221,14,26,2,13,7,15,15,446779960,134739000,444888448,133725690,14,16,375852713,943173000,375785157,936079830,1,22,29,654315444,598783567,453343962,1006612
222,14,27,2,27,14,15,14,34861120,14971000,34643446,14858410,13,15,83838680,209594000,83831174,208017740,1,20,28,589356815,503658654,940750116,407444693
223,14,28,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
224,15,0,3,0,1,15,16,934640741,315501872,933627433,301090352,15,16,934640741,315501872,933627433,301090352,1,28,31,473848292,408669651,638139475,453224086
225,15,1,3,1,15,16,17,696330255,631003744,690588167,602180704,17,18,813950018,465056097,756641720,32710479,1,30,33,827859193,154857482,959718578,6341243
226,15,2,2,2,15,17,17,670064797,893011225,644957229,806542103,17,18,88316483,465056097,20424719,32710479,1,31,34,704589178,393717331,188624768,57071187
227,15,3,3,1,5,17,18,55093410,358067315,864028209,839252582,18,19,917399742,790336568,480888436,196262874,1,32,35,202983828,173823818,775612853,54562714
228,15,4,2,4,15,18,18,990986452,74201938,293266246,517757728,18,19,522662979,371009690,109320920,588788622,1,33,36,880313963,564414355,181331687,491064426
229,15,5,2,1,3,19,19,925685200,222605814,511868264,553273175,18,19,851483262,222605814,994110545,553273175,1,34,37,863807251,79729160,859404920,419579798
230,15,6,2,2,5,19,19,71420161,667817442,896823418,659819516,19,20,21465928,339087189,164478031,299097553,1,35,38,258371690,717562440,150630487,776218155
231,15,7,2,7,15,20,20,969728238,3452312,704146219,979458539,20,21,173919096,17261560,901994501,897292659,1,36,39,582850832,458061918,57463269,985963341
232,15,8,2,8,15,20,20,920335969,10356936,13506762,938375599,20,21,574061321,51784680,231865570,691877959,1,37,40,202158188,122557234,551387792,873669997
233,15,9,2,3,5,21,21,283957736,31070808,463805012,815126779,21,21,326576249,155354040,873644732,75633859,1,38,41,204295813,103015099,461740250,863029910
234,15,10,2,2,3,21,21,399714823,93212424,101429892,445380319,20,21,337573207,93212424,471176352,445380319,1,39,42,731365985,927135891,326922944,767269127
235,15,11,2,11,15,22,22,800653479,279637272,314655681,336140948,22,22,977930717,398186353,674094932,680704731,1,40,43,272399403,344222963,672909860,905422089
236,15,12,2,4,5,22,22,122455776,838911816,735707860,8422835,22,23,256631637,194559052,644847933,42114175,1,41,44,927762220,98006646,251965049,148798729
237,15,13,2,13,15,23,23,360790026,516735434,103631626,25268505,23,23,898096592,583677156,408661275,126342525,1,42,45,549001990,882059814,690967813,339188552
238,15,14,1,14,15,2,2,17,16,17,16,2,3,31,240,31,240,1,1,1,0,1,0,1
239,15,15,2,1,1,23,23,823303030,662654723,9455472,806854143,22,23,160648307,662654723,202601338,806854143,1,41,45,633827655,980053479,82989627,152142755
240,15,16,2,16,15,22,22,209853343,943775793,184421530,634475695,22,23,15795847,718878937,871570640,172378448,1,41,44,755280778,108894831,42157290,461349199
241,15,17,2,17,15,22,22,167013766,629183862,586223566,756317133,22,23,269693633,145919289,645320761,781585638,1,39,43,379669713,678766097,410367799,940149919
242,15,18,2,6,5,21,21,598844428,552431992,966181938,313026430,20,22,679630195,762159946,952751092,565132141,1,38,42,734392560,297640679,583791235,993349999
243,15,19,2,19,15,21,21,119695037,69909318,284044351,84035237,20,22,155716171,349546590,554665251,420176185,1,37,41,378081107,588626746,683181608,999261119
244,15,20,2,4,3,20,20,392044052,11651553,317156693,180672541,19,20,376508648,11651553,409593308,180672541,1,35,40,988014793,843180755,931295537,888806798
245,15,21,2,7,5,20,20,214064846,7767702,278388468,453781697,19,21,15950309,38838510,215470479,268908467,1,34,39,168197263,649242310,557535535,209867423
246,15,22,2,22,15,19,18,337104306,125161828,382180385,155287120,18,19,434334789,625809140,105463039,776435600,1,33,38,884990159,516582482,535972967,467763051
247,15,23,2,23,15,19,19,739254244,863078,323408098,494864637,18,20,356320932,4315390,823078300,474323167,1,31,37,954783713,612953613,26663441,718640345
248,15,24,2,8,5,19,18,783612453,333477182,938223928,582477444,18,19,250244802,667385903,31300088,912387202,1,30,36,228085984,68105957,505399357,857626712
249,15,25,2,5,3,18,18,644110123,555651457,674231945,388318296,17,18,51357697,555651457,27034785,388318296,1,28,35,540889409,563122888,256403309,206402969
250,15,26,2,26,15,17,17,286501330,129637622,116265136,32359858,16,18,975647264,648188110,967540250,161799290,1,27,34,888239371,840346993,339692554,800711448
251,15,27,2,9,5,18,17,25999806,839516834,790911833,709813150,16,18,574347580,197584142,566240842,549065723,1,26,33,576286394,204483000,872572240,422301275
252,15,28,2,28,15,17,17,354736285,473252808,314203881,451635528,15,17,452218415,788754680,451918171,752725880,1,24,32,779946214,356053669,92856944,158033476
253,15,29,2,29,15,17,16,878082565,315501872,850160245,301090352,15,18,21684159,732528052,20783431,516355244,1,23,31,783109325,817339302,48167763,906448172
254,15,30,1,2,1,1,1,2,1,2,1,1,1,0,1,0,1,0,1,1,0,1,0,1
