subform_id,a_restricted_index,b_restricted_index,c_restricted_index,a_source_atom,b_source_atom,c_source_atom,rank,inertia_positive,inertia_negative,inertia_zero,det_sign,det_abs_digit_count,det_abs_mod_1000000007,det_abs_mod_1000000009,nondegenerate_flag,definite_spatial_flag,max_abs_det_flag
478,4,7,11,5,9,13,0,0,0,3,0,1,0,0,0,0,0
479,4,7,12,5,9,14,2,1,1,1,0,1,0,0,0,0,0
480,4,7,13,5,9,15,2,1,1,1,0,1,0,0,0,0,0
481,4,7,14,5,9,16,0,0,0,3,0,1,0,0,0,0,0
482,4,7,15,5,9,17,0,0,0,3,0,1,0,0,0,0,0
483,4,7,16,5,9,18,0,0,0,3,0,1,0,0,0,0,0
484,4,7,17,5,9,19,2,1,1,1,0,1,0,0,0,0,0
485,4,8,9,5,10,11,2,1,1,1,0,1,0,0,0,0,0
486,4,8,10,5,10,12,2,1,1,1,0,1,0,0,0,0,0
487,4,8,11,5,10,13,0,0,0,3,0,1,0,0,0,0,0
488,4,8,12,5,10,14,2,1,1,1,0,1,0,0,0,0,0
489,4,8,13,5,10,15,0,0,0,3,0,1,0,0,0,0,0
490,4,8,14,5,10,16,0,0,0,3,0,1,0,0,0,0,0
491,4,8,15,5,10,17,0,0,0,3,0,1,0,0,0,0,0
492,4,8,16,5,10,18,0,0,0,3,0,1,0,0,0,0,0
493,4,8,17,5,10,19,0,0,0,3,0,1,0,0,0,0,0
494,4,9,10,5,11,12,2,1,1,1,0,1,0,0,0,0,0
495,4,9,11,5,11,13,0,0,0,3,0,1,0,0,0,0,0
496,4,9,12,5,11,14,2,1,1,1,0,1,0,0,0,0,0
497,4,9,13,5,11,15,0,0,0,3,0,1,0,0,0,0,0
498,4,9,14,5,11,16,0,0,0,3,0,1,0,0,0,0,0
499,4,9,15,5,11,17,0,0,0,3,0,1,0,0,0,0,0
500,4,9,16,5,11,18,0,0,0,3,0,1,0,0,0,0,0
501,4,9,17,5,11,19,0,0,0,3,0,1,0,0,0,0,0
502,4,10,11,5,12,13,2,1,1,1,0,1,0,0,0,0,0
503,4,10,12,5,12,14,2,1,1,1,0,1,0,0,0,0,0
504,4,10,13,5,12,15,2,1,1,1,0,1,0,0,0,0,0
505,4,10,14,5,12,16,2,1,1,1,0,1,0,0,0,0,0
506,4,10,15,5,12,17,2,1,1,1,0,1,0,0,0,0,0
507,4,10,16,5,12,18,2,1,1,1,0,1,0,0,0,0,0
508,4,10,17,5,12,19,2,1,1,1,0,1,0,0,0,0,0
509,4,11,12,5,13,14,2,1,1,1,0,1,0,0,0,0,0
510,4,11,13,5,13,15,0,0,0,3,0,1,0,0,0,0,0
511,4,11,14,5,13,16,2,1,1,1,0,1,0,0,0,0,0
512,4,11,15,5,13,17,0,0,0,3,0,1,0,0,0,0,0
513,4,11,16,5,13,18,2,1,1,1,0,1,0,0,0,0,0
514,4,11,17,5,13,19,0,0,0,3,0,1,0,0,0,0,0
515,4,12,13,5,14,15,2,1,1,1,0,1,0,0,0,0,0
516,4,12,14,5,14,16,2,1,1,1,0,1,0,0,0,0,0
517,4,12,15,5,14,17,2,1,1,1,0,1,0,0,0,0,0
518,4,12,16,5,14,18,2,1,1,1,0,1,0,0,0,0,0
519,4,12,17,5,14,19,2,1,1,1,0,1,0,0,0,0,0
520,4,13,14,5,15,16,0,0,0,3,0,1,0,0,0,0,0
521,4,13,15,5,15,17,0,0,0,3,0,1,0,0,0,0,0
522,4,13,16,5,15,18,2,1,1,1,0,1,0,0,0,0,0
523,4,13,17,5,15,19,0,0,0,3,0,1,0,0,0,0,0
524,4,14,15,5,16,17,0,0,0,3,0,1,0,0,0,0,0
525,4,14,16,5,16,18,0,0,0,3,0,1,0,0,0,0,0
526,4,14,17,5,16,19,0,0,0,3,0,1,0,0,0,0,0
527,4,15,16,5,17,18,0,0,0,3,0,1,0,0,0,0,0
528,4,15,17,5,17,19,0,0,0,3,0,1,0,0,0,0,0
529,4,16,17,5,18,19,0,0,0,3,0,1,0,0,0,0,0
530,5,6,7,7,8,9,2,1,1,1,0,1,0,0,0,0,0
531,5,6,8,7,8,10,0,0,0,3,0,1,0,0,0,0,0
532,5,6,9,7,8,11,0,0,0,3,0,1,0,0,0,0,0
533,5,6,10,7,8,12,2,1,1,1,0,1,0,0,0,0,0
534,5,6,11,7,8,13,0,0,0,3,0,1,0,0,0,0,0
535,5,6,12,7,8,14,2,1,1,1,0,1,0,0,0,0,0
536,5,6,13,7,8,15,2,1,1,1,0,1,0,0,0,0,0
537,5,6,14,7,8,16,0,0,0,3,0,1,0,0,0,0,0
538,5,6,15,7,8,17,2,1,1,1,0,1,0,0,0,0,0
539,5,6,16,7,8,18,0,0,0,3,0,1,0,0,0,0,0
540,5,6,17,7,8,19,2,1,1,1,0,1,0,0,0,0,0
541,5,7,8,7,9,10,2,1,1,1,0,1,0,0,0,0,0
542,5,7,9,7,9,11,2,1,1,1,0,1,0,0,0,0,0
543,5,7,10,7,9,12,2,1,1,1,0,1,0,0,0,0,0
544,5,7,11,7,9,13,2,1,1,1,0,1,0,0,0,0,0
545,5,7,12,7,9,14,2,1,1,1,0,1,0,0,0,0,0
546,5,7,13,7,9,15,3,1,2,0,1,29,505172060,789784697,1,0,0
547,5,7,14,7,9,16,2,1,1,1,0,1,0,0,0,0,0
548,5,7,15,7,9,17,2,1,1,1,0,1,0,0,0,0,0
549,5,7,16,7,9,18,2,1,1,1,0,1,0,0,0,0,0
550,5,7,17,7,9,19,2,1,1,1,0,1,0,0,0,0,0
551,5,8,9,7,10,11,2,1,1,1,0,1,0,0,0,0,0
552,5,8,10,7,10,12,2,1,1,1,0,1,0,0,0,0,0
553,5,8,11,7,10,13,0,0,0,3,0,1,0,0,0,0,0
554,5,8,12,7,10,14,2,1,1,1,0,1,0,0,0,0,0
555,5,8,13,7,10,15,2,1,1,1,0,1,0,0,0,0,0
556,5,8,14,7,10,16,0,0,0,3,0,1,0,0,0,0,0
557,5,8,15,7,10,17,2,1,1,1,0,1,0,0,0,0,0
558,5,8,16,7,10,18,0,0,0,3,0,1,0,0,0,0,0
559,5,8,17,7,10,19,0,0,0,3,0,1,0,0,0,0,0
560,5,9,10,7,11,12,2,1,1,1,0,1,0,0,0,0,0
561,5,9,11,7,11,13,0,0,0,3,0,1,0,0,0,0,0
562,5,9,12,7,11,14,2,1,1,1,0,1,0,0,0,0,0
563,5,9,13,7,11,15,2,1,1,1,0,1,0,0,0,0,0
564,5,9,14,7,11,16,0,0,0,3,0,1,0,0,0,0,0
565,5,9,15,7,11,17,2,1,1,1,0,1,0,0,0,0,0
