shell,start_index,iterations,final_psi,final_ratio,final_cv_x,final_logx_std,monotone_psi,initial_psi,initial_cv_x,converged_equal
16,72,18,8.881784197001252e-16,1.0000000000000009,2.954303433759189e-14,2.9551630648644294e-14,True,-9.945409582590866,0.9761593043064497,True
16,73,18,2.6645352591003757e-15,1.0000000000000027,3.137739691187365e-14,3.139262275839404e-14,True,-11.219487588947903,1.0922650864991108,True
16,74,18,0.0,1.0,2.497938069568013e-14,2.4993684793128045e-14,True,-12.471778329138889,1.1925941291053432,True
16,75,18,2.6645352591003757e-15,1.0000000000000027,2.9581628076734434e-14,2.95959130484395e-14,True,-8.829003479540738,0.8735094076761888,True
16,76,18,8.881784197001252e-16,1.0000000000000009,2.9846429683473064e-14,2.9852680715074186e-14,True,-7.978730086229174,0.8164916708149788,True
16,77,18,-8.881784197001252e-16,0.9999999999999991,2.7507647215635588e-14,2.750982447840564e-14,True,-12.111760108230243,1.1577123256613027,True
16,78,18,8.881784197001252e-16,1.0000000000000009,2.1305810926635096e-14,2.1307222918599464e-14,True,-12.530126290451424,1.145966305983332,True
16,79,18,2.6645352591003757e-15,1.0000000000000027,2.6044039301929415e-14,2.605028960235607e-14,True,-9.119714148772234,0.9004688862874474,True
16,80,18,1.7763568394002505e-15,1.0000000000000018,2.216532533768166e-14,2.217576263155193e-14,True,-14.070927407319687,1.3147942739916731,True
16,81,18,0.0,1.0,2.2168823804691598e-14,2.2177081240857326e-14,True,-13.6792008824141,1.2663299033489264,True
16,82,18,1.7763568394002505e-15,1.0000000000000018,2.599135406403971e-14,2.598756970337075e-14,True,-11.924930598830993,1.1212324883564002,True
16,83,18,8.881784197001252e-16,1.0000000000000009,3.568063180457999e-14,3.568576816169858e-14,True,-8.140170726561227,0.8537008129494952,True
16,84,18,-8.881784197001252e-16,0.9999999999999991,2.968036306435539e-14,2.9692385918220195e-14,True,-8.600581105607937,0.8815794656975791,True
16,85,18,-2.6645352591003757e-15,0.9999999999999973,2.1165102102740248e-14,2.1172361796440007e-14,True,-13.602503229858211,1.2203386899234054,True
16,86,18,1.7763568394002505e-15,1.0000000000000018,4.268880918307872e-14,4.2697001384470005e-14,True,-6.071043684257605,0.697811367615068,True
16,87,18,1.7763568394002505e-15,1.0000000000000018,1.885033426499599e-14,1.8865714580994158e-14,True,-14.060654269092044,1.2560485007365734,True
16,88,18,8.881784197001252e-16,1.0000000000000009,2.2011273958446525e-14,2.2024610238587908e-14,True,-11.013651154933338,1.046431375164278,True
16,89,18,-2.6645352591003757e-15,0.9999999999999973,2.2258737259305154e-14,2.226416025355914e-14,True,-10.309536023540518,0.9608047410568288,True
16,90,18,1.7763568394002505e-15,1.0000000000000018,3.50066291979164e-14,3.501141038609252e-14,True,-7.889541345262792,0.8310058371924557,True
16,91,18,-8.881784197001252e-16,0.9999999999999991,4.222392752631885e-14,4.222300817530719e-14,True,-34.03570798634375,2.1107171962116613,True
16,92,19,8.881784197001252e-16,1.0000000000000009,1.5409569630307723e-14,1.5422410941212647e-14,True,-25.503072613907065,1.791521064259531,True
16,93,18,8.881784197001252e-16,1.0000000000000009,3.3400757244657205e-14,3.3410747486963797e-14,True,-33.603679089095024,2.2221561600934523,True
16,94,19,0.0,1.0,2.4655440973572863e-14,2.4669915441307184e-14,True,-21.649393937420477,1.548027137605791,True
16,95,20,8.881784197001252e-16,1.0000000000000009,8.899807035259091e-15,8.921967493158224e-15,True,-34.03056111638469,2.2155050623374986,True
16,96,19,1.7763568394002505e-15,1.0000000000000018,1.6105697419665067e-14,1.6115368425482204e-14,True,-20.579313262494225,1.4071880865536683,True
16,97,19,3.552713678800501e-15,1.0000000000000036,1.1993535043890555e-14,1.1995953992418771e-14,True,-50.660043538643876,3.330209977430886,True
16,98,19,1.7763568394002505e-15,1.0000000000000018,1.3081251176759243e-14,1.3084738181583714e-14,True,-25.73597441483491,1.729864665374992,True
16,99,19,1.7763568394002505e-15,1.0000000000000018,1.1851403280971745e-14,1.1861975029872999e-14,True,-26.363179621703235,1.8087403751527962,True
16,100,18,2.6645352591003757e-15,1.0000000000000027,4.1637366201817094e-14,4.1648186309788116e-14,True,-28.007366621557313,1.6699742345251525,True
16,101,19,-8.881784197001252e-16,0.9999999999999991,8.387512683065044e-15,8.398814747184162e-15,True,-34.86282466926804,2.174312453294077,True
16,102,19,3.552713678800501e-15,1.0000000000000036,1.3430620664313002e-14,1.3428804161332694e-14,True,-30.36467787087891,2.11675654986552,True
16,103,19,0.0,1.0,1.520238864419356e-14,1.52117999091921e-14,True,-23.734112697602928,1.4227714301895076,True
16,104,19,0.0,1.0,1.0021748802737953e-14,1.0033605394654982e-14,True,-30.102521741992444,1.7995010024870097,True
16,105,19,1.7763568394002505e-15,1.0000000000000018,1.488302862936661e-14,1.4886665887426997e-14,True,-49.3521761972257,3.2256584273549747,True
16,106,19,0.0,1.0,2.1941269689665478e-14,2.194514322147595e-14,True,-32.71698898639724,2.037085507840099,True
16,107,19,1.7763568394002505e-15,1.0000000000000018,9.127097951915835e-15,9.13599364679559e-15,True,-41.199366291715705,2.771105546759292,True
16,108,19,2.6645352591003757e-15,1.0000000000000027,1.2582146647770152e-14,1.2592499808828213e-14,True,-39.205120475940475,2.6719958617635475,True
16,109,19,-8.881784197001252e-16,0.9999999999999991,1.1479025139114675e-14,1.1495298340847083e-14,True,-39.387067198804445,2.934041297398627,True
16,110,20,3.552713678800501e-15,1.0000000000000036,2.860313180451129e-14,2.860903394722357e-14,True,-25.90244983233005,1.7349482538068821,True
16,111,19,1.7763568394002505e-15,1.0000000000000018,9.14345784434068e-15,9.144141211543886e-15,True,-23.73462799543212,1.54291146488852,True
16,112,19,0.0,1.0,7.503799133467243e-15,7.519990853506295e-15,True,-48.113623721000494,3.37528271923859,True
16,113,19,0.0,1.0,4.1088521440672715e-14,4.110144370940805e-14,True,-30.444172792745075,2.2769781224306502,True
16,114,19,8.881784197001252e-16,1.0000000000000009,2.3216771688316416e-14,2.321168038888767e-14,True,-16.227727483416334,1.133296368166295,True
16,115,18,3.552713678800501e-15,1.0000000000000036,2.980338859658921e-14,2.98244834445707e-14,True,-43.38759726858464,2.9759450845562667,True
16,116,19,8.881784197001252e-16,1.0000000000000009,2.0152637740091823e-14,2.015400735648786e-14,True,-26.792565350166942,2.078357412617379,True
