poincare_point_id,automaton_state_id,repaired_recurrent_class_id,spectral_side_code,poincare_x_x1e12,poincare_y_x1e12,poincare_radius_x1e12,fiedler_value_x1e12,third_mode_value_x1e12,left_boundary_flag,right_boundary_flag,gate_word_flag
175,181,0,1,42122762000,9202360000,43116244000,11154058000,2436774000,0,0,0
176,183,0,1,51386284000,11014415000,52553473000,13607028000,2916604000,0,0,0
177,184,0,1,83577493000,13797011000,84708647000,22131223000,3653432000,0,0,0
178,185,0,1,84012326000,13967073000,85165428000,22246366000,3698465000,0,0,0
179,186,0,1,41666547000,5921786000,42085255000,11033253000,1568082000,0,0,0
180,187,0,1,45760537000,-6155943000,46172745000,12117337000,-1630087000,0,0,0
181,188,0,1,70948161000,27941551000,76252028000,18786990000,7398890000,0,0,0
182,189,0,1,62514343000,-367828000,62515425000,16553725000,-97400000,0,0,0
183,190,0,1,43911814000,23148686000,49639793000,11627797000,6129745000,0,0,0
184,191,0,1,85611677000,-10268563000,86225301000,22669872000,-2719104000,0,0,0
185,192,0,1,79589709000,-10517586000,80281638000,21075262000,-2785044000,0,0,0
186,193,0,1,72683732000,-9756217000,73335589000,19246568000,-2583435000,0,0,0
187,194,0,1,64832592000,-8337570000,65366505000,17167595000,-2207779000,0,0,0
188,195,0,1,45767527000,-6303822000,46199618000,12119188000,-1669245000,0,0,0
189,196,0,1,72417504000,-9053977000,72981295000,19176071000,-2397483000,0,0,0
190,197,0,1,146055046000,-11587357000,146513970000,38675206000,-3068319000,0,0,0
191,198,0,1,69952573000,-2282453000,69989800000,18523360000,-604391000,0,0,0
192,199,0,1,71985286000,-7857543000,72412860000,19061620000,-2080668000,0,0,0
193,200,0,1,72684103000,-9755891000,73335913000,19246666000,-2583348000,0,0,0
194,201,0,1,79522809000,-10365187000,80195476000,21057547000,-2744689000,0,0,0
195,202,0,1,64526063000,-7324852000,64940482000,17086426000,-1939612000,0,0,0
196,203,0,1,71186539000,-4988194000,71361092000,18850113000,-1320868000,0,0,0
197,204,0,1,71581566000,47082909000,85678007000,18954715000,12467499000,0,0,0
198,205,0,1,81845978000,48050846000,94908629000,21672720000,12723808000,0,0,0
199,206,0,1,53767203000,-897168000,53774688000,14237493000,-237569000,0,0,0
200,207,0,1,50047538000,28796534000,57740769000,13252530000,7625289000,0,0,0
201,208,0,1,50047538000,28796534000,57740769000,13252530000,7625289000,0,0,0
202,209,0,1,103094485000,6102850000,103274962000,27299300000,1616028000,0,0,0
203,210,0,1,72359054000,8932231000,72908281000,19160593000,2365244000,0,0,0
204,211,0,1,95170830000,26992977000,98924757000,25201125000,7147709000,0,0,0
205,212,0,1,79631379000,25194280000,83521903000,21086296000,6671416000,0,0,0
206,213,0,1,111911627000,21454125000,113949514000,29634069000,5681027000,0,0,0
207,214,0,1,75840046000,17834110000,77908717000,20082356000,4722452000,0,0,0
208,215,0,1,71522208000,15847120000,73256791000,18938997000,4196299000,0,0,0
209,216,0,1,87247875000,19908937000,89490544000,23103136000,5271863000,0,0,0
210,217,0,1,77583657000,16792277000,79380126000,20544062000,4446575000,0,0,0
211,218,0,1,58355066000,14822952000,60208252000,15452354000,3925101000,0,0,0
212,219,0,1,86650176000,32637848000,92593100000,22944866000,8642464000,0,0,0
213,220,0,1,76542954000,30134641000,82261293000,20268485000,7979618000,0,0,0
214,221,0,1,99985971000,27347966000,103658601000,26476169000,7241709000,0,0,0
215,222,0,1,106293939000,34001406000,111599718000,28146511000,9003533000,0,0,0
216,223,0,1,45760781000,19777741000,49851862000,12117402000,5237123000,0,0,0
