mask,basis_cycle_ids,basis_active_count,lambda_support,lambda_coefficient_sum,lambda_abs_sum,lambda_vector_sha256
1964,2 3 5 7 8 9 10,7,297,840608,840608,c0212d4be70814a6e42c4f2c80a0873c8df8c1c5ecbb44160709c36b3fc7c986
1965,0 2 3 5 7 8 9 10,8,297,1033344,1033344,376143f60c4205527240c6c2666f204f5daf765044d417a6d7f4def3d1db65fe
1966,1 2 3 5 7 8 9 10,8,297,1067744,1067744,be7a89b0f9a57821ac22bf086f3414f3b3c52be1ca475cdd3a16dba30a1027aa
1967,0 1 2 3 5 7 8 9 10,9,297,1260480,1260480,c3447d32e5b04599b51cdd56c4b288cd7a35063671b44ab4d91e478f6dfb3c48
1968,4 5 7 8 9 10,6,297,668064,668064,6b54863d7b3dfc705a9ea4aaa489fd2290afabb127f0ff0fe8c7419b51f5aa49
1969,0 4 5 7 8 9 10,7,297,860800,860800,5f871c170464652d5cb4ca2f0450484bf31ce4babb5d8debb1101ab0a4636586
1970,1 4 5 7 8 9 10,7,297,895200,895200,89ef633dd90b412525b8edbc88af3bc06585fb352e04555c90f0984f1dfdf5cf
1971,0 1 4 5 7 8 9 10,8,297,1087936,1087936,e21d2167d97cd12cc8e8a9da2b4f141449e26539459940e52e959dbf52eb6fc4
1972,2 4 5 7 8 9 10,7,297,770016,770016,4174ed5e074312eba65175d4c823cc92c873750823e241522c622023fba53113
1973,0 2 4 5 7 8 9 10,8,297,962752,962752,18983c981e4df7df05f068d69fd7a502ef1fd44f2511d7a3e3eac0303055a5b7
1974,1 2 4 5 7 8 9 10,8,297,997152,997152,61492ec77221fd1feb0981ffe8b91df6ea83bab40fcfdb6167c7139567c6e4f7
1975,0 1 2 4 5 7 8 9 10,9,297,1189888,1189888,1f4632e6a7afbe40c9ce27ac7a4b35751997aadc8c9c1fc9792634061d9cc87a
1976,3 4 5 7 8 9 10,7,297,919488,919488,e0c06b4ae6b4d530b933c926093876b6451ef6dc133582444f548cd012f9100e
1977,0 3 4 5 7 8 9 10,8,297,1112224,1112224,47d3cb2fffe07ce1299f1db5c368a0eaa7de05971847c00a1ac2029c789f69b8
1978,1 3 4 5 7 8 9 10,8,297,1146624,1146624,7ca22d44d5238e7711c3b21f11e9d8edf208ca44346dac5405b8cd1c0793dd68
1979,0 1 3 4 5 7 8 9 10,9,297,1339360,1339360,d2760de8b82ad3355976be99b489ab98d9e0d6a8a79a36a4dd84a3bafb4d924c
1980,2 3 4 5 7 8 9 10,8,297,1021440,1021440,3b6a8262b40f1d814a4929b1384051d50901ae7626df51101709adc1fb760f8d
1981,0 2 3 4 5 7 8 9 10,9,297,1214176,1214176,9e9f101c573534e4bd0834790c5cf017289f5afd565e8c35daf41f83666aac5b
1982,1 2 3 4 5 7 8 9 10,9,297,1248576,1248576,67be4d5456c2509fc66c1dbb99730cbe14180cecfa49a63d69cdbb74bc248c9a
1983,0 1 2 3 4 5 7 8 9 10,10,297,1441312,1441312,733f50362fbdf5ec4d74f5f55e4539c5330d9378f8e7159bc1b8d20840223c4e
1984,6 7 8 9 10,5,297,505952,505952,a34d33772a7bf368c9cdf74ebfe4c808a2012a8da9e282ce1f4a03b2b338f5cd
1985,0 6 7 8 9 10,6,297,698688,698688,b27e4b44f33868d10cac80ebab392a24e9dd1fe044cd623c7b2590ce2f901ccc
1986,1 6 7 8 9 10,6,297,733088,733088,ebaa8c6388a672e9b85de5702bafca239fb03b7fa4cc68dfd81d3a4092469ded
1987,0 1 6 7 8 9 10,7,297,925824,925824,ca709bc21a89ea53def4c04b8bebfcb14b6dc9cae0e9afd77f59e18fd7e28ed0
1988,2 6 7 8 9 10,6,297,607904,607904,06538f794ac9ac0ceac24b1c42bb44434d264d535c01528d3932b872346fb985
1989,0 2 6 7 8 9 10,7,297,800640,800640,00a7847d5d3c182dbf34edc052f2defda9ef5062e0b1c861c71982793f20b9f6
1990,1 2 6 7 8 9 10,7,297,835040,835040,6984b99097295216b461d5229dbd332d5e39e3c2e1f99a9731c40072c4c4f2cf
1991,0 1 2 6 7 8 9 10,8,297,1027776,1027776,f05236781da2c3139d18c196b803b547640b5d534fd35f45265d0519b71f423a
1992,3 6 7 8 9 10,6,297,757376,757376,c50a6287c82cea9b0e55db8ed4856dd18b58ecb7d228ef487eaf2adf5daa7778
1993,0 3 6 7 8 9 10,7,297,950112,950112,cefcfba4598de820bf87ad6f1e36eafbc1e4347aa693fb0fb561c40cad1e55d9
1994,1 3 6 7 8 9 10,7,297,984512,984512,e0fbc6782519e38912e2d8366cedc9ec369cb6583e234ae41a600eb37daa474a
1995,0 1 3 6 7 8 9 10,8,297,1177248,1177248,fe14a426dbb2b5bef34b2f097a31877036c37a101cb0f24f83e0d592b440e690
1996,2 3 6 7 8 9 10,7,297,859328,859328,cc85e5e0ecdb0acddc60f1117bd73744f2be1014435add7aeff5282bd3025d7e
1997,0 2 3 6 7 8 9 10,8,297,1052064,1052064,8169f8eee1eb7cd63c565de5eaa19abd7e4b8637b612f841cfa3f58d425399dc
1998,1 2 3 6 7 8 9 10,8,297,1086464,1086464,c6993994031a8fb1b3c90ea412e4094e584611d3a09351982a79809582b6d867
