support_row_id,face_id,vertex_id,face_type_code,face_size,slack_x1e12,positive_flag
483,11,18,5,5,3023045256305,1
484,11,19,5,5,3023045256305,1
485,11,20,5,5,1630463324743,1
486,11,21,5,5,2253244897384,1
487,11,22,5,5,1630463324743,1
488,11,23,5,5,2253244897384,1
489,11,24,5,5,1245563145282,1
490,11,25,5,5,1392581931560,1
491,11,26,5,5,1777482111021,1
492,11,27,5,5,769800358919,1
493,11,28,5,5,1392581931561,1
494,11,29,5,5,769800358919,1
495,11,30,5,5,3023045256305,1
496,11,31,5,5,2638145076845,1
497,11,32,5,5,2400263683662,1
498,11,33,5,5,2638145076845,1
499,11,34,5,5,3023045256305,1
500,11,35,5,5,384900179459,1
501,11,37,5,5,622781572641,1
502,11,38,5,5,384900179459,1
503,11,40,5,5,2253244897386,1
504,11,41,5,5,2638145076846,1
505,11,42,5,5,3023045256305,1
506,11,43,5,5,3023045256305,1
507,11,44,5,5,2638145076846,1
508,11,45,5,5,2400263683664,1
509,11,47,5,5,1392581931562,1
510,12,0,4,4,1538804433558,1
511,12,1,4,4,881656487370,1
512,12,2,4,4,1651058704149,1
513,12,3,4,4,1063287712569,1
514,12,4,4,4,587770991581,1
515,12,5,4,4,1902066883955,1
516,12,6,4,4,1608181388165,1
517,12,7,4,4,2377583604945,1
518,12,8,4,4,2377583604943,1
519,12,9,4,4,1902066883955,1
520,12,10,4,4,587770991580,1
521,12,11,4,4,951033441978,1
522,12,12,4,4,587770991580,1
523,12,15,4,4,2126575425137,1
524,12,16,4,4,2489837875535,1
525,12,17,4,4,2602092146127,1
526,12,18,4,4,2308206650336,1
527,12,19,4,4,2014321154547,1
528,12,20,4,4,2489837875536,1
529,12,21,4,4,2602092146126,1
530,12,22,4,4,2014321154547,1
531,12,23,4,4,2308206650336,1
532,12,24,4,4,2126575425137,1
533,12,25,4,4,1426550162966,1
534,12,26,4,4,1132664667177,1
535,12,27,4,4,951033441978,1
536,12,28,4,4,475516720989,1
537,12,29,4,4,363262450397,1
538,12,30,4,4,2014321154547,1
539,12,31,4,4,2014321154547,1
540,12,32,4,4,1426550162966,1
541,12,33,4,4,1063287712569,1
542,12,34,4,4,1426550162966,1
543,12,35,4,4,1538804433558,1
544,12,36,4,4,881656487370,1
545,12,37,4,4,1651058704149,1
546,12,38,4,4,1063287712569,1
547,12,39,4,4,587770991580,1
548,12,40,4,4,406139766381,1
549,12,41,4,4,951033441978,1
550,12,42,4,4,1426550162966,1
551,12,43,4,4,1132664667177,1
552,12,44,4,4,475516720989,1
553,12,45,4,4,363262450398,1
554,13,0,5,5,700974816158,1
555,13,1,5,5,1268075355059,1
556,13,2,5,5,350487408078,1
557,13,3,5,5,700974816159,1
558,13,4,5,5,1268075355059,1
