fiber_row_id,sample_count,sum_value,component_fiber_path_count,raw_support_fiber_lift_digits,raw_support_fiber_lift_mod_1000000007,raw_support_fiber_lift_mod_1000000009,raw_coeff_fiber_lift_digits,raw_coeff_fiber_lift_mod_1000000007,raw_coeff_fiber_lift_mod_1000000009,long_tens_gap_flag,existing_prof_flag,raw_support_lift_positive_flag,raw_coeff_lift_positive_flag,compressed_raw_quotient_flag
177,13,9,87802,72,812686179,587221463,75,277008996,680727568,1,0,1,1,1
178,13,10,129844,73,134612016,46362681,76,793283172,782217316,1,0,1,1,1
179,13,11,171106,74,204805037,419550823,76,899690060,416380091,1,0,1,1,1
180,13,12,201643,74,301165353,395403316,77,823257582,874430028,1,0,1,1,1
181,13,13,212941,75,229654674,772872247,78,519513030,311358343,1,0,1,1,1
182,13,14,201643,75,319652652,995191535,78,816162861,110807756,1,0,1,1,1
183,13,15,171106,76,315351417,671233630,79,628667287,451222953,1,0,1,1,1
184,13,16,129844,76,512776495,469943462,79,400050229,653750502,1,0,1,1,1
185,13,17,87802,77,808437129,946315254,80,562943822,409012881,1,0,1,1,1
186,13,18,52624,77,893133283,94803971,80,764666363,831506634,1,0,1,1,1
187,13,19,27742,78,184310380,649405437,81,56578120,751039663,1,0,1,1,1
188,13,20,12727,78,251402785,860519422,81,607735959,459789956,1,0,1,1,1
189,13,21,5005,78,281469486,216546800,81,683918823,930816398,1,0,1,1,1
190,13,22,1651,78,5393212,345107545,82,75925529,113808319,1,0,1,1,1
191,13,23,442,78,419020208,136575947,82,134828984,947140012,1,0,1,1,1
192,13,24,91,78,342632738,323238650,82,133705680,928174786,1,0,1,1,1
193,13,25,13,78,986943349,292214782,82,481734076,278055151,1,0,1,1,1
194,13,26,1,78,335002723,571832030,81,239260527,49669537,1,0,1,1,1
195,14,0,1,68,304781326,770488985,70,382740362,551279651,1,0,1,1,1
196,14,1,14,69,5385151,42270110,72,563131570,879268136,1,0,1,1,1
197,14,2,105,71,391570169,248713445,73,667164516,486512702,1,0,1,1,1
198,14,3,546,72,70743097,394501288,74,447648587,974066790,1,0,1,1,1
199,14,4,2184,73,363031073,809110756,75,160080686,367708887,1,0,1,1,1
200,14,5,7098,74,833278369,263337436,76,423044540,740556743,1,0,1,1,1
201,14,6,19383,75,658154398,168196451,77,891882477,54066501,1,0,1,1,1
202,14,7,45474,76,587305956,243464595,78,766575566,928752184,1,0,1,1,1
203,14,8,93093,77,449295756,435597390,79,15038292,901747484,1,0,1,1,1
204,14,9,168168,77,4267026,48906721,80,569949235,151632467,1,0,1,1,1
205,14,10,270270,78,348511544,947100684,81,156709689,686820023,1,0,1,1,1
206,14,11,388752,79,697884835,765669257,82,623394308,504363186,1,0,1,1,1
207,14,12,502593,79,725410300,319352616,82,753932789,987790339,1,0,1,1,1
208,14,13,585690,80,111450694,542825257,83,106010038,799520034,1,0,1,1,1
209,14,14,616227,81,181768353,428568659,84,646481594,70500998,1,0,1,1,1
210,14,15,585690,81,465919543,78515824,84,125345224,102410990,1,0,1,1,1
211,14,16,502593,82,748983095,63384595,85,250435567,150390145,1,0,1,1,1
212,14,17,388752,82,728512667,572055343,86,750540628,581943470,1,0,1,1,1
213,14,18,270270,83,869218748,894051502,86,109244152,383655573,1,0,1,1,1
214,14,19,168168,83,914512009,320339184,86,103499653,477391026,1,0,1,1,1
215,14,20,93093,83,223481529,541172582,87,966329960,835872568,1,0,1,1,1
216,14,21,45474,84,221835623,881106570,87,202500580,57547266,1,0,1,1,1
217,14,22,19383,84,935501854,352770756,87,331953865,905071614,1,0,1,1,1
218,14,23,7098,84,225803285,841241235,88,882654431,108422474,1,0,1,1,1
219,14,24,2184,84,616202307,177545584,88,1665639,477434480,1,0,1,1,1
220,14,25,546,84,211952486,730253667,88,63014507,678758542,1,0,1,1,1
221,14,26,105,84,775682542,81429079,88,923448314,603320996,1,0,1,1,1
222,14,27,14,84,62923240,941217984,88,672882628,367694003,1,0,1,1,1
223,14,28,1,84,446101581,548897709,87,470558781,831266789,1,0,1,1,1
224,15,0,1,73,534751099,851069187,75,462323093,166642593,1,0,1,1,1
225,15,1,15,74,685260607,728697218,77,608974055,708756848,1,0,1,1,1
226,15,2,120,75,904010151,310778639,78,120510536,578822959,1,0,1,1,1
227,15,3,665,77,452620284,579748289,79,845128513,204658893,1,0,1,1,1
228,15,4,2835,78,892008666,991909008,80,462979124,518492795,1,0,1,1,1
229,15,5,9828,79,169886990,811387461,82,392191481,495671900,1,0,1,1,1
230,15,6,28665,80,553816637,764652235,83,820820025,713781961,1,0,1,1,1
231,15,7,71955,81,752264800,897825915,84,189157895,172227874,1,0,1,1,1
232,15,8,157950,82,981764070,853312515,84,794918127,691792104,1,0,1,1,1
233,15,9,306735,82,967803764,113406963,85,792347969,613437509,1,0,1,1,1
234,15,10,531531,83,792886958,893073265,86,995229833,531889163,1,0,1,1,1
235,15,11,827190,84,590940163,62621555,87,473878484,582784061,1,0,1,1,1
236,15,12,1161615,85,716480880,261775771,88,297785901,64136852,1,0,1,1,1
237,15,13,1477035,85,874190457,137863865,88,74113633,901047244,1,0,1,1,1
238,15,14,1704510,86,551104066,156127108,89,745375625,892265237,1,0,1,1,1
239,15,15,1787607,86,157361789,727592082,90,474267307,616556309,1,0,1,1,1
240,15,16,1704510,87,71548400,675235089,90,142190404,483560667,1,0,1,1,1
241,15,17,1477035,88,595099115,290781908,91,687064307,714690538,1,0,1,1,1
242,15,18,1161615,88,966538208,832844251,92,31329814,702579849,1,0,1,1,1
243,15,19,827190,88,29005929,890387460,92,887187580,465629574,1,0,1,1,1
244,15,20,531531,89,712503232,966586102,92,96050765,856242378,1,0,1,1,1
245,15,21,306735,89,685708230,338390746,93,896375993,995537138,1,0,1,1,1
246,15,22,157950,90,594065971,330688276,93,618946464,366043137,1,0,1,1,1
247,15,23,71955,90,98284340,942742605,94,822890069,956182664,1,0,1,1,1
248,15,24,28665,90,84402506,862465471,94,594632716,16900337,1,0,1,1,1
249,15,25,9828,90,741746675,89561741,94,526448350,143755789,1,0,1,1,1
250,15,26,2835,90,982005021,689001579,94,150964731,738703582,1,0,1,1,1
251,15,27,665,90,400015102,986264864,94,880995645,661134317,1,0,1,1,1
252,15,28,120,90,345868539,144822133,94,10520333,627098163,1,0,1,1,1
253,15,29,15,90,31734671,645169277,94,731842653,545701620,1,0,1,1,1
254,15,30,1,90,586447993,672189693,94,75659513,68222446,1,0,1,1,1
255,16,0,1,77,190446915,769615180,80,567686753,818212123,1,0,1,1,1
256,16,1,16,79,359395958,458282598,81,841998946,205349419,1,0,1,1,1
257,16,2,136,80,893846604,888795857,83,951398037,281149697,1,0,1,1,1
258,16,3,800,82,554237532,400851423,84,832836124,585143890,1,0,1,1,1
259,16,4,3620,83,963432274,377421219,85,244408189,384411562,1,0,1,1,1
260,16,5,13328,84,593776582,854138220,87,407095892,154551476,1,0,1,1,1
261,16,6,41328,85,287015876,153992394,88,115231752,663695436,1,0,1,1,1
262,16,7,110448,86,7975844,220852985,89,676811384,797047548,1,0,1,1,1
263,16,8,258570,87,268234444,396431518,90,987661622,48411993,1,0,1,1,1
