signature_edge_id,source_signature_class_id,target_signature_class_id,shared_active_atom_count,source_carrier_atom_mask,target_carrier_atom_mask
892,6,117,3,146,524434
893,6,118,3,146,524434
894,6,119,3,146,524434
895,6,120,3,146,524434
896,6,121,3,146,524434
897,6,122,3,146,524434
898,6,123,3,146,524434
899,6,124,3,146,524434
900,6,125,3,146,524434
901,6,126,1,146,524416
902,6,127,1,146,524416
903,6,128,1,146,524416
904,6,129,1,146,524416
905,6,134,1,146,128
906,6,135,1,146,128
907,6,136,1,146,128
908,6,137,1,146,128
909,6,138,1,146,128
910,6,139,1,146,128
911,6,140,1,146,128
912,6,141,1,146,128
913,6,142,1,146,128
914,6,143,1,146,128
915,6,144,1,146,128
916,6,151,1,146,524416
917,6,152,1,146,524416
918,6,153,1,146,524416
919,6,154,1,146,524416
920,6,155,1,146,526464
921,6,156,1,146,526464
922,6,157,1,146,526464
923,6,158,1,146,526464
924,6,159,1,146,526464
925,6,160,1,146,526464
926,6,161,1,146,526464
927,6,162,1,146,526464
928,6,163,1,146,526464
929,6,164,1,146,526464
930,6,165,1,146,526464
931,6,166,1,146,526464
932,6,167,1,146,526464
933,6,168,1,146,526464
934,6,169,1,146,526464
935,6,170,1,146,526464
936,6,171,1,146,526464
937,6,172,1,146,526464
938,7,8,3,146,146
939,7,9,3,146,146
940,7,10,3,146,146
941,7,11,3,146,146
942,7,12,3,146,146
943,7,13,3,146,146
944,7,14,3,146,146
945,7,15,1,146,2
946,7,16,1,146,2
947,7,17,1,146,2
948,7,18,1,146,16
949,7,19,1,146,16
950,7,20,1,146,16
951,7,21,3,146,146
952,7,22,3,146,146
953,7,23,3,146,146
954,7,24,3,146,146
955,7,25,3,146,146
956,7,26,3,146,146
957,7,27,3,146,146
958,7,28,1,146,128
959,7,29,1,146,128
960,7,30,1,146,128
961,7,31,1,146,128
962,7,32,1,146,128
963,7,33,1,146,128
964,7,34,1,146,128
965,7,35,1,146,128
966,7,36,1,146,128
967,7,37,1,146,128
968,7,38,1,146,128
969,7,45,1,146,2
970,7,46,1,146,2
971,7,47,1,146,2
972,7,48,1,146,6146
973,7,49,1,146,6146
974,7,50,1,146,6146
975,7,51,1,146,6146
976,7,52,1,146,6146
977,7,53,1,146,6146
978,7,54,1,146,6146
979,7,55,1,146,6146
980,7,56,1,146,6146
981,7,57,1,146,6146
982,7,61,1,146,2
983,7,62,1,146,2
984,7,72,1,146,16
985,7,73,1,146,16
986,7,74,1,146,16
987,7,78,1,146,6160
988,7,79,1,146,6160
989,7,80,1,146,6160
990,7,81,1,146,6160
991,7,82,1,146,6160
992,7,83,1,146,6160
993,7,84,1,146,6160
994,7,85,1,146,16
995,7,86,1,146,16
996,7,87,1,146,16
997,7,88,1,146,16
998,7,93,3,146,146
999,7,94,3,146,146
1000,7,95,3,146,146
1001,7,96,3,146,146
1002,7,97,3,146,146
1003,7,98,3,146,146
1004,7,99,3,146,146
1005,7,100,1,146,2
1006,7,101,1,146,2
1007,7,102,1,146,16
1008,7,103,1,146,16
1009,7,104,1,146,16
1010,7,105,1,146,16
1011,7,106,3,146,524434
1012,7,107,3,146,524434
1013,7,108,3,146,524434
1014,7,109,3,146,524434
1015,7,110,3,146,524434
1016,7,111,3,146,524434
1017,7,112,3,146,524434
1018,7,113,3,146,524434
1019,7,114,3,146,524434
1020,7,115,3,146,524434
1021,7,116,3,146,524434
1022,7,117,3,146,524434
1023,7,118,3,146,524434
1024,7,119,3,146,524434
1025,7,120,3,146,524434
1026,7,121,3,146,524434
1027,7,122,3,146,524434
1028,7,123,3,146,524434
1029,7,124,3,146,524434
1030,7,125,3,146,524434
1031,7,126,1,146,524416
1032,7,127,1,146,524416
1033,7,128,1,146,524416
1034,7,129,1,146,524416
1035,7,134,1,146,128
1036,7,135,1,146,128
1037,7,136,1,146,128
1038,7,137,1,146,128
1039,7,138,1,146,128
1040,7,139,1,146,128
1041,7,140,1,146,128
1042,7,141,1,146,128
1043,7,142,1,146,128
1044,7,143,1,146,128
1045,7,144,1,146,128
1046,7,151,1,146,524416
1047,7,152,1,146,524416
1048,7,153,1,146,524416
1049,7,154,1,146,524416
1050,7,155,1,146,526464
1051,7,156,1,146,526464
1052,7,157,1,146,526464
1053,7,158,1,146,526464
1054,7,159,1,146,526464
1055,7,160,1,146,526464
1056,7,161,1,146,526464
1057,7,162,1,146,526464
1058,7,163,1,146,526464
1059,7,164,1,146,526464
1060,7,165,1,146,526464
1061,7,166,1,146,526464
1062,7,167,1,146,526464
1063,7,168,1,146,526464
1064,7,169,1,146,526464
1065,7,170,1,146,526464
1066,7,171,1,146,526464
1067,7,172,1,146,526464
1068,8,9,3,146,146
1069,8,10,3,146,146
1070,8,11,3,146,146
1071,8,12,3,146,146
1072,8,13,3,146,146
1073,8,14,3,146,146
1074,8,15,1,146,2
1075,8,16,1,146,2
1076,8,17,1,146,2
1077,8,18,1,146,16
1078,8,19,1,146,16
1079,8,20,1,146,16
1080,8,21,3,146,146
1081,8,22,3,146,146
1082,8,23,3,146,146
1083,8,24,3,146,146
1084,8,25,3,146,146
1085,8,26,3,146,146
1086,8,27,3,146,146
1087,8,28,1,146,128
1088,8,29,1,146,128
1089,8,30,1,146,128
1090,8,31,1,146,128
1091,8,32,1,146,128
1092,8,33,1,146,128
1093,8,34,1,146,128
1094,8,35,1,146,128
1095,8,36,1,146,128
1096,8,37,1,146,128
1097,8,38,1,146,128
1098,8,45,1,146,2
1099,8,46,1,146,2
1100,8,47,1,146,2
1101,8,48,1,146,6146
1102,8,49,1,146,6146
1103,8,50,1,146,6146
1104,8,51,1,146,6146
1105,8,52,1,146,6146
1106,8,53,1,146,6146
1107,8,54,1,146,6146
1108,8,55,1,146,6146
1109,8,56,1,146,6146
1110,8,57,1,146,6146
1111,8,61,1,146,2
1112,8,62,1,146,2
1113,8,72,1,146,16
1114,8,73,1,146,16
1115,8,74,1,146,16
1116,8,78,1,146,6160
1117,8,79,1,146,6160
1118,8,80,1,146,6160
1119,8,81,1,146,6160
1120,8,82,1,146,6160
1121,8,83,1,146,6160
1122,8,84,1,146,6160
1123,8,85,1,146,16
1124,8,86,1,146,16
1125,8,87,1,146,16
1126,8,88,1,146,16
1127,8,93,3,146,146
1128,8,94,3,146,146
1129,8,95,3,146,146
1130,8,96,3,146,146
1131,8,97,3,146,146
1132,8,98,3,146,146
1133,8,99,3,146,146
1134,8,100,1,146,2
1135,8,101,1,146,2
1136,8,102,1,146,16
1137,8,103,1,146,16
1138,8,104,1,146,16
1139,8,105,1,146,16
1140,8,106,3,146,524434
1141,8,107,3,146,524434
1142,8,108,3,146,524434
1143,8,109,3,146,524434
1144,8,110,3,146,524434
1145,8,111,3,146,524434
1146,8,112,3,146,524434
1147,8,113,3,146,524434
1148,8,114,3,146,524434
1149,8,115,3,146,524434
1150,8,116,3,146,524434
1151,8,117,3,146,524434
1152,8,118,3,146,524434
1153,8,119,3,146,524434
1154,8,120,3,146,524434
1155,8,121,3,146,524434
1156,8,122,3,146,524434
1157,8,123,3,146,524434
1158,8,124,3,146,524434
1159,8,125,3,146,524434
1160,8,126,1,146,524416
1161,8,127,1,146,524416
1162,8,128,1,146,524416
1163,8,129,1,146,524416
1164,8,134,1,146,128
1165,8,135,1,146,128
1166,8,136,1,146,128
1167,8,137,1,146,128
1168,8,138,1,146,128
1169,8,139,1,146,128
1170,8,140,1,146,128
1171,8,141,1,146,128
1172,8,142,1,146,128
1173,8,143,1,146,128
1174,8,144,1,146,128
1175,8,151,1,146,524416
1176,8,152,1,146,524416
1177,8,153,1,146,524416
1178,8,154,1,146,524416
1179,8,155,1,146,526464
1180,8,156,1,146,526464
1181,8,157,1,146,526464
1182,8,158,1,146,526464
1183,8,159,1,146,526464
1184,8,160,1,146,526464
1185,8,161,1,146,526464
1186,8,162,1,146,526464
1187,8,163,1,146,526464
1188,8,164,1,146,526464
1189,8,165,1,146,526464
1190,8,166,1,146,526464
1191,8,167,1,146,526464
1192,8,168,1,146,526464
1193,8,169,1,146,526464
1194,8,170,1,146,526464
1195,8,171,1,146,526464
1196,8,172,1,146,526464
1197,9,10,3,146,146
1198,9,11,3,146,146
1199,9,12,3,146,146
1200,9,13,3,146,146
1201,9,14,3,146,146
1202,9,15,1,146,2
1203,9,16,1,146,2
1204,9,17,1,146,2
1205,9,18,1,146,16
1206,9,19,1,146,16
1207,9,20,1,146,16
1208,9,21,3,146,146
1209,9,22,3,146,146
1210,9,23,3,146,146
1211,9,24,3,146,146
1212,9,25,3,146,146
1213,9,26,3,146,146
1214,9,27,3,146,146
1215,9,28,1,146,128
1216,9,29,1,146,128
1217,9,30,1,146,128
1218,9,31,1,146,128
1219,9,32,1,146,128
1220,9,33,1,146,128
1221,9,34,1,146,128
1222,9,35,1,146,128
1223,9,36,1,146,128
1224,9,37,1,146,128
1225,9,38,1,146,128
