shell,start_id,success,ratio,F,grad_norm,max_hessian_eigenvalue,min_hessian_eigenvalue,cv_exp_z,message
16,21,True,1.0000000000000013,1.3322676295501878e-15,6.5859567170911765e-09,1.199040866595169e-14,-1.1014492824312978,1.2205307772516205e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,22,True,0.9999999999999982,-1.7763568394002505e-15,1.1918195240577756e-08,-6.8833827526759706e-15,-1.1014492914916363,2.2087184773669936e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,23,True,1.0000000000000004,4.440892098500626e-16,8.506194625187796e-09,1.7763568394002505e-15,-1.1014492851281417,1.5763955615600495e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,24,True,1.0,0.0,3.555364244515872e-08,3.3306690738754696e-15,-1.1014493251098256,6.58891605892817e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,25,True,0.9999999999999987,-1.3322676295501878e-15,3.986362312063808e-09,-7.549516567451064e-15,-1.1014492801281768,7.387655783311186e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,26,True,0.9999999999999996,-4.440892098500626e-16,1.140507288783101e-09,-4.6629367034256575e-15,-1.1014492762752406,2.1136253413179188e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,27,True,0.9999999999999994,-6.106226635438361e-16,3.454999481009577e-10,2.220446049250313e-16,-1.1014492757894556,6.402919831909343e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,28,True,1.0000000000000013,1.3322676295501878e-15,1.243696823280565e-08,3.1086244689504383e-15,-1.101449296166818,2.3048591959069912e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,29,True,0.9999999999999998,-2.220446049250313e-16,8.985624041086211e-09,5.10702591327572e-15,-1.1014492916890715,1.665245020533715e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,30,True,1.0000000000000004,4.440892098500626e-16,1.5289950942997486e-08,2.220446049250313e-15,-1.1014492866475432,2.833583214799183e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,31,True,1.0,0.0,1.9055152254738873e-10,7.771561172376096e-15,-1.1014492755606573,3.5313692669680083e-11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,32,True,1.0,0.0,3.552356072208437e-09,1.5543122344752192e-15,-1.1014492793126833,6.58334153883923e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,33,True,0.9999999999999991,-8.881784197001252e-16,1.8213635980873627e-09,5.773159728050814e-15,-1.1014492776881422,3.375410020836307e-10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,34,False,1.0,0.0,1.4630973932226606e-08,-2.220446049250313e-15,-1.1014492858831184,2.7114594749325164e-09,ABNORMAL: 
16,35,True,0.03376667490117601,-3.388280912530604,5.061796700086385e-07,4.571402885955201e-16,-2.000000341554452,0.7071066342714674,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,36,True,0.03376667490116833,-3.3882809125308313,4.815454164601825e-07,5.966888066086457e-16,-2.0000004850691453,0.7071066100726364,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,37,True,1.0000000000000009,8.881784197001252e-16,9.774319118773714e-09,5.10702591327572e-15,-1.1014492810538834,1.8114084723085991e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,38,True,0.03376667490117697,-3.3882809125305755,2.71083342681698e-07,4.621951884713275e-16,-2.0000003292695805,0.7071066496055896,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,39,True,0.9999999999999996,-4.440892098500626e-16,3.302508600882258e-08,8.659739592076221e-15,-1.101449317002922,6.120315874170278e-09,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,40,True,0.03376667490117697,-3.3882809125305755,3.332934785101155e-07,8.152340920994968e-17,-2.0000002881635917,0.7071066044622163,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,41,True,0.03376667490117121,-3.388280912530746,1.1142732915225725e-07,2.071878808345052e-16,-2.0000001176432733,0.7071065443442955,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,42,True,0.033766674901164494,-3.388280912530945,4.875152497227584e-07,2.903231563700168e-16,-2.000000395913612,0.7071066253347722,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,43,True,0.03376667490113474,-3.388280912531826,9.662528788291105e-07,2.025548458856466e-31,-2.0000010919390325,0.7071063823431317,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,44,True,0.033766674901106915,-3.3882809125326503,9.96259578878535e-07,4.88185506263753e-16,-2.0000006705586553,0.7071062273148565,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,45,True,0.03376667490116833,-3.3882809125308313,6.09657555140289e-07,5.534302078958357e-16,-2.000000417134646,0.7071065320000124,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,46,True,0.03376667490117697,-3.3882809125305755,1.170378464192842e-07,3.4250530242581205e-16,-2.0000000915763967,0.7071065783498584,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
16,47,True,0.03376667490117505,-3.3882809125306323,3.1771027467729887e-07,3.624384582626097e-16,-2.0000003338695853,0.7071065989499732,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
