hybrid_candidate_id,rank_order,cycle_length,carrier_0_id,carrier_1_id,carrier_2_id,carrier_3_id,carrier_4_id,carrier_5_id,carrier_6_id,cell_edge_0_id,cell_edge_1_id,cell_edge_2_id,cell_edge_3_id,cell_edge_4_id,cell_edge_5_id,selected_atom_0_id,selected_atom_1_id,selected_atom_2_id,selected_atom_3_id,selected_atom_4_id,selected_atom_5_id,selected_symbol_0_id,selected_symbol_1_id,selected_symbol_2_id,selected_symbol_3_id,selected_symbol_4_id,selected_symbol_5_id,cycle_window_node_0_id,cycle_window_node_1_id,cycle_window_node_2_id,cycle_window_node_3_id,cycle_window_node_4_id,cycle_window_node_5_id,trace_node_count,trace_edge_count,trace_detour_overhead,trace_signature_total_variation,signature_valley_depth,trace_min_signature_after_node42,metric_gromov_delta_twice,metric_diameter,metric_radius,first_node44_trace_rank,node44_realization_flag,first_selected_x2_flag,immediate_x1_tail_flag,improves_tail_overhead_flag,matches_baseline_tail_score_flag,best_hybrid_flag
33,34,5,12,3,8,7,13,12,-1,14,11,27,30,43,-1,7,4,12,12,19,-1,2,1,4,4,5,-1,28,33,53,44,29,-1,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
34,35,5,12,11,8,5,13,12,-1,41,31,21,22,43,-1,7,4,12,12,19,-1,2,1,4,4,5,-1,28,33,53,44,29,-1,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
35,36,5,12,11,8,6,13,12,-1,41,31,24,26,43,-1,7,4,12,12,19,-1,2,1,4,4,5,-1,28,33,53,44,29,-1,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
36,37,5,12,11,8,7,13,12,-1,41,31,27,30,43,-1,7,4,12,12,19,-1,2,1,4,4,5,-1,28,33,53,44,29,-1,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
37,38,6,12,3,8,5,13,10,12,14,11,21,22,40,39,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
38,39,6,12,3,8,5,13,11,12,14,11,21,22,42,41,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
39,40,6,12,3,8,6,13,10,12,14,11,24,26,40,39,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
40,41,6,12,3,8,6,13,11,12,14,11,24,26,42,41,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
41,42,6,12,3,8,7,13,10,12,14,11,27,30,40,39,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
42,43,6,12,3,8,7,13,11,12,14,11,27,30,42,41,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
43,44,6,12,11,8,5,13,10,12,41,31,21,22,40,39,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
44,45,6,12,11,8,6,13,10,12,41,31,24,26,40,39,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
45,46,6,12,11,8,7,13,10,12,41,31,27,30,40,39,7,4,12,12,19,7,2,1,4,4,5,2,28,33,53,44,39,26,7,6,4,223,62,121,2,4,3,6,1,1,1,0,0,0
46,47,5,12,3,1,8,13,12,-1,14,3,4,33,43,-1,7,4,4,12,19,-1,2,1,1,4,5,-1,22,24,34,44,29,-1,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
47,48,5,12,3,11,8,13,12,-1,14,13,31,33,43,-1,7,4,4,12,19,-1,2,1,1,4,5,-1,22,24,34,44,29,-1,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
48,49,5,12,11,1,8,13,12,-1,41,5,4,33,43,-1,7,4,4,12,19,-1,2,1,1,4,5,-1,22,24,34,44,29,-1,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
49,50,5,12,11,3,8,13,12,-1,41,13,11,33,43,-1,7,4,4,12,19,-1,2,1,1,4,5,-1,22,24,34,44,29,-1,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
50,51,6,12,3,1,8,13,10,12,14,3,4,33,40,39,7,4,4,12,19,7,2,1,1,4,5,2,22,24,34,44,39,26,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
51,52,6,12,3,1,8,13,11,12,14,3,4,33,42,41,7,4,4,12,19,7,2,1,1,4,5,2,22,24,34,44,39,26,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
52,53,6,12,3,11,8,13,10,12,14,13,31,33,40,39,7,4,4,12,19,7,2,1,1,4,5,2,22,24,34,44,39,26,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
53,54,6,12,11,1,8,13,10,12,41,5,4,33,40,39,7,4,4,12,19,7,2,1,1,4,5,2,22,24,34,44,39,26,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
54,55,6,12,11,3,8,13,10,12,41,13,11,33,40,39,7,4,4,12,19,7,2,1,1,4,5,2,22,24,34,44,39,26,7,6,4,183,65,118,2,4,3,6,1,1,1,0,0,0
55,56,6,12,3,8,4,6,13,12,14,11,17,15,26,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
56,57,6,12,3,8,4,7,13,12,14,11,17,16,30,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
57,58,6,12,3,8,6,7,13,12,14,11,24,23,30,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
58,59,6,12,3,8,7,6,13,12,14,11,27,23,26,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
59,60,6,12,11,8,4,6,13,12,41,31,17,15,26,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
60,61,6,12,11,8,4,7,13,12,41,31,17,16,30,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
61,62,6,12,11,8,6,7,13,12,41,31,24,23,30,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
62,63,6,12,11,8,7,6,13,12,41,31,27,23,26,43,7,4,11,11,12,19,2,1,3,3,4,5,27,30,47,50,44,29,7,6,4,243,95,88,2,4,3,6,1,1,1,0,0,0
63,64,6,12,3,8,6,5,13,12,14,11,24,19,22,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
64,65,6,12,3,8,6,7,13,12,14,11,24,23,30,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
65,66,6,12,3,8,7,5,13,12,14,11,27,20,22,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
66,67,6,12,3,8,7,6,13,12,14,11,27,23,26,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
67,68,6,12,11,8,6,5,13,12,41,31,24,19,22,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
68,69,6,12,11,8,6,7,13,12,41,31,24,23,30,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
69,70,6,12,11,8,7,5,13,12,41,31,27,20,22,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
70,71,6,12,11,8,7,6,13,12,41,31,27,23,26,43,7,4,11,12,12,19,2,1,3,4,4,5,27,31,49,53,44,29,7,6,4,253,95,88,2,4,3,6,1,1,1,0,0,0
71,72,6,12,3,11,7,6,13,12,14,13,28,23,26,43,7,4,1,11,12,19,2,1,0,3,4,5,7,8,16,50,44,29,8,7,5,169,57,126,2,4,3,7,1,1,1,0,0,0
72,73,6,12,3,11,7,8,13,12,14,13,28,27,33,43,7,4,1,11,12,19,2,1,0,3,4,5,7,8,16,50,44,29,8,7,5,169,57,126,2,4,3,7,1,1,1,0,0,0
73,74,6,12,11,3,7,6,13,12,41,13,10,23,26,43,7,4,1,11,12,19,2,1,0,3,4,5,7,8,16,50,44,29,8,7,5,169,57,126,2,4,3,7,1,1,1,0,0,0
74,75,6,12,11,3,7,8,13,12,41,13,10,27,33,43,7,4,1,11,12,19,2,1,0,3,4,5,7,8,16,50,44,29,8,7,5,169,57,126,2,4,3,7,1,1,1,0,0,0
75,76,6,12,3,1,8,5,13,12,14,3,4,21,22,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
76,77,6,12,3,1,8,6,13,12,14,3,4,24,26,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
77,78,6,12,3,1,8,7,13,12,14,3,4,27,30,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
78,79,6,12,3,11,8,5,13,12,14,13,31,21,22,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
79,80,6,12,3,11,8,6,13,12,14,13,31,24,26,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
80,81,6,12,3,11,8,7,13,12,14,13,31,27,30,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
81,82,6,12,11,1,8,5,13,12,41,5,4,21,22,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
82,83,6,12,11,1,8,6,13,12,41,5,4,24,26,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
83,84,6,12,11,1,8,7,13,12,41,5,4,27,30,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
84,85,6,12,11,3,8,5,13,12,41,13,11,21,22,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
85,86,6,12,11,3,8,6,13,12,41,13,11,24,26,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
86,87,6,12,11,3,8,7,13,12,41,13,11,27,30,43,7,4,4,12,12,19,2,1,1,4,4,5,22,24,33,53,44,29,8,7,5,183,65,118,2,4,3,7,1,1,1,0,0,0
87,88,6,12,3,11,7,5,13,12,14,13,28,20,22,43,7,4,1,12,12,19,2,1,0,4,4,5,7,9,18,53,44,29,8,7,5,185,66,117,2,4,3,7,1,1,1,0,0,0
88,89,6,12,3,11,7,6,13,12,14,13,28,23,26,43,7,4,1,12,12,19,2,1,0,4,4,5,7,9,18,53,44,29,8,7,5,185,66,117,2,4,3,7,1,1,1,0,0,0
89,90,6,12,3,11,7,8,13,12,14,13,28,27,33,43,7,4,1,12,12,19,2,1,0,4,4,5,7,9,18,53,44,29,8,7,5,185,66,117,2,4,3,7,1,1,1,0,0,0
90,91,6,12,11,3,7,5,13,12,41,13,10,20,22,43,7,4,1,12,12,19,2,1,0,4,4,5,7,9,18,53,44,29,8,7,5,185,66,117,2,4,3,7,1,1,1,0,0,0
91,92,6,12,11,3,7,6,13,12,41,13,10,23,26,43,7,4,1,12,12,19,2,1,0,4,4,5,7,9,18,53,44,29,8,7,5,185,66,117,2,4,3,7,1,1,1,0,0,0
92,93,6,12,11,3,7,8,13,12,41,13,10,27,33,43,7,4,1,12,12,19,2,1,0,4,4,5,7,9,18,53,44,29,8,7,5,185,66,117,2,4,3,7,1,1,1,0,0,0
93,94,6,12,3,1,8,6,13,12,14,3,4,24,26,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
94,95,6,12,3,1,8,7,13,12,14,3,4,27,30,43,7,4,4,11,12,19,2,1,1,3,4,5,22,23,31,50,44,29,8,7,5,197,67,116,2,4,3,7,1,1,1,0,0,0
